team,full_name,first_name,surname,jumper_number,champion_data_id,provider_id_raw
Adelaide,Callum Ah Chee,Callum,Ah Chee,4.0,298437,CD_I298437
Adelaide,Sam Berry,Sam,Berry,3.0,1012807,CD_I1012807
Adelaide,Hugh Bond,Hugh,Bond,21.0,1023534,CD_I1023534
Adelaide,James Borlase,James,Borlase,35.0,1009029,CD_I1009029
Adelaide,Jordon Butts,Jordon,Butts,41.0,1004995,CD_I1004995
Adelaide,Brayden Cook,Brayden,Cook,15.0,1018335,CD_I1018335
Adelaide,Indy Cotton,Indy,Cotton,33.0,1044595,CD_I1044595
Adelaide,Isaac Cumming,Isaac,Cumming,44.0,1001396,CD_I1001396
Adelaide,Daniel Curtin,Daniel,Curtin,6.0,1024023,CD_I1024023
Adelaide,Jordan Dawson,Jordan,Dawson,12.0,992242,CD_I992242
Adelaide,Billy Dowling,Billy,Dowling,31.0,1015329,CD_I1015329
Adelaide,Sid Draper,Sid,Draper,5.0,1022607,CD_I1022607
Adelaide,Charlie Edwards,Charlie,Edwards,11.0,1028671,CD_I1028671
Adelaide,Darcy Fogarty,Darcy,Fogarty,32.0,999331,CD_I999331
Adelaide,Mitchell Hinge,Mitchell,Hinge,20.0,1004863,CD_I1004863
Adelaide,Chayce Jones,Chayce,Jones,1.0,1006203,CD_I1006203
Adelaide,Mark Keane,Mark,Keane,48.0,1013974,CD_I1013974
Adelaide,Ben Keays,Ben,Keays,2.0,993946,CD_I993946
Adelaide,Rory Laird,Rory,Laird,29.0,293222,CD_I293222
Adelaide,Archie Ludowyke,Archie,Ludowyke,34.0,1033053,CD_I1033053
Adelaide,Finnbar Maley,Finnbar,Maley,36.0,1031792,CD_I1031792
Adelaide,Mitchell Marsh,Mitchell,Marsh,26.0,1031747,CD_I1031747
Adelaide,Lachlan McAndrew,Lachlan,McAndrew,42.0,1021200,CD_I1021200
Adelaide,Max Michalanney,Max,Michalanney,16.0,1015370,CD_I1015370
Adelaide,Wayne Milera,Wayne,Milera,30.0,990882,CD_I990882
Adelaide,Nick Murray,Nick,Murray,9.0,1008230,CD_I1008230
Adelaide,Toby Murray,Toby,Murray,39.0,1020950,CD_I1020950
Adelaide,Luke Nankervis,Luke,Nankervis,27.0,1021031,CD_I1021031
Adelaide,Alex Neal-Bullen,Alex,Neal-Bullen,28.0,296420,CD_I296420
Adelaide,Reilly O'Brien,Reilly,O'Brien,43.0,297523,CD_I297523
Adelaide,James Peatling,James,Peatling,25.0,1006013,CD_I1006013
Adelaide,Luke Pedlar,Luke,Pedlar,10.0,1012218,CD_I1012218
Adelaide,Josh Rachele,Josh,Rachele,8.0,1017051,CD_I1017051
Adelaide,Izak Rankine,Izak,Rankine,23.0,1001195,CD_I1001195
Adelaide,Oscar Ryan,Oscar,Ryan,22.0,1027893,CD_I1027893
Adelaide,Lachlan Sholl,Lachlan,Sholl,38.0,1006136,CD_I1006136
