Season,Round,GameId,HomeTeam,AwayTeam,Venue,GameDate,GameDay,Status
2026,0,38494,Sydney,Carlton,S.C.G.,2026-03-05 19:30,Thursday,Complete
2026,0,38495,Gold Coast,Geelong,Carrara,2026-03-06 20:05,Friday,Complete
2026,0,38496,GWS Giants,Hawthorn,Sydney Showground,2026-03-07 16:15,Saturday,Complete
2026,0,38497,Brisbane Lions,Western Bulldogs,Gabba,2026-03-07 19:35,Saturday,Complete
2026,0,38498,St Kilda,Collingwood,M.C.G.,2026-03-08 19:20,Sunday,Complete
2026,1,38499,Carlton,Richmond,M.C.G.,2026-03-12 19:30,Thursday,Complete
2026,1,38500,Essendon,Hawthorn,M.C.G.,2026-03-13 19:40,Friday,Complete
2026,1,38501,Western Bulldogs,GWS Giants,Docklands,2026-03-14 13:15,Saturday,Complete
2026,1,38502,Geelong,Fremantle,Kardinia Park,2026-03-14 16:15,Saturday,Complete
2026,1,38503,Sydney,Brisbane Lions,S.C.G.,2026-03-14 19:10,Saturday,Complete
2026,1,38504,Collingwood,Adelaide,M.C.G.,2026-03-14 19:35,Saturday,Complete
2026,1,38505,North Melbourne,Port Adelaide,Docklands,2026-03-15 13:10,Sunday,Complete
2026,1,38506,Melbourne,St Kilda,M.C.G.,2026-03-15 15:15,Sunday,Complete
2026,1,38507,Gold Coast,West Coast,Carrara,2026-03-15 18:10,Sunday,Complete
2026,2,38508,Hawthorn,Sydney,M.C.G.,2026-03-19 19:30,Thursday,Complete
2026,2,38509,Adelaide,Western Bulldogs,Adelaide Oval,2026-03-20 19:40,Friday,Complete
2026,2,38510,Richmond,Gold Coast,M.C.G.,2026-03-21 13:15,Saturday,Complete
2026,2,38511,GWS Giants,St Kilda,Sydney Showground,2026-03-21 16:15,Saturday,Complete
2026,2,38512,Fremantle,Melbourne,Perth Stadium,2026-03-21 19:35,Saturday,Complete
2026,2,38513,Port Adelaide,Essendon,Adelaide Oval,2026-03-22 15:15,Sunday,Complete
2026,2,38514,West Coast,North Melbourne,Perth Stadium,2026-03-22 18:10,Sunday,Complete
2026,3,38515,Geelong,Adelaide,Kardinia Park,2026-03-26 19:30,Thursday,Complete
2026,3,38516,Collingwood,GWS Giants,Docklands,2026-03-27 19:40,Friday,Complete
2026,3,38517,St Kilda,Brisbane Lions,Docklands,2026-03-28 12:35,Saturday,Complete
2026,3,38518,Fremantle,Richmond,Perth Stadium,2026-03-28 16:15,Saturday,Complete
2026,3,38519,Essendon,North Melbourne,Docklands,2026-03-28 19:35,Saturday,Complete
2026,3,38520,Port Adelaide,West Coast,Adelaide Oval,2026-03-29 12:30,Sunday,Complete
2026,3,38521,Carlton,Melbourne,M.C.G.,2026-03-29 15:15,Sunday,Complete
2026,4,38522,Brisbane Lions,Collingwood,Gabba,2026-04-02 19:30,Thursday,Complete
2026,4,38523,North Melbourne,Carlton,Docklands,2026-04-03 15:15,Friday,Complete
2026,4,38524,Adelaide,Fremantle,Adelaide Oval,2026-04-03 19:15,Friday,Complete
2026,4,38525,Richmond,Port Adelaide,M.C.G.,2026-04-04 16:15,Saturday,Complete
2026,4,38526,West Coast,Sydney,Perth Stadium,2026-04-04 19:35,Saturday,Complete
2026,4,38527,Melbourne,Gold Coast,M.C.G.,2026-04-05 15:15,Sunday,Complete
2026,4,38528,Western Bulldogs,Essendon,Docklands,2026-04-05 19:20,Sunday,Complete
2026,4,38529,Hawthorn,Geelong,M.C.G.,2026-04-06 15:15,Monday,Complete
2026,5,38530,Adelaide,Carlton,Adelaide Oval,2026-04-09 19:40,Thursday,Complete
2026,5,38531,Collingwood,Fremantle,Adelaide Oval,2026-04-10 19:40,Friday,Complete
2026,5,38532,North Melbourne,Brisbane Lions,Barossa Park,2026-04-11 12:35,Saturday,Complete
2026,5,38533,Essendon,Melbourne,Adelaide Oval,2026-04-11 13:15,Saturday,Complete
2026,5,38534,Sydney,Gold Coast,Norwood Oval,2026-04-11 16:15,Saturday,Complete
2026,5,38535,Hawthorn,Western Bulldogs,Adelaide Oval,2026-04-11 19:35,Saturday,Complete
2026,5,38536,Geelong,West Coast,Norwood Oval,2026-04-12 12:30,Sunday,Complete
2026,5,38537,GWS Giants,Richmond,Barossa Park,2026-04-12 15:15,Sunday,Complete
2026,5,38538,Port Adelaide,St Kilda,Adelaide Oval,2026-04-12 19:15,Sunday,Complete
2026,6,38539,Carlton,Collingwood,M.C.G.,2026-04-16 19:30,Thursday,Complete
2026,6,38540,Geelong,Western Bulldogs,Kardinia Park,2026-04-17 19:20,Friday,Scheduled
2026,6,38541,Sydney,GWS Giants,S.C.G.,2026-04-17 19:50,Friday,Scheduled
2026,6,38542,Gold Coast,Essendon,Carrara,2026-04-18 13:15,Saturday,Scheduled
2026,6,38543,Hawthorn,Port Adelaide,Docklands,2026-04-18 16:15,Saturday,Scheduled
2026,6,38544,Adelaide,St Kilda,Adelaide Oval,2026-04-18 19:35,Saturday,Scheduled
2026,6,38545,North Melbourne,Richmond,Docklands,2026-04-19 13:10,Sunday,Scheduled
2026,6,38546,Melbourne,Brisbane Lions,M.C.G.,2026-04-19 15:15,Sunday,Scheduled
2026,6,38547,West Coast,Fremantle,Perth Stadium,2026-04-19 17:10,Sunday,Scheduled
2026,7,38548,Western Bulldogs,Sydney,Docklands,2026-04-23 19:30,Thursday,Scheduled
2026,7,38549,Richmond,Melbourne,M.C.G.,2026-04-24 19:40,Friday,Scheduled
2026,7,38550,Hawthorn,Gold Coast,York Park,2026-04-25 12:15,Saturday,Scheduled
2026,7,38551,Essendon,Collingwood,M.C.G.,2026-04-25 15:15,Saturday,Scheduled
2026,7,38552,Port Adelaide,Geelong,Adelaide Oval,2026-04-25 18:35,Saturday,Scheduled
2026,7,38553,Fremantle,Carlton,Perth Stadium,2026-04-25 20:15,Saturday,Scheduled
2026,7,38554,St Kilda,West Coast,Docklands,2026-04-26 13:10,Sunday,Scheduled
2026,7,38555,Brisbane Lions,Adelaide,Gabba,2026-04-26 15:15,Sunday,Scheduled
2026,7,38556,GWS Giants,North Melbourne,Manuka Oval,2026-04-26 16:40,Sunday,Scheduled
2026,8,38557,Collingwood,Hawthorn,M.C.G.,2026-04-30 19:30,Thursday,Scheduled
2026,8,38558,Western Bulldogs,Fremantle,Docklands,2026-05-01 19:30,Friday,Scheduled
2026,8,38559,Adelaide,Port Adelaide,Adelaide Oval,2026-05-01 20:10,Friday,Scheduled
2026,8,38560,Essendon,Brisbane Lions,Docklands,2026-05-02 12:35,Saturday,Scheduled
2026,8,38561,West Coast,Richmond,Perth Stadium,2026-05-02 16:15,Saturday,Scheduled
2026,8,38562,Geelong,North Melbourne,Kardinia Park,2026-05-02 16:35,Saturday,Scheduled
2026,8,38563,Carlton,St Kilda,Docklands,2026-05-02 19:35,Saturday,Scheduled
2026,8,38564,Sydney,Melbourne,S.C.G.,2026-05-03 15:15,Sunday,Scheduled
2026,8,38565,Gold Coast,GWS Giants,Carrara,2026-05-03 19:20,Sunday,Scheduled
2026,9,38566,Fremantle,Hawthorn,Perth Stadium,2026-05-07 20:10,Thursday,Scheduled
2026,9,38567,Brisbane Lions,Carlton,Gabba,2026-05-08 19:30,Friday,Scheduled
2026,9,38568,Port Adelaide,Western Bulldogs,Adelaide Oval,2026-05-08 20:10,Friday,Scheduled
2026,9,38569,North Melbourne,Sydney,Docklands,2026-05-09 13:15,Saturday,Scheduled
2026,9,38570,GWS Giants,Essendon,Sydney Showground,2026-05-09 16:15,Saturday,Scheduled
2026,9,38571,Gold Coast,St Kilda,Marrara Oval,2026-05-09 19:10,Saturday,Scheduled
2026,9,38572,Geelong,Collingwood,M.C.G.,2026-05-09 19:35,Saturday,Scheduled
2026,9,38573,Melbourne,West Coast,Docklands,2026-05-10 13:10,Sunday,Scheduled
2026,9,38574,Richmond,Adelaide,M.C.G.,2026-05-10 15:15,Sunday,Scheduled
2026,10,38575,Brisbane Lions,Geelong,Gabba,2026-05-14 19:30,Thursday,Scheduled
2026,10,38576,Sydney,Collingwood,S.C.G.,2026-05-15 19:30,Friday,Scheduled
2026,10,38577,Gold Coast,Port Adelaide,Marrara Oval,2026-05-15 20:10,Friday,Scheduled
2026,10,38578,Adelaide,North Melbourne,Adelaide Oval,2026-05-16 13:15,Saturday,Scheduled
2026,10,38579,Melbourne,Hawthorn,M.C.G.,2026-05-16 16:15,Saturday,Scheduled
2026,10,38580,Carlton,Western Bulldogs,Docklands,2026-05-16 19:35,Saturday,Scheduled
2026,10,38581,Essendon,Fremantle,M.C.G.,2026-05-17 13:10,Sunday,Scheduled
