Team,Jumper_No,Player,DOB,Height,Position,Games,Age,Origin
Adelaide,4,Callum Ah Chee,1997-10-09,182.0,Forward,171,28yr 5mth,South Fremantle
Adelaide,3,Sam Berry,2002-02-12,181.0,Midfield,79,24yr 1mth,Gippsland Power
Adelaide,21,Hugh Bond,2004-09-25,185.0,Defender,14,21yr 6mth,Greater Western Victoria Rebels
Adelaide,35,James Borlase,2002-07-18,192.0,Defender,16,23yr 8mth,Sturt
Adelaide,41,Jordon Butts,1999-12-31,195.0,Defender,88,26yr 2mth,Murray Bushrangers
Adelaide,15,Brayden Cook,2002-07-18,189.0,MidfieldForward,33,23yr 8mth,South Adelaide
Adelaide,33,Indy Cotton,2007-05-08,195.0,Forward,0,18yr 10mth,NBL One East
Adelaide,44,Isaac Cumming,1998-08-11,188.0,Midfield,108,27yr 7mth,Broken Hill
Adelaide,6,Daniel Curtin,2005-03-08,197.0,Midfield,32,21yr,Claremont
Adelaide,12,Jordan Dawson,1997-04-09,190.0,Midfield,158,28yr 11mth,Sturt
Adelaide,31,Billy Dowling,2004-07-01,187.0,MidfieldForward,10,21yr 8mth,North Adelaide
Adelaide,5,Sid Draper,2006-07-05,182.0,MidfieldForward,10,19yr 8mth,South Adelaide
Adelaide,11,Charlie Edwards,2005-05-18,191.0,DefenderMidfield,0,20yr 10mth,Sandringham Dragons
Adelaide,32,Darcy Fogarty,1999-09-25,192.0,Forward,129,26yr 6mth,Glenelg
Adelaide,20,Mitchell Hinge,1998-06-28,187.0,Defender,89,27yr 8mth,Glenelg
Adelaide,1,Chayce Jones,2000-01-14,180.0,Midfield,99,26yr 2mth,Launceston
Adelaide,48,Mark Keane,2000-03-17,194.0,Defender,56,26yr,Cork
Adelaide,2,Ben Keays,1997-02-23,185.0,Forward,164,29yr 1mth,Brisbane Reserves
Adelaide,29,Rory Laird,1993-12-29,178.0,Defender,271,32yr 2mth,West Adelaide
Adelaide,34,Archie Ludowyke,2007-11-19,197.0,Forward,0,18yr 4mth,Sandringham Dragons
Adelaide,36,Finnbar Maley,2003-07-18,197.0,Forward,8,22yr 8mth,Northern Bullants
Adelaide,26,Mitchell Marsh,2007-02-15,192.0,Forward,0,19yr 1mth,West Adelaide
Adelaide,42,Lachlan McAndrew,2000-05-26,209.0,Ruck,5,25yr 10mth,Sydney
Adelaide,16,Max Michalanney,2004-02-26,190.0,Defender,69,22yr 1mth,Norwood
Adelaide,30,Wayne Milera,1997-09-14,185.0,Defender,126,28yr 6mth,Central District
Adelaide,9,Nick Murray,2000-12-18,195.0,Defender,70,25yr 3mth,Allies
Adelaide,39,Toby Murray,2003-11-03,200.0,Forward,1,22yr 4mth,Adelaide SANFL
Adelaide,27,Luke Nankervis,2003-05-25,189.0,Midfield,32,22yr 10mth,Sandringham Dragons
Adelaide,28,Alex Neal-Bullen,1996-01-09,182.0,Forward,204,30yr 2mth,Glenelg
Adelaide,43,Reilly O'Brien,1995-08-20,201.0,Ruck,146,30yr 7mth,Calder Cannons
Adelaide,25,James Peatling,2000-08-21,186.0,Midfield,71,25yr 7mth,GWS Giants
Adelaide,10,Luke Pedlar,2002-05-17,183.0,Forward,42,23yr 10mth,Glenelg
Adelaide,8,Josh Rachele,2003-04-11,180.0,Forward,73,22yr 11mth,Murray Bushrangers
Adelaide,23,Izak Rankine,2000-04-23,179.0,MidfieldForward,107,25yr 11mth,West Adelaide
Adelaide,22,Oscar Ryan,2005-05-15,187.0,Defender,0,20yr 10mth,Murray Bushrangers
Adelaide,38,Lachlan Sholl,2000-03-07,186.0,Midfield,79,26yr,Calder Cannons
Adelaide,14,Jake Soligo,2003-01-25,179.0,Midfield,88,23yr 2mth,Eastern Ranges
Adelaide,19,Zac Taylor,2003-01-31,180.0,Forward,27,23yr 1mth,Calder Cannons
Adelaide,7,Riley Thilthorpe,2002-07-07,201.0,Forward,81,23yr 8mth,West Adelaide Fc
