Team,Jumper_No,Player,DOB,Height,Position,Games,Age,Origin,Contract_Expiry,FA_Status,Draft_Year,Draft_Type,Draft_Round,Draft_Pick,Overall_Rating,data_provider_id,Team_API,Position_API,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating
Adelaide,4,Callum Ah Chee,1997-10-09,182.0,Forward,171,28yr 5mth,South Fremantle,2031.0,Non-Free Agent,2025.0,Pre-Season,1.0,1.0,2.89,C.Ah Chee 9/10/1997,BFC,GF,,,,,,,
Adelaide,3,Sam Berry,2002-02-12,181.0,Midfield,78,24yr 1mth,Gippsland Power,2026.0,Non-Free Agent,2020.0,National,2.0,28.0,2.37,S.Berry 12/2/2002,AFC,M,,,,,,,
Adelaide,21,Hugh Bond,2004-09-25,185.0,Defender,13,21yr 5mth,Greater Western Victoria Rebels,2027.0,Non-Free Agent,2022.0,National,3.0,50.0,2.09,H.Bond 25/9/2004,AFC,GD,,,,,,,
Adelaide,35,James Borlase,2002-07-18,192.0,Defender,16,23yr 8mth,Sturt,2026.0,Unrestricted Free Agent,2023.0,Rookie,2.0,20.0,1.79,J.Borlase 18/7/2002,AFC,KD,,,,,,,
Adelaide,41,Jordon Butts,1999-12-31,195.0,Defender,87,26yr 2mth,Murray Bushrangers,2026.0,Restricted Free Agent,2018.0,Rookie,3.0,39.0,2.07,J.Butts 31/12/1999,AFC,KD,,,,,,,
Adelaide,15,Brayden Cook,2002-07-18,189.0,MidfieldForward,32,23yr 8mth,South Adelaide,2026.0,Non-Free Agent,2020.0,National,1.0,25.0,1.48,B.Cook 18/7/2002,AFC,M,,,,,,,
Adelaide,33,Indy Cotton,2007-05-08,195.0,Forward,0,18yr 10mth,NBL One East,2027.0,Unknown,,,,,,,,,,,,,,,
Adelaide,44,Isaac Cumming,1998-08-11,188.0,Midfield,107,27yr 7mth,Broken Hill,2030.0,Non-Free Agent,2016.0,National,1.0,20.0,2.58,I.Cumming 11/8/1998,AFC,W,,,,,,,
Adelaide,6,Daniel Curtin,2005-03-08,197.0,Midfield,32,21yr,Claremont,2029.0,Non-Free Agent,2023.0,National,1.0,8.0,2.86,D.Curtin 8/3/2005,AFC,W,,,,,,,
Adelaide,12,Jordan Dawson,1997-04-09,190.0,Midfield,158,28yr 11mth,Sturt,2029.0,Restricted Free Agent,2015.0,National,4.0,56.0,3.21,J.Dawson 9/4/1997,AFC,M,,,,,,,
Adelaide,31,Billy Dowling,2004-07-01,187.0,MidfieldForward,10,21yr 8mth,North Adelaide,2026.0,Non-Free Agent,2022.0,National,3.0,43.0,,,,,,,,,,,
Adelaide,5,Sid Draper,2006-07-05,182.0,MidfieldForward,10,19yr 8mth,South Adelaide,2027.0,Non-Free Agent,2024.0,National,1.0,4.0,1.38,S.Draper 5/7/2006,AFC,M,,,,,,,
Adelaide,11,Charlie Edwards,2005-05-18,191.0,DefenderMidfield,0,20yr 10mth,Sandringham Dragons,2026.0,Non-Free Agent,2023.0,National,1.0,21.0,,,,,,,,,,,
Adelaide,32,Darcy Fogarty,1999-09-25,192.0,Forward,128,26yr 5mth,Glenelg,2031.0,Unrestricted Free Agent,2017.0,National,1.0,12.0,2.52,D.Fogarty 25/9/1999,AFC,KF,,,,,,,
Adelaide,20,Mitchell Hinge,1998-06-28,187.0,Defender,89,27yr 8mth,Glenelg,2026.0,Unrestricted Free Agent,2016.0,Rookie,2.0,20.0,2.43,M.Hinge 28/6/1998,AFC,GD,,,,,,,
Adelaide,1,Chayce Jones,2000-01-14,180.0,Midfield,98,26yr 2mth,Launceston,2026.0,Restricted Free Agent,2018.0,National,1.0,9.0,,,,,,,,,,,
Adelaide,48,Mark Keane,2000-03-17,194.0,Defender,56,26yr,Cork,2028.0,Non-Free Agent,,,,,2.67,M.Keane 17/3/2000,AFC,KD,,,,,,,
Adelaide,2,Ben Keays,1997-02-23,185.0,Forward,163,29yr,Brisbane Reserves,2027.0,Unrestricted Free Agent,2019.0,Rookie,1.0,7.0,3.06,B.Keays 23/2/1997,AFC,GF,,,,,,,
Adelaide,29,Rory Laird,1993-12-29,178.0,Defender,271,32yr 2mth,West Adelaide,2027.0,Unrestricted Free Agent,2013.0,National,6.0,86.0,3.49,R.Laird 29/12/1993,AFC,GD,,,,,,,
Adelaide,34,Archie Ludowyke,2007-11-19,197.0,Forward,0,18yr 4mth,Sandringham Dragons,2027.0,Unknown,2025.0,National,3.0,50.0,,,,,,,,,,,
Adelaide,36,Finnbar Maley,2003-07-18,197.0,Forward,7,22yr 8mth,Northern Bullants,2026.0,Non-Free Agent,2023.0,Rookie,1.0,2.0,2.21,F.Maley 18/7/2003,NMFC,KF,,,,,,,
Adelaide,26,Mitchell Marsh,2007-02-15,192.0,Forward,0,19yr 1mth,West Adelaide,2027.0,Unknown,2025.0,National,1.0,22.0,,,,,,,,,,,
Adelaide,42,Lachlan McAndrew,2000-05-26,209.0,Ruck,4,25yr 9mth,Sydney,2027.0,Unrestricted Free Agent,2021.0,Mid-Season,1.0,12.0,,,,,,,,,,,
Adelaide,16,Max Michalanney,2004-02-26,190.0,Defender,68,22yr,Norwood,2030.0,Restricted Free Agent,2022.0,National,1.0,17.0,2.26,M.Michalanney 26/2/2004,AFC,GD,,,,,,,
Adelaide,30,Wayne Milera,1997-09-14,185.0,Defender,125,28yr 6mth,Central District,2028.0,Unrestricted Free Agent,2015.0,National,1.0,11.0,2.71,W.Milera 14/9/1997,AFC,GD,,,,,,,
Adelaide,9,Nick Murray,2000-12-18,195.0,Defender,69,25yr 3mth,Allies,2028.0,Restricted Free Agent,,,,,2.05,N.Murray 18/12/2000,AFC,KD,,,,,,,
Adelaide,39,Toby Murray,2003-11-03,200.0,Forward,1,22yr 4mth,Adelaide SANFL,2027.0,Non-Free Agent,2024.0,Mid-Season,1.0,7.0,,,,,,,,,,,
Adelaide,27,Luke Nankervis,2003-05-25,189.0,Midfield,31,22yr 9mth,Sandringham Dragons,2027.0,Non-Free Agent,2021.0,Pre-Season,1.0,2.0,2.1,L.Nankervis 25/5/2003,AFC,W,,,,,,,
Adelaide,28,Alex Neal-Bullen,1996-01-09,182.0,Forward,203,30yr 2mth,Glenelg,2028.0,Unrestricted Free Agent,2014.0,National,2.0,40.0,2.97,A.Neal-Bullen 9/1/1996,AFC,GF,,,,,,,
Adelaide,43,Reilly O'Brien,1995-08-20,201.0,Ruck,146,30yr 7mth,Calder Cannons,2028.0,Unrestricted Free Agent,2014.0,Rookie,1.0,9.0,2.73,R.O'Brien 20/8/1995,AFC,R,,,,,,,
Adelaide,25,James Peatling,2000-08-21,186.0,Midfield,70,25yr 7mth,GWS Giants,2028.0,Non-Free Agent,2021.0,Mid-Season,1.0,8.0,2.38,J.Peatling 21/8/2000,AFC,M,,,,,,,
Adelaide,10,Luke Pedlar,2002-05-17,183.0,Forward,41,23yr 10mth,Glenelg,2026.0,Non-Free Agent,2020.0,National,1.0,11.0,2.31,L.Pedlar 17/5/2002,AFC,GF,,,,,,,
Adelaide,8,Josh Rachele,2003-04-11,180.0,Forward,72,22yr 11mth,Murray Bushrangers,2029.0,Restricted Free Agent,2021.0,National,1.0,6.0,2.74,J.Rachele 11/4/2003,AFC,GF,,,,,,,
Adelaide,23,Izak Rankine,2000-04-23,179.0,MidfieldForward,106,25yr 10mth,West Adelaide,2027.0,Non-Free Agent,2018.0,National,1.0,3.0,2.82,I.Rankine 23/4/2000,AFC,M,,,,,,,
Adelaide,22,Oscar Ryan,2005-05-15,187.0,Defender,0,20yr 10mth,Murray Bushrangers,2026.0,Non-Free Agent,2023.0,National,1.0,27.0,,,,,,,,,,,
Adelaide,38,Lachlan Sholl,2000-03-07,186.0,Midfield,79,26yr,Calder Cannons,2026.0,Restricted Free Agent,2018.0,National,4.0,64.0,2.14,L.Sholl 7/3/2000,AFC,W,,,,,,,
Adelaide,14,Jake Soligo,2003-01-25,179.0,Midfield,87,23yr 1mth,Eastern Ranges,2029.0,Restricted Free Agent,2021.0,National,2.0,36.0,2.53,J.Soligo 25/1/2003,AFC,M,,,,,,,
Adelaide,19,Zac Taylor,2003-01-31,180.0,Forward,26,23yr 1mth,Calder Cannons,2026.0,Non-Free Agent,2021.0,National,3.0,44.0,2.27,Z.Taylor 31/1/2003,AFC,GF,,,,,,,
Adelaide,7,Riley Thilthorpe,2002-07-07,201.0,Forward,80,23yr 8mth,West Adelaide Fc,2028.0,Restricted Free Agent,2020.0,National,1.0,2.0,3.56,R.Thilthorpe 7/7/2002,AFC,KF,,,,,,,
Adelaide,13,Taylor Walker,1990-04-25,192.0,Forward,303,35yr 10mth,Broken Hill North,2026.0,Unrestricted Free Agent,,,,,2.74,T.Walker 25/4/1990,AFC,KF,,,,,,,
Adelaide,17,Tyler Welsh,2006-08-15,191.0,Forward,0,19yr 7mth,Woodville-West Torrens,2026.0,Unrestricted Free Agent,2025.0,Rookie,1.0,11.0,,,,,,,,,,,
Adelaide,24,Josh Worrell,2001-04-11,195.0,Defender,57,24yr 11mth,Sandringham Dragons,2033.0,Unrestricted Free Agent,2019.0,National,2.0,28.0,2.82,J.Worrell 11/4/2001,AFC,GD,,,,,,,
Brisbane,4,Oscar Allen,1999-03-19,196.0,Forward,107,27yr,West Perth,2031.0,Non-Free Agent,2017.0,National,2.0,21.0,2.38,O.Allen 19/3/1999,WCFC,KF,,,,,,,
Brisbane,31,Harris Andrews,1996-12-11,200.0,Defender,240,29yr 3mth,Aspley,2029.0,Unrestricted Free Agent,2014.0,National,4.0,61.0,3.36,H.Andrews 11/12/1996,BFC,KD,,,,,,,
Brisbane,14,Daniel Annable,2007-04-05,184.0,Midfield,1,18yr 11mth,Brisbane Lions Academy,2028.0,Unknown,2025.0,National,1.0,6.0,,,,,,,,,,,
Brisbane,43,Noah Answerth,1999-08-06,182.0,Defender,89,26yr 7mth,Oakleigh Chargers,2028.0,Unrestricted Free Agent,2018.0,National,3.0,55.0,2.33,N.Answerth 6/8/1999,BFC,GD,,,,,,,
Brisbane,10,Levi Ashcroft,2006-12-18,179.0,Midfield,29,19yr 3mth,Sandringham Dragons,2030.0,Non-Free Agent,2024.0,National,1.0,5.0,2.65,L.Ashcroft 18/12/2006,BFC,W,,,,,,,
Brisbane,8,Will Ashcroft,2004-05-06,182.0,Midfield,60,21yr 10mth,Sandringham Dragons,2030.0,Restricted Free Agent,2022.0,National,1.0,2.0,2.81,W.Ashcroft 6/5/2004,BFC,M,,,,,,,
Brisbane,33,Zac Bailey,1999-09-23,181.0,MidfieldForward,167,26yr 5mth,Norwood,2026.0,Restricted Free Agent,2017.0,National,1.0,15.0,2.63,Z.Bailey 23/9/1999,BFC,M,,,,,,,
Brisbane,17,Luke Beecken,2001-04-18,185.0,Midfield,1,24yr 11mth,Woodville-West Torrens,2026.0,Non-Free Agent,2024.0,Mid-Season,2.0,17.0,,,,,,,,,,,
Brisbane,7,Jarrod Berry,1998-02-05,193.0,Midfield,186,28yr 1mth,North Ballarat Rebels,2029.0,Unrestricted Free Agent,2016.0,National,1.0,17.0,3.07,J.Berry 5/2/1998,BFC,W,,,,,,,
Brisbane,34,Shadeau Brain,2004-02-13,183.0,Defender,9,22yr 1mth,Noosa,2027.0,Non-Free Agent,,,,,,,,,,,,,,,
Brisbane,23,Charlie Cameron,1994-07-05,180.0,Forward,256,31yr 8mth,Swan Districts,2028.0,Unrestricted Free Agent,2013.0,Rookie,1.0,7.0,2.53,C.Cameron 5/7/1994,BFC,GF,,,,,,,
Brisbane,18,Keidean Coleman,2000-03-31,182.0,Defender,68,25yr 11mth,Brisbane,2027.0,Restricted Free Agent,2019.0,National,2.0,37.0,,,,,,,,,,,
Brisbane,37,Cody Curtin,2007-05-18,200.0,Forward,0,18yr 10mth,Claremont,2027.0,Unknown,2025.0,National,3.0,43.0,,,,,,,,,,,
Brisbane,12,Tom Doedee,1997-03-01,190.0,Defender,83,29yr,Geelong Falcons,2027.0,Non-Free Agent,2015.0,National,1.0,17.0,,,,,,,,,,,
Brisbane,2,Sam Draper,1998-09-28,205.0,ForwardRuck,79,27yr 5mth,South Adelaide,2030.0,Non-Free Agent,2016.0,Rookie,1.0,1.0,2.92,S.Draper 28/9/1998,EFC,R,,,,,,,
Brisbane,5,Josh Dunkley,1997-01-09,191.0,Midfield,196,29yr 2mth,Gippsland Power,2030.0,Restricted Free Agent,2015.0,National,2.0,25.0,3.15,J.Dunkley 9/1/1997,BFC,M,,,,,,,
Brisbane,24,Koby Evans,2007-09-08,187.0,Midfield,0,18yr 6mth,Perth,2027.0,Unknown,2025.0,National,3.0,38.0,,,,,,,,,,,
Brisbane,3,Jaspa Fletcher,2004-02-24,184.0,Defender,70,22yr,Brisbane Lions,2030.0,Restricted Free Agent,2022.0,National,1.0,12.0,2.97,J.Fletcher 24/2/2004,BFC,GD,,,,,,,
Brisbane,32,Darcy Fort,1993-08-06,204.0,Ruck,59,32yr 7mth,Central District,2026.0,Non-Free Agent,2018.0,National,4.0,65.0,2.3,D.Fort 6/8/1993,BFC,R,,,,,,,
Brisbane,22,Ty Gallop,2006-02-09,194.0,Forward,8,20yr 1mth,Maroochydore,2029.0,Non-Free Agent,2024.0,National,3.0,42.0,2.22,T.Gallop 9/2/2006,BFC,KF,,,,,,,
Brisbane,27,Darcy Gardiner,1995-09-22,192.0,Defender,184,30yr 6mth,Geelong Falcons,2026.0,Unrestricted Free Agent,2013.0,National,2.0,22.0,2.18,D.Gardiner 22/9/1995,BFC,KD,,,,,,,
Brisbane,42,Tai Hayes,2004-11-18,190.0,MidfieldForward,0,21yr 4mth,Southport Sharks,2027.0,Unknown,2025.0,National,3.0,44.0,,,,,,,,,,,
Brisbane,30,Eric Hipwood,1997-09-13,204.0,Forward,199,28yr 6mth,Aspley,2029.0,Unrestricted Free Agent,2015.0,National,1.0,14.0,2.51,E.Hipwood 13/9/1997,BFC,KF,,,,,,,
Brisbane,41,Darragh Joyce,1997-04-23,195.0,Defender,24,28yr 10mth,Kilkenny,2026.0,Unrestricted Free Agent,2024.0,Rookie,1.0,15.0,,,,,,,,,,,
Brisbane,35,Ryan Lester,1992-08-26,190.0,Defender,235,33yr 6mth,Oakleigh Chargers,2026.0,Unrestricted Free Agent,2022.0,Rookie,1.0,15.0,2.57,R.Lester 26/8/1992,BFC,GD,,,,,,,
Brisbane,19,Luke Lloyd,2005-08-08,193.0,Forward,0,20yr 7mth,Sandringham Dragons,2026.0,Non-Free Agent,2023.0,National,2.0,42.0,,,,,,,,,,,
Brisbane,1,Kai Lohmann,2003-05-06,185.0,Forward,55,22yr 10mth,GWV Rebels,2027.0,Non-Free Agent,2021.0,National,1.0,20.0,2.49,K.Lohmann 6/5/2003,BFC,GF,,,,,,,
Brisbane,20,Sam Marshall,2006-01-19,185.0,Midfield,11,20yr 2mth,Sandringham Dragons,2027.0,Non-Free Agent,2024.0,National,1.0,25.0,1.77,S.Marshall 19/1/2006,BFC,W,,,,,,,
Brisbane,11,Lincoln McCarthy,1993-10-22,176.0,Forward,152,32yr 5mth,Glenelg,2026.0,Restricted Free Agent,2025.0,Rookie,1.0,14.0,,,,,,,,,,,
Brisbane,6,Hugh McCluggage,1998-03-03,187.0,Midfield,210,28yr,North Ballarat Rebels,2031.0,Unrestricted Free Agent,2016.0,National,1.0,3.0,3.0,H.McCluggage 3/3/1998,BFC,M,,,,,,,
Brisbane,26,Conor McKenna,1996-03-28,184.0,Forward,128,29yr 11mth,"Eglish, Tyrone",2026.0,Non-Free Agent,,,,,1.59,C.McKenna 28/3/1996,BFC,GF,,,,,,,
Brisbane,28,Will McLachlan,2005-04-13,185.0,Forward,6,20yr 11mth,Geelong Falcons,2026.0,Non-Free Agent,2024.0,Mid-Season,1.0,6.0,2.07,W.McLachlan 13/4/2005,BFC,GF,,,,,,,
Brisbane,13,Logan Morris,2005-05-10,191.0,Forward,46,20yr 10mth,Western Jets,2027.0,Non-Free Agent,2023.0,National,2.0,31.0,2.48,L.Morris 10/5/2005,BFC,KF,,,,,,,
Brisbane,39,Ben Murphy,,191.0,Defender,0,,Kerry GAA,2027.0,Unknown,,,,,,,,,,,,,,,
Brisbane,9,Lachie Neale,1993-05-24,177.0,Midfield,296,32yr 9mth,Glenelg,2026.0,Restricted Free Agent,2011.0,National,3.0,58.0,2.91,L.Neale 24/5/1993,BFC,M,,,,,,,
Brisbane,40,Jack Payne,1999-10-15,196.0,Defender,81,26yr 5mth,Lions Academy,2029.0,Unrestricted Free Agent,2017.0,National,3.0,54.0,2.79,J.Payne 15/10/1999,BFC,KD,,,,,,,
Brisbane,16,Cameron Rayner,1999-10-21,187.0,Forward,169,26yr 5mth,Western Jets,2031.0,Unrestricted Free Agent,2017.0,National,1.0,1.0,,,,,,,,,,,
Brisbane,38,Bruce Reville,2001-02-22,185.0,Midfield,27,25yr 1mth,Coates Talent League Boys,2026.0,Non-Free Agent,,,,,2.13,B.Reville 22/2/2001,BFC,W,,,,,,,
