Team,Jumper_No,Player,DOB,Height,Position,Games,Age,Origin,Contract_Expiry,FA_Status,Draft_Year,Draft_Type,Draft_Round,Draft_Pick,Overall_Rating,data_provider_id,Team_API,Season_API,Position_API,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating
Adelaide,4,Callum Ah Chee,1997-10-09,182.0,Forward,171,28yr 6mth,South Fremantle,2031.0,Non-Free Agent,2025.0,Pre-Season,1.0,1.0,1.85,C.Ah Chee 9/10/1997,AFC,2026,M,,,,,,,
Adelaide,3,Sam Berry,2002-02-12,181.0,Midfield,81,24yr 2mth,Gippsland Power,2026.0,Non-Free Agent,2020.0,National,2.0,28.0,2.84,S.Berry 12/2/2002,AFC,2026,M,,,,,,,
Adelaide,21,Hugh Bond,2004-09-25,185.0,Defender,15,21yr 6mth,Greater Western Victoria Rebels,2027.0,Non-Free Agent,,,,,2.4,H.Bond 25/9/2004,AFC,2026,GD,,,,,,,
Adelaide,35,James Borlase,2002-07-18,192.0,Defender,18,23yr 8mth,Sturt,2026.0,Unrestricted Free Agent,2023.0,Rookie,2.0,20.0,1.79,J.Borlase 18/7/2002,AFC,2025,KD,,,,,,,
Adelaide,41,Jordon Butts,1999-12-31,195.0,Defender,88,26yr 3mth,Murray Bushrangers,2026.0,Restricted Free Agent,2018.0,Rookie,3.0,39.0,2.74,J.Butts 31/12/1999,AFC,2026,KD,,,,,,,
Adelaide,15,Brayden Cook,2002-07-18,189.0,MidfieldForward,35,23yr 8mth,South Adelaide,2026.0,Non-Free Agent,2020.0,National,1.0,25.0,2.89,B.Cook 18/7/2002,AFC,2026,W,,,,,,,
Adelaide,33,Indy Cotton,2007-05-08,195.0,Forward,0,18yr 11mth,NBL One East,2027.0,Unknown,,,,,,,,,,,,,,,,
Adelaide,44,Isaac Cumming,1998-08-11,188.0,Midfield,109,27yr 8mth,Broken Hill,2030.0,Non-Free Agent,2016.0,National,1.0,20.0,2.26,I.Cumming 11/8/1998,AFC,2026,W,,,,,,,
Adelaide,6,Daniel Curtin,2005-03-08,197.0,Midfield,32,21yr 1mth,Claremont,2029.0,Non-Free Agent,2023.0,National,1.0,8.0,2.86,D.Curtin 8/3/2005,AFC,2025,W,,,,,,,
Adelaide,12,Jordan Dawson,1997-04-09,190.0,Midfield,160,29yr,Sturt,2029.0,Restricted Free Agent,2015.0,National,4.0,56.0,2.75,J.Dawson 9/4/1997,AFC,2026,M,,,,,,,
Adelaide,31,Billy Dowling,2004-07-01,187.0,MidfieldForward,10,21yr 9mth,North Adelaide,2026.0,Non-Free Agent,,,,,3.27,B.Dowling 1/7/2004,ADL SA,2026,M,,,,,,,
Adelaide,5,Sid Draper,2006-07-05,182.0,MidfieldForward,10,19yr 9mth,South Adelaide,2027.0,Non-Free Agent,2024.0,National,1.0,4.0,2.31,S.Draper 5/7/2006,ADL SA,2026,M,,,,,,,
Adelaide,11,Charlie Edwards,2005-05-18,191.0,DefenderMidfield,0,20yr 10mth,Sandringham Dragons,2026.0,Non-Free Agent,2023.0,National,1.0,21.0,2.88,C.Edwards 18/5/2005,ADL SA,2026,GD,,,,,,,
Adelaide,32,Darcy Fogarty,1999-09-25,192.0,Forward,129,26yr 6mth,Glenelg,2031.0,Unrestricted Free Agent,2017.0,National,1.0,12.0,2.11,D.Fogarty 25/9/1999,AFC,2026,KF,,,,,,,
Adelaide,20,Mitchell Hinge,1998-06-28,187.0,Defender,90,27yr 9mth,Glenelg,2026.0,Unrestricted Free Agent,2016.0,Rookie,2.0,20.0,2.43,M.Hinge 28/6/1998,AFC,2025,GD,,,,,,,
Adelaide,1,Chayce Jones,2000-01-14,180.0,DefenderMidfield,100,26yr 2mth,Launceston,2026.0,Restricted Free Agent,2018.0,National,1.0,9.0,2.25,C.Jones 14/1/2000,AFC,2026,GD,,,,,,,
Adelaide,48,Mark Keane,2000-03-17,194.0,Defender,56,26yr,Cork,2028.0,Non-Free Agent,,,,,2.67,M.Keane 17/3/2000,AFC,2025,KD,,,,,,,
Adelaide,2,Ben Keays,1997-02-23,185.0,Forward,166,29yr 1mth,Brisbane Reserves,2027.0,Unrestricted Free Agent,2019.0,Rookie,1.0,7.0,2.3,B.Keays 23/2/1997,AFC,2026,GF,,,,,,,
Adelaide,29,Rory Laird,1993-12-29,178.0,Defender,272,32yr 3mth,West Adelaide,2027.0,Unrestricted Free Agent,2013.0,National,6.0,86.0,2.57,R.Laird 29/12/1993,AFC,2026,GD,,,,,,,
Adelaide,34,Archie Ludowyke,2007-11-19,197.0,Forward,0,18yr 4mth,Sandringham Dragons,2027.0,Unknown,2025.0,National,3.0,50.0,,,,,,,,,,,,
Adelaide,36,Finnbar Maley,2003-07-18,197.0,Forward,10,22yr 8mth,Northern Bullants,2026.0,Non-Free Agent,2023.0,Rookie,1.0,2.0,2.21,F.Maley 18/7/2003,NMFC,2026,KF,,,,,,,
Adelaide,26,Mitchell Marsh,2007-02-15,192.0,Forward,0,19yr 1mth,West Adelaide,2027.0,Unknown,2025.0,National,1.0,22.0,,,,,,,,,,,,
Adelaide,42,Lachlan McAndrew,2000-05-26,209.0,Ruck,7,25yr 10mth,Sydney,2027.0,Unrestricted Free Agent,2021.0,Mid-Season,1.0,12.0,2.67,L.McAndrew 26/5/2000,AFC,2026,R,,,,,,,
Adelaide,16,Max Michalanney,2004-02-26,190.0,Defender,71,22yr 1mth,Norwood,2030.0,Restricted Free Agent,,,,,2.41,M.Michalanney 26/2/2004,AFC,2026,GD,,,,,,,
Adelaide,30,Wayne Milera,1997-09-14,185.0,Defender,128,28yr 6mth,Central District,2028.0,Unrestricted Free Agent,2015.0,National,1.0,11.0,2.59,W.Milera 14/9/1997,AFC,2026,GD,,,,,,,
Adelaide,9,Nick Murray,2000-12-18,195.0,Defender,72,25yr 3mth,Allies,2028.0,Restricted Free Agent,,,,,2.94,N.Murray 18/12/2000,AFC,2026,KD,,,,,,,
Adelaide,39,Toby Murray,2003-11-03,200.0,Forward,1,22yr 5mth,Adelaide SANFL,2027.0,Non-Free Agent,2024.0,Mid-Season,1.0,7.0,2.44,T.Murray 3/11/2003,ADL SA,2025,R,,,,,,,
