Player,Team,Jumper,Position,Height,DOB,Age,Matches,RatingPoints_Avg,CoachesVotes_Avg,CoachesVotes_Total,TimeOnGround,Supercoach_Avg,DreamTeamPoints_Avg
Callum Ah Chee,Adelaide,4,Forward,182.0,1997-10-09,28.0,2,5.75,0.0,0,64.5,45.0,37.5
Sam Berry,Adelaide,3,Midfield,181.0,2002-02-12,24.0,5,11.0,0.0,0,73.4,98.6,90.0
Hugh Bond,Adelaide,21,Defender,185.0,2004-09-25,21.0,3,2.5,0.0,0,86.0,56.0,46.0
James Borlase,Adelaide,35,Defender,192.0,2002-07-18,23.0,2,7.45,0.0,0,90.0,55.0,30.0
Jordon Butts,Adelaide,41,Defender,195.0,1999-12-31,26.0,3,6.933,1.333,4,92.0,64.667,49.667
Brayden Cook,Adelaide,15,MidfieldForward,189.0,2002-07-18,23.0,5,10.56,0.0,0,81.2,71.4,65.6
Indy Cotton,Adelaide,33,Forward,195.0,2007-05-08,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Isaac Cumming,Adelaide,44,Midfield,188.0,1998-08-11,27.0,4,7.825,0.0,0,79.75,66.25,74.0
Daniel Curtin,Adelaide,6,Midfield,197.0,2005-03-08,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Jordan Dawson,Adelaide,12,Midfield,190.0,1997-04-09,29.0,4,16.55,0.0,0,80.75,93.75,99.75
Billy Dowling,Adelaide,31,MidfieldForward,187.0,2004-07-01,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Sid Draper,Adelaide,5,MidfieldForward,182.0,2006-07-05,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Charlie Edwards,Adelaide,11,DefenderMidfield,191.0,2005-05-18,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Darcy Fogarty,Adelaide,32,Forward,192.0,1999-09-25,26.0,3,3.533,0.0,0,76.0,42.667,49.0
Mitchell Hinge,Adelaide,20,Defender,187.0,1998-06-28,27.0,1,8.3,0.0,0,37.0,44.0,34.0
Chayce Jones,Adelaide,1,Midfield,180.0,2000-01-14,26.0,3,5.6,0.0,0,85.0,47.333,43.0
Mark Keane,Adelaide,48,Defender,194.0,2000-03-17,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Ben Keays,Adelaide,2,Forward,185.0,1997-02-23,29.0,5,9.0,0.0,0,87.2,59.8,60.0
Rory Laird,Adelaide,29,Defender,178.0,1993-12-29,32.0,3,6.867,0.0,0,76.333,73.333,83.333
Archie Ludowyke,Adelaide,34,Forward,197.0,2007-11-19,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Finnbar Maley,Adelaide,36,Forward,197.0,2003-07-18,22.0,3,5.1,0.0,0,63.0,51.0,47.333
Mitchell Marsh,Adelaide,26,Forward,192.0,2007-02-15,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan McAndrew,Adelaide,42,Ruck,209.0,2000-05-26,25.0,5,12.9,0.5,2,72.6,88.6,88.8
Max Michalanney,Adelaide,16,Defender,190.0,2004-02-26,22.0,5,5.94,0.0,0,82.0,62.0,63.2
Wayne Milera,Adelaide,30,Defender,185.0,1997-09-14,28.0,5,12.3,3.0,12,81.0,99.0,87.2
Nick Murray,Adelaide,9,Defender,195.0,2000-12-18,25.0,5,9.0,0.0,0,92.8,73.0,50.8
Toby Murray,Adelaide,39,Forward,200.0,2003-11-03,22.0,1,-0.9,0.0,0,32.0,12.0,23.0
Luke Nankervis,Adelaide,27,Midfield,189.0,2003-05-25,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Alex Neal-Bullen,Adelaide,28,Forward,182.0,1996-01-09,30.0,5,10.92,0.75,3,82.6,67.4,72.0
Reilly O'Brien,Adelaide,43,Ruck,201.0,1995-08-20,30.0,1,-1.6,0.0,0,35.0,8.0,31.0
James Peatling,Adelaide,25,Midfield,186.0,2000-08-21,25.0,5,11.52,0.25,1,72.0,82.4,72.2
Luke Pedlar,Adelaide,10,Forward,183.0,2002-05-17,23.0,4,2.7,0.0,0,69.25,29.0,33.75
Josh Rachele,Adelaide,8,Forward,180.0,2003-04-11,22.0,5,14.22,1.5,6,80.4,97.2,98.8
Izak Rankine,Adelaide,23,MidfieldForward,179.0,2000-04-23,25.0,4,10.55,0.0,0,79.5,70.25,65.25
Oscar Ryan,Adelaide,22,Defender,187.0,2005-05-15,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Sholl,Adelaide,38,Midfield,186.0,2000-03-07,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Jake Soligo,Adelaide,14,Midfield,179.0,2003-01-25,23.0,5,9.9,0.0,0,71.4,73.2,62.4
Zac Taylor,Adelaide,19,Forward,180.0,2003-01-31,23.0,3,8.267,0.0,0,72.333,53.667,48.333
Riley Thilthorpe,Adelaide,7,Forward,201.0,2002-07-07,23.0,5,10.88,1.25,5,87.0,84.4,78.0
Taylor Walker,Adelaide,13,Forward,192.0,1990-04-25,35.0,4,10.3,0.0,0,82.75,77.0,66.25
Tyler Welsh,Adelaide,17,Forward,191.0,2006-08-15,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Josh Worrell,Adelaide,24,Defender,195.0,2001-04-11,24.0,5,11.94,1.5,6,86.0,104.8,87.2
Oscar Allen,Brisbane,4,Forward,196.0,1999-03-19,27.0,4,5.525,0.0,0,77.75,56.0,54.0
Harris Andrews,Brisbane,31,Defender,200.0,1996-12-11,29.0,1,14.6,2.0,2,97.0,89.0,64.0
Daniel Annable,Brisbane,14,Midfield,184.0,2007-04-05,19.0,1,4.6,0.0,0,60.0,40.0,53.0
Noah Answerth,Brisbane,43,Defender,182.0,1999-08-06,26.0,2,1.65,0.0,0,71.0,35.5,36.0
Levi Ashcroft,Brisbane,10,Midfield,179.0,2006-12-18,19.0,4,8.2,0.0,0,78.25,80.5,80.75
Will Ashcroft,Brisbane,8,Midfield,182.0,2004-05-06,21.0,4,11.75,4.75,19,83.25,98.25,105.75
Zac Bailey,Brisbane,33,MidfieldForward,181.0,1999-09-23,26.0,3,14.1,4.0,12,84.0,99.333,88.0
Luke Beecken,Brisbane,17,Midfield,185.0,2001-04-18,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Jarrod Berry,Brisbane,7,Midfield,193.0,1998-02-05,28.0,4,9.775,2.5,10,76.0,89.5,89.75
Shadeau Brain,Brisbane,34,Defender,183.0,2004-02-13,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Charlie Cameron,Brisbane,23,Forward,180.0,1994-07-05,31.0,4,10.925,1.5,6,80.5,68.5,73.25
Keidean Coleman,Brisbane,18,Defender,182.0,2000-03-31,26.0,4,8.15,0.0,0,76.5,81.0,81.25
Cody Curtin,Brisbane,37,Forward,200.0,2007-05-18,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Tom Doedee,Brisbane,12,Defender,190.0,1997-03-01,29.0,0,0.0,0.0,0,0.0,0.0,0.0
Sam Draper,Brisbane,2,ForwardRuck,205.0,1998-09-28,27.0,3,4.8,0.333,1,65.333,55.667,50.667
Josh Dunkley,Brisbane,5,Midfield,191.0,1997-01-09,29.0,4,10.7,0.0,0,77.0,90.0,87.75
Koby Evans,Brisbane,24,Midfield,187.0,2007-09-08,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Jaspa Fletcher,Brisbane,3,Defender,184.0,2004-02-24,22.0,4,8.825,0.0,0,82.0,87.5,79.25
Darcy Fort,Brisbane,32,Ruck,204.0,1993-08-06,32.0,4,12.15,0.0,0,66.5,75.5,66.0
Ty Gallop,Brisbane,22,Forward,194.0,2006-02-09,20.0,4,4.75,0.0,0,79.25,38.0,37.5
Darcy Gardiner,Brisbane,27,Defender,192.0,1995-09-22,30.0,2,5.15,0.0,0,78.0,43.5,43.5
Tai Hayes,Brisbane,42,MidfieldForward,190.0,2004-11-18,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Eric Hipwood,Brisbane,30,Forward,204.0,1997-09-13,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Darragh Joyce,Brisbane,41,Defender,195.0,1997-04-23,28.0,1,2.6,0.0,0,85.0,57.0,50.0
Ryan Lester,Brisbane,35,Defender,190.0,1992-08-26,33.0,4,12.45,0.25,1,92.25,80.0,76.25
Luke Lloyd,Brisbane,19,Forward,193.0,2005-08-08,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Kai Lohmann,Brisbane,1,Forward,185.0,2003-05-06,22.0,4,11.0,0.75,3,79.5,69.0,64.0
Sam Marshall,Brisbane,20,Midfield,185.0,2006-01-19,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Lincoln McCarthy,Brisbane,11,Forward,176.0,1993-10-22,32.0,3,6.733,0.0,0,76.0,58.0,50.333
Hugh McCluggage,Brisbane,6,Midfield,187.0,1998-03-03,28.0,1,2.1,0.0,0,17.0,13.0,20.0
Conor McKenna,Brisbane,26,Forward,184.0,1996-03-28,30.0,0,0.0,0.0,0,0.0,0.0,0.0
Will McLachlan,Brisbane,28,Forward,185.0,2005-04-13,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Logan Morris,Brisbane,13,Forward,191.0,2005-05-10,20.0,3,10.167,1.333,4,81.667,82.667,86.667
Ben Murphy,Brisbane,39,Defender,191.0,,,0,0.0,0.0,0,0.0,0.0,0.0
Lachie Neale,Brisbane,9,Midfield,177.0,1993-05-24,32.0,4,14.45,1.5,6,86.25,100.75,95.0
Jack Payne,Brisbane,40,Defender,196.0,1999-10-15,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Cameron Rayner,Brisbane,16,Forward,187.0,1999-10-21,26.0,4,6.125,0.0,0,83.75,63.75,61.75
Bruce Reville,Brisbane,38,Midfield,185.0,2001-02-22,25.0,4,11.325,0.0,0,72.75,78.0,72.25
Henry Smith,Brisbane,25,Forward,202.0,2002-09-24,23.0,0,0.0,0.0,0,0.0,0.0,0.0
Reece Torrent,Brisbane,36,Midfield,184.0,2005-08-03,20.0,0,0.0,0.0,0,0.0,0.0,0.0
James Tunstill,Brisbane,29,Midfield,187.0,2003-07-18,22.0,2,1.5,0.0,0,71.0,39.5,47.0
Darcy Wilmot,Brisbane,44,Defender,183.0,2003-12-31,22.0,4,7.575,0.5,2,86.5,79.0,84.5
Zane Zakostelsky,Brisbane,21,DefenderRuck,196.0,2005-12-14,20.0,2,6.25,0.0,0,67.0,59.0,51.5
Dayne Zorko,Brisbane,15,Defender,175.0,1989-02-09,37.0,4,15.325,0.25,1,84.0,110.0,118.5
Blake Acres,Carlton,13,Midfield,193.0,1995-10-07,30.0,0,0.0,0.0,0,0.0,0.0,0.0
Ben Ainsworth,Carlton,12,Forward,178.0,1998-02-10,28.0,5,9.68,0.75,3,77.4,62.4,64.0
Jordan Boyd,Carlton,37,Defender,182.0,1998-09-22,27.0,2,7.8,0.0,0,73.0,66.0,69.0
Talor Byrne,Carlton,39,MidfieldForward,174.0,2007-11-14,18.0,3,5.567,0.0,0,65.667,39.0,34.333
Ben Camporeale,Carlton,16,Midfield,186.0,2006-07-21,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Lucas Camporeale,Carlton,21,Midfield,184.0,2006-07-21,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Matt Carroll,Carlton,32,Defender,188.0,2005-11-28,20.0,4,10.7,0.0,0,76.0,65.25,58.0
Adam Cerra,Carlton,5,Midfield,188.0,1999-10-07,26.0,2,7.65,0.0,0,73.5,84.0,79.5
Harry Charleson,Carlton,28,DefenderMidfield,183.0,2006-06-26,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Campbell Chesser,Carlton,31,Midfield,186.0,2003-04-27,22.0,3,4.833,0.0,0,77.667,62.667,62.333
Matt Cottrell,Carlton,46,MidfieldForward,184.0,2000-02-29,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Cowan,Carlton,2,Defender,188.0,2004-12-01,21.0,4,5.05,0.0,0,80.75,50.75,53.75
Patrick Cripps,Carlton,9,Midfield,195.0,1995-03-18,31.0,5,11.08,1.5,6,81.2,89.8,85.2
Harry Dean,Carlton,35,Defender,194.0,2007-11-13,18.0,3,7.933,0.0,0,79.0,52.667,40.0
Wade Derksen,Carlton,47,Defender,194.0,2001-06-18,24.0,2,6.3,0.0,0,86.5,46.5,40.0
Matt Duffy,Carlton,41,Defender,194.0,2004-01-02,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Francis Evans,Carlton,44,Forward,182.0,2001-08-23,24.0,3,4.733,0.0,0,73.667,55.0,56.333
Oliver Florent,Carlton,14,Midfield,184.0,1998-07-22,27.0,5,10.7,0.0,0,84.8,88.6,82.4
Lachlan Fogarty,Carlton,8,Forward,180.0,1999-04-01,27.0,2,4.2,0.0,0,68.5,47.0,30.0
Nick Haynes,Carlton,26,Defender,192.0,1992-05-18,33.0,1,11.6,0.0,0,85.0,68.0,84.0
Will Hayward,Carlton,19,Forward,186.0,1998-10-26,27.0,4,5.275,0.0,0,75.5,51.0,55.0
George Hewett,Carlton,29,Midfield,187.0,1995-12-29,30.0,4,8.2,0.0,0,73.5,91.5,84.25
Elijah Hollands,Carlton,20,Forward,189.0,2002-04-25,23.0,5,11.5,0.75,3,77.8,77.2,67.6
Oliver Hollands,Carlton,4,Defender,184.0,2004-01-16,22.0,5,4.08,0.25,1,87.2,78.4,78.8
Jack Ison,Carlton,30,Midfield,192.0,2007-03-26,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Brodie Kemp,Carlton,17,Forward,192.0,2001-05-01,24.0,5,4.3,0.0,0,83.4,54.0,53.2
Cooper Lord,Carlton,36,Midfield,184.0,2005-03-20,21.0,2,9.45,0.0,0,76.0,80.0,78.0
Mitch McGovern,Carlton,11,Defender,190.0,1994-10-11,31.0,5,12.46,0.0,0,77.8,76.0,66.6
Harry McKay,Carlton,10,Forward,200.0,1997-12-24,28.0,5,6.06,0.0,0,94.8,65.4,64.4
Ashton Moir,Carlton,43,Forward,188.0,2005-04-15,20.0,1,6.8,0.0,0,78.0,57.0,59.0
Rob Monahan,Carlton,34,Forward,194.0,2004-06-29,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Jesse Motlop,Carlton,3,Forward,180.0,2003-11-23,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Nic Newman,Carlton,24,Defender,186.0,1993-01-15,33.0,2,9.7,0.0,0,78.5,93.0,81.0
Harry O'Farrell,Carlton,22,Defender,196.0,2006-05-03,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Hudson O'Keeffe,Carlton,40,Forward,202.0,2004-12-16,21.0,3,2.5,0.0,0,47.333,29.667,28.333
Marc Pittonet,Carlton,27,Ruck,202.0,1996-06-03,29.0,5,16.4,0.0,0,72.0,94.8,79.6
Liam Reidy,Carlton,25,ForwardRuck,204.0,2000-06-14,25.0,1,1.8,0.0,0,61.0,31.0,40.0
Adam Saad,Carlton,42,Defender,178.0,1994-07-23,31.0,1,12.2,0.0,0,64.0,83.0,30.0
Jagga Smith,Carlton,7,Midfield,182.0,2006-01-28,20.0,5,8.12,1.25,5,76.0,77.8,76.0
Sam Walsh,Carlton,18,Midfield,184.0,2000-07-02,25.0,5,14.68,3.25,13,78.4,104.2,96.2
Jacob Weitering,Carlton,23,Defender,195.0,1997-11-23,28.0,4,10.275,0.25,1,87.5,73.0,53.5
Zachary Williams,Carlton,6,Forward,186.0,1994-09-20,31.0,4,13.725,0.0,0,68.25,77.25,61.0
Billy Wilson,Carlton,15,Defender,183.0,2005-06-16,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Flynn Young,Carlton,45,Forward,181.0,2002-02-03,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Lewis Young,Carlton,33,Defender,202.0,1998-12-20,27.0,5,5.94,0.0,0,93.4,57.2,40.0
Edward Allan,Collingwood,16,Midfield,194.0,2004-05-26,21.0,3,5.2,0.0,0,66.333,42.0,39.667
Angus Anderson,Collingwood,41,Midfield,193.0,2003-05-25,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Jack Buller,Collingwood,34,Forward,199.0,2001-05-16,24.0,2,-0.25,0.0,0,72.0,20.0,28.0
Darcy Cameron,Collingwood,14,Ruck,204.0,1995-07-18,30.0,4,9.35,0.0,0,78.5,77.75,77.0
Joel Cochran,Collingwood,27,Defender,195.0,2006-03-28,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Jack Crisp,Collingwood,25,Midfield,190.0,1993-10-02,32.0,4,13.075,0.5,2,77.5,89.25,93.75
