Player,Team,Jumper,Position,Height,DOB,Age,Matches
Callum Ah Chee,Adelaide,4,Forward,182.0,1997-10-09,28.0,0
Sam Berry,Adelaide,3,Midfield,181.0,2002-02-12,24.0,0
Hugh Bond,Adelaide,21,Defender,185.0,2004-09-25,21.0,0
James Borlase,Adelaide,35,Defender,192.0,2002-07-18,23.0,0
Jordon Butts,Adelaide,41,Defender,195.0,1999-12-31,26.0,0
Brayden Cook,Adelaide,15,MidfieldForward,189.0,2002-07-18,23.0,0
Indy Cotton,Adelaide,33,Forward,195.0,2007-05-08,18.0,0
Isaac Cumming,Adelaide,44,Midfield,188.0,1998-08-11,27.0,0
Daniel Curtin,Adelaide,6,Midfield,197.0,2005-03-08,21.0,0
Jordan Dawson,Adelaide,12,Midfield,190.0,1997-04-09,29.0,0
Billy Dowling,Adelaide,31,MidfieldForward,187.0,2004-07-01,21.0,0
Sid Draper,Adelaide,5,MidfieldForward,182.0,2006-07-05,19.0,0
Charlie Edwards,Adelaide,11,DefenderMidfield,191.0,2005-05-18,20.0,0
Darcy Fogarty,Adelaide,32,Forward,192.0,1999-09-25,26.0,0
Mitchell Hinge,Adelaide,20,Defender,187.0,1998-06-28,27.0,0
Chayce Jones,Adelaide,1,DefenderMidfield,180.0,2000-01-14,26.0,0
Mark Keane,Adelaide,48,Defender,194.0,2000-03-17,26.0,0
Ben Keays,Adelaide,2,Forward,185.0,1997-02-23,29.0,0
Rory Laird,Adelaide,29,Defender,178.0,1993-12-29,32.0,0
Archie Ludowyke,Adelaide,34,Forward,197.0,2007-11-19,18.0,0
Finnbar Maley,Adelaide,36,Forward,197.0,2003-07-18,22.0,0
Mitchell Marsh,Adelaide,26,Forward,192.0,2007-02-15,19.0,0
Lachlan McAndrew,Adelaide,42,Ruck,209.0,2000-05-26,25.0,0
Max Michalanney,Adelaide,16,Defender,190.0,2004-02-26,22.0,0
Wayne Milera,Adelaide,30,Defender,185.0,1997-09-14,28.0,0
Nick Murray,Adelaide,9,Defender,195.0,2000-12-18,25.0,0
Toby Murray,Adelaide,39,Forward,200.0,2003-11-03,22.0,0
Luke Nankervis,Adelaide,27,Midfield,189.0,2003-05-25,22.0,0
Alex Neal-Bullen,Adelaide,28,Forward,182.0,1996-01-09,30.0,0
Reilly O'Brien,Adelaide,43,Ruck,201.0,1995-08-20,30.0,0
James Peatling,Adelaide,25,Midfield,186.0,2000-08-21,25.0,0
Luke Pedlar,Adelaide,10,Forward,183.0,2002-05-17,23.0,0
Josh Rachele,Adelaide,8,MidfieldForward,180.0,2003-04-11,23.0,0
Izak Rankine,Adelaide,23,MidfieldForward,179.0,2000-04-23,26.0,0
Oscar Ryan,Adelaide,22,Defender,187.0,2005-05-15,20.0,0
Lachlan Sholl,Adelaide,38,Midfield,186.0,2000-03-07,26.0,0
Jake Soligo,Adelaide,14,Midfield,179.0,2003-01-25,23.0,0
Zac Taylor,Adelaide,19,Forward,180.0,2003-01-31,23.0,0
Riley Thilthorpe,Adelaide,7,Forward,201.0,2002-07-07,23.0,0
Taylor Walker,Adelaide,13,Forward,192.0,1990-04-25,36.0,0
Tyler Welsh,Adelaide,17,Forward,191.0,2006-08-15,19.0,0
Josh Worrell,Adelaide,24,Defender,195.0,2001-04-11,25.0,0
Oscar Allen,Brisbane,4,Forward,196.0,1999-03-19,27.0,0
Harris Andrews,Brisbane,31,Defender,200.0,1996-12-11,29.0,0
Daniel Annable,Brisbane,14,Midfield,184.0,2007-04-05,19.0,0
Noah Answerth,Brisbane,43,Defender,182.0,1999-08-06,26.0,0
Levi Ashcroft,Brisbane,10,Midfield,179.0,2006-12-18,19.0,0
Will Ashcroft,Brisbane,8,Midfield,182.0,2004-05-06,21.0,0
Zac Bailey,Brisbane,33,MidfieldForward,181.0,1999-09-23,26.0,0
Luke Beecken,Brisbane,17,Midfield,185.0,2001-04-18,25.0,0
Jarrod Berry,Brisbane,7,Midfield,193.0,1998-02-05,28.0,0
Shadeau Brain,Brisbane,34,Defender,183.0,2004-02-13,22.0,0
Charlie Cameron,Brisbane,23,Forward,180.0,1994-07-05,31.0,0
Keidean Coleman,Brisbane,18,Defender,182.0,2000-03-31,26.0,0
Cody Curtin,Brisbane,37,Forward,200.0,2007-05-18,18.0,0
Tom Doedee,Brisbane,12,Defender,190.0,1997-03-01,29.0,0
Sam Draper,Brisbane,2,ForwardRuck,205.0,1998-09-28,27.0,0
Josh Dunkley,Brisbane,5,Midfield,191.0,1997-01-09,29.0,0
Koby Evans,Brisbane,24,Midfield,187.0,2007-09-08,18.0,0
Jaspa Fletcher,Brisbane,3,Defender,184.0,2004-02-24,22.0,0
Darcy Fort,Brisbane,32,Ruck,204.0,1993-08-06,32.0,0
Ty Gallop,Brisbane,22,DefenderForward,194.0,2006-02-09,20.0,0
Darcy Gardiner,Brisbane,27,Defender,192.0,1995-09-22,30.0,0
Tai Hayes,Brisbane,42,MidfieldForward,190.0,2004-11-18,21.0,0
