Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,84,3,87,2,88,2,88,1,86,3,83,1,86,1
Hawthorn,83,4,82,4,77,7,74,9,79,6,83,1,80,2
Gold Coast,70,12,88,1,89,1,79,5,71,10,82,4,80,2
Adelaide,75,8,68,14,79,6,84,3,89,1,74,10,78,4
Fremantle,87,1,81,5,69,13,88,1,69,15,77,5,78,4
North Melbourne,79,5,85,3,86,3,72,13,63,17,75,9,77,6
Geelong,75,8,76,9,69,13,79,5,88,2,77,5,77,6
Brisbane,87,1,77,8,75,10,71,14,61,18,83,1,76,8
Western Bulldogs,79,5,78,7,76,8,73,10,70,12,74,10,75,9
GWS Giants,72,11,76,9,66,16,77,8,74,8,77,5,74,10
Melbourne,70,12,75,11,83,5,66,15,70,12,76,8,73,11
Collingwood,62,17,73,12,70,12,81,4,84,4,69,15,73,11
Port Adelaide,68,14,79,6,76,8,73,10,71,10,71,14,73,11
St Kilda,75,8,68,14,71,11,73,10,77,7,73,12,73,11
Carlton,78,7,60,16,68,15,78,7,80,5,72,13,73,11
Essendon,67,15,70,13,85,4,61,18,64,16,68,16,69,16
West Coast,66,16,60,16,63,17,63,16,70,12,64,17,64,17
Richmond,62,17,60,16,55,18,63,16,73,9,63,18,63,18
