Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Western Bulldogs,86,2,87,2,91,1,81,3,80,4,81,4,84,1
Gold Coast,72,11,89,1,86,3,85,2,76,7,82,3,82,2
Hawthorn,79,5,81,4,79,5,80,6,83,3,83,2,81,3
Brisbane,89,1,77,5,71,9,78,9,74,8,84,1,79,4
Sydney,77,8,85,3,85,4,79,7,73,9,77,7,79,4
North Melbourne,84,3,76,6,91,1,62,17,73,9,79,5,78,6
Geelong,72,11,74,8,76,7,75,10,88,1,74,11,76,7
Carlton,84,3,74,8,71,9,79,7,64,17,78,6,75,8
GWS Giants,78,7,73,11,68,14,68,14,79,6,77,7,74,9
Adelaide,67,14,73,11,79,5,81,3,73,9,68,14,74,9
Collingwood,63,17,72,14,67,15,88,1,80,4,71,13,74,9
Fremantle,79,5,74,8,67,15,81,3,69,14,76,10,74,9
St Kilda,75,9,76,6,63,17,72,11,72,12,77,7,72,13
Melbourne,74,10,72,14,71,9,71,13,69,14,73,12,72,13
Port Adelaide,65,16,73,11,69,12,72,11,70,13,67,15,69,15
West Coast,67,14,58,18,69,12,66,16,87,2,64,18,68,16
Richmond,68,13,64,16,61,18,68,14,67,16,66,16,66,17
Essendon,62,18,64,16,73,8,58,18,62,18,65,17,64,18
