Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Sydney,78,3,84,2,83,3,81,2,84,2,81,1,82,1
Carlton,76,5,62,9,66,8,73,6,62,10,71,7,68,10
Gold Coast,75,6,86,1,85,2,84,1,85,1,79,3,82,1
Geelong,73,7,60,10,63,9,74,4,82,3,67,9,70,8
GWS Giants,85,1,81,3,89,1,73,6,65,9,79,3,79,3
Hawthorn,66,9,71,8,73,6,71,8,66,8,74,6,70,8
Western Bulldogs,68,8,74,7,82,4,69,9,76,4,71,7,73,5
Brisbane,82,2,77,4,69,7,68,10,74,7,81,1,75,4
St Kilda,78,3,75,6,60,10,74,4,76,4,75,5,73,5
Collingwood,65,10,77,4,76,5,78,3,75,6,67,9,73,5
