Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
West Coast,62,16,58,18,62,17,62,17,79,5,62,18,64,18
Melbourne,82,4,80,5,82,5,76,8,69,13,78,5,78,6
Richmond,64,14,67,14,56,18,72,12,65,17,67,14,65,17
Port Adelaide,62,16,60,17,66,14,68,14,77,8,64,17,66,15
North Melbourne,82,4,78,7,86,3,64,16,66,16,77,8,76,8
Essendon,62,16,65,16,75,9,59,18,71,12,67,14,66,15
Fremantle,79,6,70,13,65,16,76,8,69,13,75,11,72,14
Carlton,84,3,74,10,72,11,79,5,64,18,78,5,75,10
St Kilda,73,11,81,4,66,14,72,12,78,7,77,8,74,11
Western Bulldogs,85,2,88,2,90,1,76,8,79,5,82,2,83,1
Adelaide,69,13,67,14,75,9,86,2,75,9,67,14,73,13
GWS Giants,79,6,76,8,80,6,68,14,83,2,78,5,77,7
Sydney,77,10,84,3,84,4,79,5,73,11,77,8,79,4
Collingwood,64,14,73,12,69,13,87,1,80,4,72,13,74,11
Gold Coast,78,9,90,1,88,2,85,3,67,15,82,2,82,2
Geelong,72,12,74,10,76,8,75,11,88,1,74,12,76,8
Hawthorn,79,6,80,5,79,7,80,4,83,2,82,2,80,3
Brisbane,89,1,76,8,72,11,78,7,75,9,84,1,79,4
