Player,Team,Overall_Rating,data_provider_id,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating
Callum Ah Chee,Adelaide,2.89,C.Ah Chee 9/10/1997,,,,,,,
Sam Berry,Adelaide,,,,,,,,,
Hugh Bond,Adelaide,,,,,,,,,
James Borlase,Adelaide,,,,,,,,,
Jordon Butts,Adelaide,,,,,,,,,
Brayden Cook,Adelaide,,,,,,,,,
Indy Cotton,Adelaide,,,,,,,,,
Isaac Cumming,Adelaide,2.58,I.Cumming 11/8/1998,,,,,,,
Daniel Curtin,Adelaide,2.86,D.Curtin 8/3/2005,,,,,,,
Jordan Dawson,Adelaide,3.21,J.Dawson 9/4/1997,,,,,,,
Billy Dowling,Adelaide,,,,,,,,,
Sid Draper,Adelaide,,,,,,,,,
Charlie Edwards,Adelaide,,,,,,,,,
Darcy Fogarty,Adelaide,2.52,D.Fogarty 25/9/1999,,,,,,,
Mitchell Hinge,Adelaide,2.43,M.Hinge 28/6/1998,,,,,,,
Chayce Jones,Adelaide,,,,,,,,,
Mark Keane,Adelaide,2.67,M.Keane 17/3/2000,,,,,,,
Ben Keays,Adelaide,3.06,B.Keays 23/2/1997,,,,,,,
Rory Laird,Adelaide,3.49,R.Laird 29/12/1993,,,,,,,
Archie Ludowyke,Adelaide,,,,,,,,,
Finnbar Maley,Adelaide,,,,,,,,,
Mitchell Marsh,Adelaide,,,,,,,,,
Lachlan McAndrew,Adelaide,,,,,,,,,
Max Michalanney,Adelaide,2.26,M.Michalanney 26/2/2004,,,,,,,
Wayne Milera,Adelaide,2.71,W.Milera 14/9/1997,,,,,,,
Nick Murray,Adelaide,,,,,,,,,
Toby Murray,Adelaide,,,,,,,,,
Luke Nankervis,Adelaide,,,,,,,,,
Alex Neal-Bullen,Adelaide,2.97,A.Neal-Bullen 9/1/1996,,,,,,,
Reilly O'Brien,Adelaide,2.73,R.O'Brien 20/8/1995,,,,,,,
James Peatling,Adelaide,2.38,J.Peatling 21/8/2000,,,,,,,
Luke Pedlar,Adelaide,,,,,,,,,
Josh Rachele,Adelaide,2.74,J.Rachele 11/4/2003,,,,,,,
Izak Rankine,Adelaide,2.82,I.Rankine 23/4/2000,,,,,,,
Oscar Ryan,Adelaide,,,,,,,,,
Lachlan Sholl,Adelaide,,,,,,,,,
Jake Soligo,Adelaide,2.53,J.Soligo 25/1/2003,,,,,,,
Zac Taylor,Adelaide,,,,,,,,,
Riley Thilthorpe,Adelaide,3.56,R.Thilthorpe 7/7/2002,,,,,,,
Taylor Walker,Adelaide,2.74,T.Walker 25/4/1990,,,,,,,
Tyler Welsh,Adelaide,,,,,,,,,
Josh Worrell,Adelaide,2.82,J.Worrell 11/4/2001,,,,,,,
Oscar Allen,Brisbane,2.38,O.Allen 19/3/1999,,,,,,,
Harris Andrews,Brisbane,3.36,H.Andrews 11/12/1996,,,,,,,
Daniel Annable,Brisbane,,,,,,,,,
Noah Answerth,Brisbane,2.33,N.Answerth 6/8/1999,,,,,,,
Levi Ashcroft,Brisbane,2.65,L.Ashcroft 18/12/2006,,,,,,,
Will Ashcroft,Brisbane,2.81,W.Ashcroft 6/5/2004,,,,,,,
Zac Bailey,Brisbane,2.63,Z.Bailey 23/9/1999,,,,,,,
Luke Beecken,Brisbane,,,,,,,,,
Jarrod Berry,Brisbane,3.07,J.Berry 5/2/1998,,,,,,,
Shadeau Brain,Brisbane,,,,,,,,,
Charlie Cameron,Brisbane,2.53,C.Cameron 5/7/1994,,,,,,,
Keidean Coleman,Brisbane,,,,,,,,,
Cody Curtin,Brisbane,,,,,,,,,
Tom Doedee,Brisbane,,,,,,,,,
Sam Draper,Brisbane,2.92,S.Draper 28/9/1998,,,,,,,
Josh Dunkley,Brisbane,3.15,J.Dunkley 9/1/1997,,,,,,,
Koby Evans,Brisbane,,,,,,,,,
Jaspa Fletcher,Brisbane,2.97,J.Fletcher 24/2/2004,,,,,,,
Darcy Fort,Brisbane,,,,,,,,,
Ty Gallop,Brisbane,,,,,,,,,
Darcy Gardiner,Brisbane,,,,,,,,,
Tai Hayes,Brisbane,,,,,,,,,
Eric Hipwood,Brisbane,2.51,E.Hipwood 13/9/1997,,,,,,,
Darragh Joyce,Brisbane,,,,,,,,,
Ryan Lester,Brisbane,2.57,R.Lester 26/8/1992,,,,,,,
Luke Lloyd,Brisbane,,,,,,,,,
Kai Lohmann,Brisbane,2.49,K.Lohmann 6/5/2003,,,,,,,
Sam Marshall,Brisbane,,,,,,,,,
Lincoln McCarthy,Brisbane,,,,,,,,,
Hugh McCluggage,Brisbane,3.0,H.McCluggage 3/3/1998,,,,,,,
Conor McKenna,Brisbane,,,,,,,,,
Will McLachlan,Brisbane,,,,,,,,,
Logan Morris,Brisbane,2.48,L.Morris 10/5/2005,,,,,,,
Ben Murphy,Brisbane,,,,,,,,,
Lachie Neale,Brisbane,2.91,L.Neale 24/5/1993,,,,,,,
Jack Payne,Brisbane,2.79,J.Payne 15/10/1999,,,,,,,
Cameron Rayner,Brisbane,,,,,,,,,
Bruce Reville,Brisbane,,,,,,,,,
Henry Smith,Brisbane,,,,,,,,,
Reece Torrent,Brisbane,,,,,,,,,
James Tunstill,Brisbane,,,,,,,,,
Darcy Wilmot,Brisbane,2.9,D.Wilmot 31/12/2003,,,,,,,
Zane Zakostelsky,Brisbane,,,,,,,,,
Dayne Zorko,Brisbane,2.93,D.Zorko 9/2/1989,,,,,,,
Blake Acres,Carlton,,,,,,,,,
Ben Ainsworth,Carlton,2.57,B.Ainsworth 10/2/1998,,,,,,,
Jordan Boyd,Carlton,,,,,,,,,
Talor Byrne,Carlton,,,,,,,,,
Ben Camporeale,Carlton,,,,,,,,,
Lucas Camporeale,Carlton,,,,,,,,,
Matt Carroll,Carlton,,,,,,,,,
Adam Cerra,Carlton,2.78,A.Cerra 7/10/1999,,,,,,,
Harry Charleson,Carlton,,,,,,,,,
Campbell Chesser,Carlton,,,,,,,,,
Matt Cottrell,Carlton,,,,,,,,,
Lachlan Cowan,Carlton,,,,,,,,,
Patrick Cripps,Carlton,2.95,P.Cripps 18/3/1995,,,,,,,
Harry Dean,Carlton,,,,,,,,,
Wade Derksen,Carlton,,,,,,,,,
Matt Duffy,Carlton,,,,,,,,,
Francis Evans,Carlton,,,,,,,,,
Oliver Florent,Carlton,,,,,,,,,
Lachlan Fogarty,Carlton,,,,,,,,,
Nick Haynes,Carlton,2.92,N.Haynes 18/5/1992,,,,,,,
Will Hayward,Carlton,2.73,W.Hayward 26/10/1998,,,,,,,
George Hewett,Carlton,3.12,G.Hewett 29/12/1995,,,,,,,
Elijah Hollands,Carlton,,,,,,,,,
Oliver Hollands,Carlton,2.76,O.Hollands 16/1/2004,,,,,,,
Jack Ison,Carlton,,,,,,,,,
Brodie Kemp,Carlton,2.14,B.Kemp 1/5/2001,,,,,,,
Cooper Lord,Carlton,2.52,C.Lord 20/3/2005,,,,,,,
Mitch McGovern,Carlton,2.34,M.McGovern 11/10/1994,,,,,,,
Harry McKay,Carlton,,,,,,,,,
Ashton Moir,Carlton,,,,,,,,,
Rob Monahan,Carlton,,,,,,,,,
Jesse Motlop,Carlton,2.56,J.Motlop 23/11/2003,,,,,,,
Nic Newman,Carlton,,,,,,,,,
Harry O'Farrell,Carlton,,,,,,,,,
Hudson O'Keeffe,Carlton,,,,,,,,,
Marc Pittonet,Carlton,,,,,,,,,
Liam Reidy,Carlton,,,,,,,,,
Adam Saad,Carlton,2.56,A.Saad 23/7/1994,,,,,,,
Jagga Smith,Carlton,,,,,,,,,
Sam Walsh,Carlton,2.74,S.Walsh 2/7/2000,,,,,,,
Jacob Weitering,Carlton,3.1,J.Weitering 23/11/1997,,,,,,,
Zachary Williams,Carlton,,,,,,,,,
Billy Wilson,Carlton,,,,,,,,,
Flynn Young,Carlton,2.26,F.Young 3/2/2002,,,,,,,
Lewis Young,Carlton,,,,,,,,,
Edward Allan,Collingwood,2.35,E.Allan 26/5/2004,,,,,,,
Angus Anderson,Collingwood,,,,,,,,,
Jack Buller,Collingwood,,,,,,,,,
Darcy Cameron,Collingwood,3.16,D.Cameron 18/7/1995,,,,,,,
Joel Cochran,Collingwood,,,,,,,,,
Jack Crisp,Collingwood,3.35,J.Crisp 2/10/1993,,,,,,,
Josh Daicos,Collingwood,2.96,J.Daicos 26/11/1998,,,,,,,
Nick Daicos,Collingwood,3.05,N.Daicos 3/1/2003,,,,,,,
Jordan De Goey,Collingwood,2.06,J.De Goey 15/3/1996,,,,,,,
Harry Demattia,Collingwood,,,,,,,,,
Jamie Elliott,Collingwood,3.06,J.Elliott 21/8/1992,,,,,,,
Billy Frampton,Collingwood,2.61,B.Frampton 20/11/1996,,,,,,,
Harvey Harrison,Collingwood,2.17,H.Harrison 10/11/2003,,,,,,,
Will Hayes,Collingwood,,,,,,,,,
Bobby Hill,Collingwood,2.54,B.Hill 9/2/2000,,,,,,,
Dan Houston,Collingwood,2.56,D.Houston 12/5/1997,,,,,,,
Jeremy Howe,Collingwood,2.31,J.Howe 29/6/1990,,,,,,,
Noah Howes,Collingwood,,,,,,,,,
Tew Jiath,Collingwood,,,,,,,,,
Patrick Lipinski,Collingwood,2.18,P.Lipinski 17/7/1998,,,,,,,
Ned Long,Collingwood,2.54,N.Long 5/2/2003,,,,,,,
Brayden Maynard,Collingwood,2.62,B.Maynard 20/9/1996,,,,,,,
Zac McCarthy,Collingwood,,,,,,,,,
Beau McCreery,Collingwood,2.62,B.McCreery 19/4/2001,,,,,,,
Reef McInnes,Collingwood,1.39,R.McInnes 12/12/2002,,,,,,,
Daniel McStay,Collingwood,2.71,D.McStay 24/6/1995,,,,,,,
Tim Membrey,Collingwood,2.36,T.Membrey 26/5/1994,,,,,,,
Darcy Moore,Collingwood,3.08,D.Moore 25/1/1996,,,,,,,
Wil Parker,Collingwood,1.83,W.Parker 29/5/2002,,,,,,,
Scott Pendlebury,Collingwood,2.6,S.Pendlebury 7/1/1988,,,,,,,
Harry Perryman,Collingwood,2.57,H.Perryman 19/12/1998,,,,,,,
Tyan Prindable,Collingwood,,,,,,,,,
Isaac Quaynor,Collingwood,2.59,I.Quaynor 15/1/2000,,,,,,,
Jakob Ryan,Collingwood,,,,,,,,,
Jai Saxena,Collingwood,,,,,,,,,
Lachlan Schultz,Collingwood,,,,,,,,,
Steele Sidebottom,Collingwood,3.21,S.Sidebottom 2/1/1991,,,,,,,
Iliro Smit,Collingwood,,,,,,,,,
Roan Steele,Collingwood,1.67,R.Steele 22/10/2001,,,,,,,
Oscar Steene,Collingwood,,,,,,,,,
Lachie Sullivan,Collingwood,,,,,,,,,
Samuel Swadling,Collingwood,,,,,,,,,
Charlie West,Collingwood,,,,,,,,,
Lachlan Blakiston,Essendon,,,,,,,,,
Cillian Bourke,Essendon,,,,,,,,,
Nick Bryan,Essendon,2.1,N.Bryan 22/10/2001,,,,,,,
Nate Caddy,Essendon,2.42,N.Caddy 14/7/2005,,,,,,,
Jye Caldwell,Essendon,2.95,J.Caldwell 28/9/2000,,,,,,,
Angus Clarke,Essendon,,,,,,,,,
Nikolas Cox,Essendon,,,,,,,,,
Archer Day-Wicks,Essendon,,,,,,,,,
Sam Durham,Essendon,2.76,S.Durham 9/7/2001,,,,,,,
Xavier Duursma,Essendon,2.93,X.Duursma 7/7/2000,,,,,,,
Tom Edwards,Essendon,,,,,,,,,
Hussien El Achkar,Essendon,,,,,,,,,
Saad El-Hawli,Essendon,,,,,,,,,
Jacob Farrow,Essendon,,,,,,,,,
Brayden Fiorini,Essendon,,,,,,,,,
Kayle Gerreyn,Essendon,,,,,,,,,
Jade Gresham,Essendon,2.66,J.Gresham 24/8/1997,,,,,,,
Matt Guelfi,Essendon,,,,,,,,,
Lewis Hayes,Essendon,,,,,,,,,
Zak Johnson,Essendon,,,,,,,,,
Harrison Jones,Essendon,1.91,H.Jones 25/2/2001,,,,,,,
Isaac Kako,Essendon,2.48,I.Kako 7/3/2006,,,,,,,
Max Kondogiannis,Essendon,,,,,,,,,
