Player,Team,Overall_Rating,data_provider_id,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating,Ball Winning,Stoppage,Contest,Power,Receives,Ball Use,Handballing,Kicking,Goal Kicking,Connecting,Aerial,Marking,Contested,Moks,Ruck,Defence,Pressure,Tackling,Intercepting,Neutralise
Callum Ah Chee,Adelaide,1.85,C.Ah Chee 9/10/1997,,,,,,,,1.51,1.23,1.39,2.14,1.64,1.63,0.97,2.04,1.9,1.49,2.8,3.67,2.03,3.0,2.43,2.05,1.96,1.41,2.58,4.42
Sam Berry,Adelaide,2.37,S.Berry 12/2/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugh Bond,Adelaide,2.4,H.Bond 25/9/2004,,,,,,,,2.12,2.33,2.24,2.7,1.84,2.07,2.24,1.9,1.96,2.13,1.85,1.39,1.65,2.62,2.48,3.49,4.06,4.46,2.62,2.42
James Borlase,Adelaide,1.79,J.Borlase 18/7/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordon Butts,Adelaide,2.07,J.Butts 31/12/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brayden Cook,Adelaide,1.48,B.Cook 18/7/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indy Cotton,Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Cumming,Adelaide,2.26,I.Cumming 11/8/1998,,,,,,,,1.58,1.7,2.14,2.2,0.95,2.59,1.76,2.45,3.74,2.32,2.55,2.99,2.11,2.12,2.5,2.48,2.99,1.61,1.87,3.33
Daniel Curtin,Adelaide,2.86,D.Curtin 8/3/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Dawson,Adelaide,3.21,J.Dawson 9/4/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Dowling,Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sid Draper,Adelaide,1.38,S.Draper 5/7/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Edwards,Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darcy Fogarty,Adelaide,2.11,D.Fogarty 25/9/1999,,,,,,,,2.28,2.01,2.37,2.29,2.43,2.12,1.05,2.33,2.21,2.19,1.72,2.1,1.11,1.99,2.02,2.86,2.94,3.3,2.85,1.96
Mitchell Hinge,Adelaide,2.43,M.Hinge 28/6/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chayce Jones,Adelaide,2.25,,,,,,,,,2.38,1.72,3.31,3.11,1.82,2.23,2.83,1.98,1.96,1.77,1.63,1.76,1.82,1.27,2.48,2.53,2.02,2.35,3.6,2.09
Mark Keane,Adelaide,2.67,M.Keane 17/3/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Keays,Adelaide,2.3,B.Keays 23/2/1997,,,,,,,,2.36,1.78,2.42,2.52,2.56,2.37,2.79,2.83,1.58,2.7,2.1,2.45,1.85,2.04,2.47,2.31,2.51,2.23,1.79,2.41
Rory Laird,Adelaide,3.49,R.Laird 29/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archie Ludowyke,Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnbar Maley,Adelaide,2.21,F.Maley 18/7/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Marsh,Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachlan McAndrew,Adelaide,2.45,,,,,,,,,2.77,2.89,2.41,2.73,3.01,2.26,2.93,1.89,1.55,2.67,2.54,1.72,1.5,2.31,3.54,2.08,2.11,2.48,2.48,1.54
Max Michalanney,Adelaide,2.42,M.Michalanney 26/2/2004,,,,,,,,2.14,1.77,2.65,2.33,1.87,1.82,0.61,2.69,1.96,2.35,2.97,3.33,2.94,2.6,2.48,3.19,3.33,3.69,3.09,2.38
Wayne Milera,Adelaide,2.71,W.Milera 14/9/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Murray,Adelaide,2.05,N.Murray 18/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Murray,Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Nankervis,Adelaide,2.1,L.Nankervis 25/5/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Neal-Bullen,Adelaide,2.97,A.Neal-Bullen 9/1/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reilly O'Brien,Adelaide,2.73,R.O'Brien 20/8/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Peatling,Adelaide,2.28,J.Peatling 21/8/2000,,,,,,,,2.23,2.23,2.36,2.68,1.83,2.24,2.18,2.84,1.51,1.98,2.87,1.96,3.7,2.59,2.43,1.97,1.73,2.23,1.48,2.34
