Player,Team,Overall_Rating,data_provider_id,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating,Ball Winning_Rating,Ball Use_Rating,Aerial_Rating,Defence_Rating
Callum Ah Chee,Adelaide,1.83,C.Ah Chee 9/10/1997,,,,,,,,1.53,1.62,2.82,1.93
Sam Berry,Adelaide,2.81,S.Berry 12/2/2002,,,,,,,,3.18,2.46,1.86,3.43
Hugh Bond,Adelaide,2.25,H.Bond 25/9/2004,,,,,,,,1.93,2.02,1.85,3.12
James Borlase,Adelaide,2.54,J.Borlase 18/7/2002,,,,,,,,1.51,2.01,2.46,3.43
Jordon Butts,Adelaide,2.73,J.Butts 31/12/1999,,,,,,,,2.51,2.88,3.13,2.45
Brayden Cook,Adelaide,2.72,B.Cook 18/7/2002,,,,,,,,2.58,2.53,3.05,3.0
Indy Cotton,Adelaide,,,,,,,,,,,,,
Isaac Cumming,Adelaide,2.47,I.Cumming 11/8/1998,,,,,,,,2.39,2.5,2.32,2.65
Daniel Curtin,Adelaide,2.86,D.Curtin 8/3/2005,,,,,,,,2.57,2.39,4.22,3.09
Jordan Dawson,Adelaide,2.88,J.Dawson 9/4/1997,,,,,,,,2.81,2.7,2.99,3.2
Billy Dowling,Adelaide,3.27,B.Dowling 1/7/2004,,,,,,,,3.53,3.29,2.9,3.07
Sid Draper,Adelaide,2.31,S.Draper 5/7/2006,,,,,,,,2.47,2.19,1.66,2.67
Charlie Edwards,Adelaide,2.88,C.Edwards 18/5/2005,,,,,,,,3.59,3.03,2.25,2.32
Darcy Fogarty,Adelaide,2.07,D.Fogarty 25/9/1999,,,,,,,,2.26,2.07,1.65,2.87
Mitchell Hinge,Adelaide,2.43,M.Hinge 28/6/1998,,,,,,,,2.43,1.99,2.53,2.97
Chayce Jones,Adelaide,2.05,C.Jones 14/1/2000,,,,,,,,2.0,2.01,1.48,2.49
Mark Keane,Adelaide,2.67,M.Keane 17/3/2000,,,,,,,,2.83,2.21,2.45,2.96
Ben Keays,Adelaide,2.5,B.Keays 23/2/1997,,,,,,,,2.73,2.57,1.96,2.63
Rory Laird,Adelaide,2.57,R.Laird 29/12/1993,,,,,,,,2.87,2.68,2.69,2.04
Archie Ludowyke,Adelaide,,,,,,,,,,,,,
Finnbar Maley,Adelaide,2.62,F.Maley 18/7/2003,,,,,,,,2.26,1.83,3.63,3.26
Mitchell Marsh,Adelaide,,,,,,,,,,,,,
Lachlan McAndrew,Adelaide,2.72,L.McAndrew 26/5/2000,,,,,,,,2.64,2.21,3.04,2.84
Max Michalanney,Adelaide,2.5,M.Michalanney 26/2/2004,,,,,,,,2.37,1.86,3.0,3.23
Wayne Milera,Adelaide,2.96,W.Milera 14/9/1997,,,,,,,,3.1,3.06,2.67,2.85
Nick Murray,Adelaide,2.61,N.Murray 18/12/2000,,,,,,,,2.29,2.69,2.21,3.1
Toby Murray,Adelaide,2.44,T.Murray 3/11/2003,,,,,,,,2.27,2.78,2.27,2.57
Luke Nankervis,Adelaide,2.3,L.Nankervis 25/5/2003,,,,,,,,2.25,1.7,3.29,2.7
Alex Neal-Bullen,Adelaide,2.85,A.Neal-Bullen 9/1/1996,,,,,,,,3.23,2.57,2.65,3.01
Reilly O'Brien,Adelaide,2.73,R.O'Brien 20/8/1995,,,,,,,,2.16,2.31,3.12,3.15
James Peatling,Adelaide,2.48,J.Peatling 21/8/2000,,,,,,,,2.69,2.38,2.75,2.09
Luke Pedlar,Adelaide,1.89,L.Pedlar 17/5/2002,,,,,,,,1.94,1.45,2.21,2.41
Josh Rachele,Adelaide,2.65,J.Rachele 11/4/2003,,,,,,,,2.91,2.76,2.14,2.43
Izak Rankine,Adelaide,2.8,I.Rankine 23/4/2000,,,,,,,,2.97,2.71,2.3,3.36
Oscar Ryan,Adelaide,2.24,O.Ryan 15/5/2005,,,,,,,,2.15,2.09,2.23,2.56
Lachlan Sholl,Adelaide,2.19,L.Sholl 7/3/2000,,,,,,,,2.3,2.1,2.33,2.01
Jake Soligo,Adelaide,2.18,J.Soligo 25/1/2003,,,,,,,,1.93,2.29,2.11,2.52
Zac Taylor,Adelaide,2.38,Z.Taylor 31/1/2003,,,,,,,,2.09,2.79,2.27,2.11
Riley Thilthorpe,Adelaide,3.12,R.Thilthorpe 7/7/2002,,,,,,,,3.92,2.86,2.94,2.56
Taylor Walker,Adelaide,2.73,T.Walker 25/4/1990,,,,,,,,2.89,2.72,2.58,2.75
Tyler Welsh,Adelaide,2.25,T.Welsh 15/8/2006,,,,,,,,2.25,2.2,2.18,2.64
Josh Worrell,Adelaide,3.02,J.Worrell 11/4/2001,,,,,,,,3.36,2.92,2.71,2.99
Oscar Allen,Brisbane,2.4,O.Allen 19/3/1999,,,,,,,,2.14,2.8,2.32,1.89
Harris Andrews,Brisbane,3.2,H.Andrews 11/12/1996,,,,,,,,3.24,2.92,3.18,3.3
Daniel Annable,Brisbane,,,,,,,,,,,,,
Noah Answerth,Brisbane,1.88,N.Answerth 6/8/1999,,,,,,,,1.5,2.0,1.59,2.29
Levi Ashcroft,Brisbane,2.6,L.Ashcroft 18/12/2006,,,,,,,,2.8,2.56,2.69,2.3
Will Ashcroft,Brisbane,2.69,W.Ashcroft 6/5/2004,,,,,,,,3.18,2.47,2.29,2.48
Zac Bailey,Brisbane,2.61,Z.Bailey 23/9/1999,,,,,,,,2.24,3.31,2.54,2.27
Luke Beecken,Brisbane,2.36,L.Beecken 18/4/2001,,,,,,,,2.06,2.56,2.42,2.54
Jarrod Berry,Brisbane,2.97,J.Berry 5/2/1998,,,,,,,,3.32,2.82,2.58,2.97
Shadeau Brain,Brisbane,2.89,S.Brain 13/2/2004,,,,,,,,3.2,2.39,2.69,3.41
