Team,Player_Raw,Draft_Year,Draft_Type,Draft_Round,Draft_Pick
Adelaide,Mitchell Marsh,2025,National,1.0,22
Adelaide,Archie Ludowyke,2025,National,3.0,50
Adelaide,Callum Ah Chee,2025,Pre-Season,1.0,1
Adelaide,Tyler Welsh,2025,Rookie,1.0,11
Adelaide,Mitchell Marsh,2025,National,1.0,22
Adelaide,Archie Ludowyke,2025,National,3.0,50
Adelaide,Callum Ah Chee,2025,Pre-Season,1.0,1
Adelaide,Tyler Welsh,2025,Rookie,1.0,11
Adelaide,Mitchell Marsh,2025,National,1.0,22
Adelaide,Archie Ludowyke,2025,National,3.0,50
Adelaide,Callum Ah Chee,2025,Pre-Season,1.0,1
Adelaide,Tyler Welsh,2025,Rookie,1.0,11
Adelaide,Mitchell Marsh,2025,National,1.0,22
Adelaide,Archie Ludowyke,2025,National,3.0,50
Adelaide,Callum Ah Chee,2025,Pre-Season,1.0,1
Adelaide,Tyler Welsh,2025,Rookie,1.0,11
Adelaide,Mitchell Marsh,2025,National,1.0,22
Adelaide,Archie Ludowyke,2025,National,3.0,50
Adelaide,Callum Ah Chee,2025,Pre-Season,1.0,1
Adelaide,Tyler Welsh,2025,Rookie,1.0,11
Adelaide,Mitchell Marsh,2025,National,1.0,22
Adelaide,Archie Ludowyke,2025,National,3.0,50
Adelaide,Callum Ah Chee,2025,Pre-Season,1.0,1
Adelaide,Tyler Welsh,2025,Rookie,1.0,11
Adelaide,Mitchell Marsh,2025,National,1.0,22
Adelaide,Archie Ludowyke,2025,National,3.0,50
Adelaide,Callum Ah Chee,2025,Pre-Season,1.0,1
Adelaide,Tyler Welsh,2025,Rookie,1.0,11
Adelaide,Toby Murray,2024,Mid-Season,1.0,7
Adelaide,Sid Draper,2024,National,1.0,4
Adelaide,Tyler Welsh,2024,National,4.0,59
Adelaide,Harry Schoenberg,2024,Rookie,1.0,3
Adelaide,Chris Burgess,2024,Rookie,2.0,16
Adelaide,Toby Murray,2024,Mid-Season,1.0,7
Adelaide,Sid Draper,2024,National,1.0,4
Adelaide,Tyler Welsh,2024,National,4.0,59
Adelaide,Harry Schoenberg,2024,Rookie,1.0,3
Adelaide,Chris Burgess,2024,Rookie,2.0,16
Adelaide,Toby Murray,2024,Mid-Season,1.0,7
Adelaide,Sid Draper,2024,National,1.0,4
Adelaide,Tyler Welsh,2024,National,4.0,59
Adelaide,Harry Schoenberg,2024,Rookie,1.0,3
Adelaide,Chris Burgess,2024,Rookie,2.0,16
Adelaide,Toby Murray,2024,Mid-Season,1.0,7
Adelaide,Sid Draper,2024,National,1.0,4
Adelaide,Tyler Welsh,2024,National,4.0,59
Adelaide,Harry Schoenberg,2024,Rookie,1.0,3
Adelaide,Chris Burgess,2024,Rookie,2.0,16
Adelaide,Toby Murray,2024,Mid-Season,1.0,7
Adelaide,Sid Draper,2024,National,1.0,4
Adelaide,Tyler Welsh,2024,National,4.0,59
Adelaide,Harry Schoenberg,2024,Rookie,1.0,3
Adelaide,Chris Burgess,2024,Rookie,2.0,16
Adelaide,Toby Murray,2024,Mid-Season,1.0,7
Adelaide,Sid Draper,2024,National,1.0,4
Adelaide,Tyler Welsh,2024,National,4.0,59
Adelaide,Harry Schoenberg,2024,Rookie,1.0,3
Adelaide,Chris Burgess,2024,Rookie,2.0,16
Adelaide,Toby Murray,2024,Mid-Season,1.0,7
Adelaide,Sid Draper,2024,National,1.0,4
