Team,Total,Total_Rank,18 to 22,18 to 22_%,18 to 22_Rank,22 to 26,22 to 26_%,22 to 26_Rank,26 to 30,26 to 30_%,26 to 30_Rank,30+,30+_%,30+_Rank
Gold Coast,255.08399999999997,1,42.965999999999994,0.16843863198005363,7,87.98299999999999,0.3449177525834627,6,48.766999999999996,0.19118016026093365,14,75.368,0.29546345517555,4
Sydney,246.73199999999997,2,-0.5,-0.002026490280952613,18,131.249,0.5319496457694989,2,80.616,0.32673508097855164,3,35.367000000000004,0.14334176353290212,11
Hawthorn,245.96699999999998,3,26.367,0.10719730695581116,12,72.683,0.2954989897018706,10,91.684,0.37274918993198275,2,55.233,0.22455451341033553,7
Western Bulldogs,242.399,4,35.833,0.14782651743612804,10,48.266999999999996,0.19912210858955687,15,110.099,0.45420566916530186,1,48.2,0.19884570480901326,9
Brisbane,234.76599999999996,5,46.1,0.19636574290996145,6,47.900000000000006,0.2040329519606758,16,63.566,0.2707632280653928,10,77.19999999999999,0.32883807706397006,2
West Coast,230.882,6,91.88300000000001,0.3979651943416984,1,51.68300000000001,0.22385027849724104,14,53.883,0.23337895548375362,13,33.433,0.144805571677307,12
Melbourne,229.76600000000005,7,35.167,0.1530557175561223,11,80.366,0.3497732475649138,7,37.9,0.16495042782657135,17,76.333,0.33222060705239237,3
Fremantle,229.652,8,9.267,0.04035235922177904,15,146.768,0.6390887081323046,1,43.1,0.1876752651838434,15,30.517,0.13288366746207306,13
Carlton,227.749,9,54.216,0.2380515391944641,4,43.199,0.18967811055152822,17,70.934,0.31145691089752314,8,59.39999999999999,0.26081343935648454,6
Adelaide,223.616,10,3.75,0.016769819690898684,17,126.65,0.5663727103606182,3,65.066,0.29097202346880363,9,28.15,0.12588544647967945,15
Geelong,222.749,11,22.5,0.10101055448060373,13,90.05,0.4042666858212607,5,60.0,0.2693614786149433,11,50.199,0.22536128108319228,8
St Kilda,219.226,12,36.792,0.16782680886391213,9,73.31700000000001,0.33443569649585364,9,38.125,0.1739072920182825,16,70.99199999999999,0.3238302026219517,5
Collingwood,218.867,13,4.45,0.020331982436822365,16,63.31699999999999,0.28929441167466996,11,72.467,0.3311006227526306,7,78.633,0.359272983135877,1
North Melbourne,218.76699999999997,14,73.88300000000001,0.3377246111159362,2,39.8,0.18192871868243385,18,75.484,0.3450428995232371,5,29.6,0.13530377067839303,14
Port Adelaide,214.54899999999998,15,21.8,0.10160849036816766,14,96.883,0.4515658427678526,4,80.0,0.37287519401162444,4,15.866,0.07395047285235541,17
GWS Giants,213.20899999999995,16,50.917,0.23881262048037377,5,60.925000000000004,0.2857524776158606,12,57.667,0.27047169678578303,12,43.7,0.20496320511798288,10
Essendon,211.0,17,61.715999999999994,0.29249289099526066,3,59.96600000000001,0.28419905213270147,13,74.45100000000001,0.3528483412322275,6,14.867,0.07045971563981043,18
Richmond,175.85,18,37.06699999999999,0.21078760307079894,8,74.867,0.4257435314188229,8,37.033,0.21059425646858118,18,26.883,0.15287460904179698,16
