Rank,Team,Midfielder_Elite,Midfielder_A-Grade,Midfielder_B-Grade,Mid-Forward_Elite,Mid-Forward_A-Grade,Mid-Forward_B-Grade,Ruck_Elite,Ruck_A-Grade,Ruck_B-Grade,Key Forward_Elite,Key Forward_A-Grade,Key Forward_B-Grade,Wing_Elite,Wing_A-Grade,Wing_B-Grade,Gen. Forward_Elite,Gen. Forward_A-Grade,Gen. Forward_B-Grade,Gen. Defender_Elite,Gen. Defender_A-Grade,Gen. Defender_B-Grade,Key Defender_Elite,Key Defender_A-Grade,Key Defender_B-Grade,Elite_Total,A-Grade_Total,B-Grade_Total,Total,Points
1,Hawthorn,1,2,5,0,0,1,0,1,1,0,1,2,0,0,0,0,2,3,0,2,5,0,1,2,1,9,19,29,40
2,Collingwood,2,3,1,0,1,1,0,1,0,0,0,4,0,0,0,0,0,5,0,2,4,0,1,1,2,8,16,26,38
3,Adelaide,0,3,7,0,1,0,0,1,0,0,2,1,0,0,0,0,1,3,0,2,3,0,1,0,0,11,14,25,36
4,Gold Coast,2,1,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,6,0,0,5,0,1,2,3,3,19,25,34
4,Greater Western Sydney,1,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,3,3,0,1,3,0,2,0,1,11,9,21,34
4,Carlton,1,3,3,0,0,1,0,2,0,0,1,2,0,0,0,0,1,4,0,1,2,0,0,3,1,8,15,24,34
7,Brisbane,1,3,2,0,0,1,0,1,1,0,0,2,0,0,0,0,0,3,1,2,3,0,1,1,2,7,13,22,33
7,Sydney,1,3,4,0,0,1,0,1,1,0,0,1,0,0,0,0,2,1,0,2,3,0,0,3,1,8,14,23,33
7,Western Bulldogs,2,1,4,1,1,2,0,1,0,0,1,1,0,0,0,0,0,1,0,1,3,0,0,3,3,5,14,22,33
10,Geelong,0,3,2,0,0,0,0,1,1,0,1,1,0,0,0,1,1,4,0,1,4,0,0,3,1,7,15,23,32
10,Melbourne,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,6,0,2,1,3,5,13,21,32
12,Fremantle,2,3,2,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,4,0,0,3,2,7,11,20,31
12,Essendon,1,2,4,0,1,0,1,1,1,0,0,3,0,0,0,0,0,3,0,0,4,0,0,2,2,4,17,23,31
14,Port Adelaide,1,3,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,4,0,1,5,0,0,2,1,5,16,22,29
15,North Melbourne,0,3,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,3,0,1,2,0,0,4,0,7,13,20,27
16,St Kilda,0,2,2,0,0,3,0,1,0,0,0,2,0,0,0,0,1,2,0,2,1,0,0,3,0,6,13,19,25
17,West Coast,0,1,2,0,1,1,0,1,1,0,0,1,0,0,0,0,0,3,0,2,2,0,1,2,0,6,12,18,24
17,Richmond,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,1,3,0,0,5,0,5,14,19,24
