Rank,Team,Midfielder_Elite,Midfielder_A-Grade,Midfielder_B-Grade,Mid-Forward_Elite,Mid-Forward_A-Grade,Mid-Forward_B-Grade,Ruck_Elite,Ruck_A-Grade,Ruck_B-Grade,Key Forward_Elite,Key Forward_A-Grade,Key Forward_B-Grade,Wing_Elite,Wing_A-Grade,Wing_B-Grade,Gen. Forward_Elite,Gen. Forward_A-Grade,Gen. Forward_B-Grade,Gen. Defender_Elite,Gen. Defender_A-Grade,Gen. Defender_B-Grade,Key Defender_Elite,Key Defender_A-Grade,Key Defender_B-Grade,Elite_Total,A-Grade_Total,B-Grade_Total,Total,Points
1,Greater Western Sydney,2,1,4,0,0,1,0,1,0,0,1,1,0,0,0,0,3,3,0,3,1,0,2,0,2,11,10,23,38
1,Gold Coast,3,2,2,0,0,1,2,0,0,0,0,1,0,0,0,0,1,3,0,1,4,0,1,2,5,5,13,23,38
3,Essendon,2,2,3,0,1,0,0,2,1,0,0,3,0,0,0,0,0,4,0,3,1,0,0,3,2,8,15,25,37
4,Geelong,2,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4,2,0,1,3,0,0,3,2,10,10,22,36
4,Adelaide,1,2,6,1,0,0,0,1,0,1,0,2,0,0,0,0,2,1,0,1,4,0,1,0,3,7,13,23,36
4,Western Bulldogs,3,1,3,1,1,2,0,1,0,0,2,0,0,0,0,0,0,1,1,0,3,0,0,2,5,5,11,21,36
7,Carlton,1,3,3,0,0,1,1,1,0,0,2,0,0,0,0,0,0,4,0,1,3,0,1,2,2,8,13,23,35
8,Fremantle,3,0,5,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,3,0,1,1,4,6,10,20,34
9,Brisbane,2,2,2,0,1,0,0,2,0,0,0,1,0,0,0,0,1,2,0,2,2,0,1,1,2,9,8,19,32
9,Hawthorn,1,2,5,0,0,0,0,1,0,0,0,2,0,0,0,0,1,3,0,2,4,0,1,1,1,7,15,23,32
9,Collingwood,1,2,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,4,0,2,4,0,1,2,2,5,16,23,32
12,Sydney,3,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,2,5,2,12,19,31
13,Port Adelaide,1,3,2,0,0,1,0,1,1,0,0,2,0,0,0,0,0,4,0,1,4,0,0,3,1,5,17,23,30
14,Melbourne,0,3,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,5,0,0,3,2,5,13,20,29
15,North Melbourne,1,3,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,4,2,5,12,19,28
16,St Kilda,0,2,3,0,0,3,0,1,0,0,0,2,0,0,0,0,1,2,2,0,0,0,1,1,2,5,11,18,27
17,West Coast,0,1,3,0,1,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,3,0,1,2,0,5,14,19,24
17,Richmond,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,0,1,4,0,0,4,0,4,16,20,24
