Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Melbourne,86,2,76,9,78,6,84,2,82,4,80,3,81,1
GWS Giants,76,7,74,13,75,8,87,1,84,3,82,1,80,2
Adelaide,79,6,81,2,86,3,76,7,80,5,78,4,80,2
Sydney,70,14,79,5,80,5,82,4,88,1,81,2,80,2
Western Bulldogs,88,1,75,10,73,10,74,9,80,5,75,8,78,5
Collingwood,72,10,84,1,91,1,76,7,73,10,75,8,78,5
Carlton,80,5,78,6,70,13,82,4,77,7,74,12,77,7
Brisbane,83,3,80,4,85,4,74,9,62,17,78,4,77,7
St Kilda,71,11,75,10,66,15,80,6,85,2,77,6,76,9
Geelong,68,16,78,6,87,2,69,15,69,14,72,13,74,10
Port Adelaide,75,9,74,13,73,10,70,13,75,8,76,7,74,10
Fremantle,71,11,77,8,76,7,70,13,72,12,72,13,73,12
Gold Coast,82,4,68,15,69,14,74,9,71,13,72,13,73,12
Essendon,69,15,81,2,73,10,71,12,65,16,75,8,72,14
Richmond,71,11,67,16,64,16,83,3,73,10,75,8,72,14
North Melbourne,68,16,62,17,74,9,67,16,68,15,70,16,68,16
Hawthorn,76,7,75,10,61,17,65,17,62,17,69,17,68,16
West Coast,57,18,60,18,58,18,58,18,74,9,63,18,62,18
