Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Western Bulldogs,86,2,87,2,91,1,80,4,79,5,81,4,84,1
Gold Coast,72,12,89,1,87,3,84,3,76,8,82,3,82,2
Hawthorn,79,5,82,4,80,5,79,6,83,3,83,2,81,3
Sydney,77,7,86,3,85,4,78,7,72,11,77,7,79,4
Brisbane,89,1,77,5,73,7,77,10,74,9,84,1,79,4
North Melbourne,84,3,77,5,91,1,62,17,73,10,79,5,78,6
Carlton,84,3,75,8,72,8,78,7,63,17,78,6,75,7
Fremantle,78,6,75,8,69,14,80,4,69,14,76,10,74,8
GWS Giants,77,7,73,11,70,11,67,15,79,5,77,7,74,8
Collingwood,63,17,73,11,68,15,87,1,80,4,71,13,74,8
Geelong,74,10,70,14,63,17,78,7,87,1,75,11,74,8
St Kilda,75,9,77,5,65,16,72,11,72,11,77,7,73,12
Adelaide,69,13,66,15,72,8,85,2,77,7,66,15,72,13
Melbourne,73,11,73,11,72,8,71,13,69,14,73,12,72,13
Port Adelaide,65,16,74,10,70,11,72,11,70,13,67,14,70,15
West Coast,66,15,59,18,70,11,65,16,87,1,65,17,69,16
Richmond,67,14,65,16,62,18,68,14,68,16,66,15,66,17
Essendon,62,18,64,17,74,6,58,18,62,18,65,17,64,18
