Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Richmond,61,18,76,7,75,11,72,11,79,6,74,10,73,11
Carlton,65,16,70,13,71,12,74,8,62,17,75,8,70,14
Western Bulldogs,88,1,83,4,81,5,74,8,75,9,82,3,80,4
Collingwood,72,10,71,12,71,12,71,12,73,10,72,13,72,12
Fremantle,81,4,73,10,58,17,68,15,60,18,69,15,68,17
Melbourne,86,2,78,6,78,7,88,1,89,1,83,2,84,1
Adelaide,72,10,63,18,64,15,73,10,73,10,67,16,69,15
Geelong,84,3,86,2,77,9,69,14,64,15,73,11,76,6
Essendon,71,13,85,3,86,3,68,15,72,12,75,8,76,6
Hawthorn,68,15,69,14,78,7,76,6,78,7,79,5,75,8
Sydney,74,9,88,1,90,1,76,6,83,5,84,1,82,2
Brisbane,81,4,76,7,88,2,87,2,78,7,82,3,82,2
North Melbourne,69,14,67,15,62,16,65,18,68,14,64,17,66,18
Port Adelaide,77,7,79,5,79,6,84,3,84,4,79,5,80,4
GWS Giants,80,6,66,16,77,9,78,4,70,13,76,7,74,9
St Kilda,72,10,75,9,69,14,70,13,85,3,72,13,74,9
Gold Coast,64,17,64,17,57,18,78,4,86,2,63,18,69,15
West Coast,75,8,72,11,84,4,66,17,63,16,73,11,72,12
