Team,Ball Winning Ranking,Ball Winning Rank,Ball Movement Ranking,Ball Movement Rank,Scoring Ranking,Scoring Rank,Defence Ranking,Defence Rank,Pressure Ranking,Pressure Rank,Health Check Ranking,Health Check Rank,Overall Rating,Overall Rank
Melbourne,79,6,78,6,76,7,72,11,66,16,78,6,75,9
West Coast,58,18,60,18,61,17,68,15,68,14,61,18,63,18
Essendon,63,17,64,16,59,18,67,16,73,9,67,15,66,16
North Melbourne,67,14,70,14,79,6,61,18,68,14,69,14,69,14
Carlton,80,5,71,13,68,13,73,9,76,8,75,10,74,11
Port Adelaide,68,13,62,17,67,14,74,8,80,5,65,17,69,14
Sydney,81,3,79,5,71,11,69,14,63,17,76,9,73,12
St Kilda,78,8,78,6,69,12,66,17,70,11,74,12,72,13
GWS Giants,81,3,80,4,88,2,78,7,73,9,80,4,80,5
Richmond,64,16,65,15,62,16,73,9,59,18,66,16,65,17
Western Bulldogs,86,1,90,1,92,1,72,11,70,11,83,3,82,1
Fremantle,75,12,74,9,75,8,79,5,78,7,75,10,76,8
Collingwood,67,14,73,10,66,15,79,5,90,1,77,7,75,9
Adelaide,77,10,73,10,87,3,86,2,81,4,72,13,79,6
Gold Coast,79,6,83,3,75,8,82,4,70,11,77,7,78,7
Geelong,77,10,90,1,87,3,72,11,84,3,84,1,82,1
Hawthorn,78,8,73,10,83,5,88,1,90,1,79,5,82,1
Brisbane,86,1,78,6,73,10,83,3,80,5,84,1,81,4
