Name,Team,Expiry Year,Source,Source URL,Verified,Notes
Brodie Smith,Adelaide Crows,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Chris Burgess,Adelaide Crows,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Harry Schoenberg,Adelaide Crows,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Hugh Bond,Adelaide Crows,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Karl Gallagher,Adelaide Crows,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Kieran Strachan,Adelaide Crows,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Lachlan Murphy,Adelaide Crows,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Taylor Walker,Adelaide Crows,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Zac Taylor,Adelaide Crows,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Billy Dowling,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Brayden Cook,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Charlie Edwards,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Chayce Jones,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Indy Cotton,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
James Borlase,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Jordon Butts,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Lachlan Sholl,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Luke Pedlar,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Max Michalanney,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Mitchell Hinge,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Oscar Ryan,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Rory Laird,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Sam Berry,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Tyler Welsh,Adelaide Crows,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Ben Keays,Adelaide Crows,2027,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2027/,,
Izak Rankine,Adelaide Crows,2027,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2027/,,
Lachlan McAndrew,Adelaide Crows,2027,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2027/,,
Luke Nankervis,Adelaide Crows,2027,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2027/,,
Sid Draper,Adelaide Crows,2027,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2027/,,
Toby Murray,Adelaide Crows,2027,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2027/,,
Alex Neal-Bullen,Adelaide Crows,2028,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2028,,
James Peatling,Adelaide Crows,2028,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2028,,
Mark Keane,Adelaide Crows,2028,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2028,,
Nick Murray,Adelaide Crows,2028,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2028,,
Reilly O'Brien,Adelaide Crows,2028,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2028,,
Riley Thilthorpe,Adelaide Crows,2028,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2028,,
Wayne Milera,Adelaide Crows,2028,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2028,,
Daniel Curtin,Adelaide Crows,2029,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2029,,
Jake Soligo,Adelaide Crows,2029,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2029,,
Jordan Dawson,Adelaide Crows,2029,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2029,,
Josh Rachele,Adelaide Crows,2029,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2029,,
Isaac Cumming,Adelaide Crows,2030,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2030,,
Darcy Fogarty,Adelaide Crows,2031,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2031,,
Josh Worrell,Adelaide Crows,2033,FootyWire,https://www.footywire.com/afl/footy/out_of_contract_players?year=2033,,
Brandon Starcevich,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Callum Ah Chee,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Conor McKenna,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Darcy Craven,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Darcy Fort,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Darcy Gardiner,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Darragh Joyce,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Deven Robertson,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
James Tunstill,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Lincoln McCarthy,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Luke Beecken,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Ryan Lester,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Sam Day,Brisbane Lions,2025,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2025/,,
Brandon Ryan,Brisbane Lions,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Bruce Reville,Brisbane Lions,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Dayne Zorko,Brisbane Lions,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Henry Smith,Brisbane Lions,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
Lachie Neale,Brisbane Lions,2026,Zero Hanger,https://www.zerohanger.com/afl/players/off-contract-2026/,,
