Team,Jumper_No,Player,DOB,Height,Position,Games,Age,Origin
Adelaide,4,Callum Ah Chee,1997-10-09,182.0,Forward,169,28yr 4mth,South Fremantle
Adelaide,3,Sam Berry,2002-02-12,181.0,Midfield,76,24yr,Gippsland Power
Adelaide,21,Hugh Bond,2004-09-25,185.0,Defender,12,21yr 5mth,Greater Western Victoria Rebels
Adelaide,35,James Borlase,2002-07-18,192.0,Defender,16,23yr 7mth,Sturt
Adelaide,41,Jordon Butts,1999-12-31,195.0,Defender,85,26yr 2mth,Murray Bushrangers
Adelaide,15,Brayden Cook,2002-07-18,189.0,MidfieldForward,30,23yr 7mth,South Adelaide
Adelaide,33,Indy Cotton,2007-05-08,195.0,Forward,0,18yr 9mth,NBL One East
Adelaide,44,Isaac Cumming,1998-08-11,188.0,Midfield,105,27yr 6mth,Broken Hill
Adelaide,6,Daniel Curtin,2005-03-08,197.0,Midfield,32,20yr 11mth,Claremont
Adelaide,12,Jordan Dawson,1997-04-09,190.0,Midfield,156,28yr 10mth,Sturt
Adelaide,31,Billy Dowling,2004-07-01,187.0,MidfieldForward,10,21yr 8mth,North Adelaide
Adelaide,5,Sid Draper,2006-07-05,182.0,MidfieldForward,10,19yr 7mth,South Adelaide
Adelaide,11,Charlie Edwards,2005-05-18,191.0,DefenderMidfield,0,20yr 9mth,Sandringham Dragons
Adelaide,32,Darcy Fogarty,1999-09-25,192.0,Forward,126,26yr 5mth,Glenelg
Adelaide,20,Mitchell Hinge,1998-06-28,187.0,Defender,89,27yr 8mth,Glenelg
Adelaide,1,Chayce Jones,2000-01-14,180.0,Midfield,97,26yr 1mth,Launceston
Adelaide,48,Mark Keane,2000-03-17,194.0,Defender,56,25yr 11mth,Cork
Adelaide,2,Ben Keays,1997-02-23,185.0,Forward,161,29yr,Brisbane Reserves
Adelaide,29,Rory Laird,1993-12-29,178.0,Defender,269,32yr 2mth,West Adelaide
Adelaide,34,Archie Ludowyke,2007-11-19,197.0,Forward,0,18yr 3mth,Sandringham Dragons
Adelaide,36,Finnbar Maley,2003-07-18,197.0,Forward,7,22yr 7mth,Northern Bullants
Adelaide,26,Mitchell Marsh,2007-02-15,192.0,Forward,0,19yr,West Adelaide
Adelaide,42,Lachlan McAndrew,2000-05-26,209.0,Ruck,2,25yr 9mth,Sydney
Adelaide,16,Max Michalanney,2004-02-26,190.0,Defender,66,22yr,Norwood
Adelaide,30,Wayne Milera,1997-09-14,185.0,Defender,123,28yr 5mth,Central District
Adelaide,9,Nick Murray,2000-12-18,195.0,Defender,67,25yr 2mth,Allies
Adelaide,39,Toby Murray,2003-11-03,200.0,Forward,0,22yr 4mth,Adelaide SANFL
Adelaide,27,Luke Nankervis,2003-05-25,189.0,Midfield,31,22yr 9mth,Sandringham Dragons
Adelaide,28,Alex Neal-Bullen,1996-01-09,182.0,Forward,201,30yr 1mth,Glenelg
Adelaide,43,Reilly O'Brien,1995-08-20,201.0,Ruck,146,30yr 6mth,Calder Cannons
Adelaide,25,James Peatling,2000-08-21,186.0,Midfield,68,25yr 6mth,GWS Giants
Adelaide,10,Luke Pedlar,2002-05-17,183.0,Forward,39,23yr 9mth,Glenelg
Adelaide,8,Josh Rachele,2003-04-11,180.0,Forward,70,22yr 10mth,Murray Bushrangers
Adelaide,23,Izak Rankine,2000-04-23,179.0,MidfieldForward,105,25yr 10mth,West Adelaide
Adelaide,22,Oscar Ryan,2005-05-15,187.0,Defender,0,20yr 9mth,Murray Bushrangers
Adelaide,38,Lachlan Sholl,2000-03-07,186.0,Midfield,79,25yr 11mth,Calder Cannons
Adelaide,14,Jake Soligo,2003-01-25,179.0,Midfield,85,23yr 1mth,Eastern Ranges
Adelaide,19,Zac Taylor,2003-01-31,180.0,Forward,26,23yr 1mth,Calder Cannons
Adelaide,7,Riley Thilthorpe,2002-07-07,201.0,Forward,78,23yr 7mth,West Adelaide Fc
Adelaide,13,Taylor Walker,1990-04-25,192.0,Forward,301,35yr 10mth,Broken Hill North
Adelaide,17,Tyler Welsh,2006-08-15,191.0,Forward,0,19yr 6mth,Woodville-West Torrens
Adelaide,24,Josh Worrell,2001-04-11,195.0,Defender,55,24yr 10mth,Sandringham Dragons
Brisbane,4,Oscar Allen,1999-03-19,196.0,Forward,105,26yr 11mth,West Perth
Brisbane,31,Harris Andrews,1996-12-11,200.0,Defender,239,29yr 2mth,Aspley
Brisbane,14,Daniel Annable,2007-04-05,184.0,Midfield,0,18yr 10mth,Brisbane Lions Academy
Brisbane,43,Noah Answerth,1999-08-06,182.0,Defender,88,26yr 6mth,Oakleigh Chargers
Brisbane,10,Levi Ashcroft,2006-12-18,179.0,Midfield,27,19yr 2mth,Sandringham Dragons
Brisbane,8,Will Ashcroft,2004-05-06,182.0,Midfield,58,21yr 9mth,Sandringham Dragons
Brisbane,33,Zac Bailey,1999-09-23,181.0,MidfieldForward,166,26yr 5mth,Norwood
Brisbane,17,Luke Beecken,2001-04-18,185.0,Midfield,1,24yr 10mth,Woodville-West Torrens
Brisbane,7,Jarrod Berry,1998-02-05,193.0,Midfield,184,28yr,North Ballarat Rebels
Brisbane,34,Shadeau Brain,2004-02-13,183.0,Defender,9,22yr,Noosa
Brisbane,23,Charlie Cameron,1994-07-05,180.0,Forward,254,31yr 7mth,Swan Districts
Brisbane,18,Keidean Coleman,2000-03-31,182.0,Defender,66,25yr 11mth,Brisbane
Brisbane,37,Cody Curtin,2007-05-18,200.0,Forward,0,18yr 9mth,Claremont
Brisbane,12,Tom Doedee,1997-03-01,190.0,Defender,83,29yr,Geelong Falcons
Brisbane,2,Sam Draper,1998-09-28,205.0,ForwardRuck,78,27yr 5mth,South Adelaide
Brisbane,5,Josh Dunkley,1997-01-09,191.0,Midfield,194,29yr 1mth,Gippsland Power
Brisbane,24,Koby Evans,2007-09-08,187.0,Midfield,0,18yr 5mth,Perth
Brisbane,3,Jaspa Fletcher,2004-02-24,184.0,Defender,68,22yr,Brisbane Lions
Brisbane,32,Darcy Fort,1993-08-06,204.0,Ruck,57,32yr 6mth,Central District
Brisbane,22,Ty Gallop,2006-02-09,194.0,Forward,6,20yr,Maroochydore
Brisbane,27,Darcy Gardiner,1995-09-22,192.0,Defender,183,30yr 5mth,Geelong Falcons
Brisbane,42,Tai Hayes,2004-11-18,190.0,MidfieldForward,0,21yr 3mth,Southport Sharks
Brisbane,30,Eric Hipwood,1997-09-13,204.0,Forward,199,28yr 5mth,Aspley
Brisbane,41,Darragh Joyce,1997-04-23,195.0,Defender,24,28yr 10mth,Kilkenny
Brisbane,35,Ryan Lester,1992-08-26,190.0,Defender,233,33yr 6mth,Oakleigh Chargers
Brisbane,19,Luke Lloyd,2005-08-08,193.0,Forward,0,20yr 6mth,Sandringham Dragons
Brisbane,1,Kai Lohmann,2003-05-06,185.0,Forward,53,22yr 9mth,GWV Rebels
Brisbane,20,Sam Marshall,2006-01-19,185.0,Midfield,11,20yr 1mth,Sandringham Dragons
Brisbane,11,Lincoln McCarthy,1993-10-22,176.0,Forward,151,32yr 4mth,Glenelg
Brisbane,6,Hugh McCluggage,1998-03-03,187.0,Midfield,209,28yr,North Ballarat Rebels
Brisbane,26,Conor McKenna,1996-03-28,184.0,Forward,128,29yr 11mth,"Eglish, Tyrone"
Brisbane,28,Will McLachlan,2005-04-13,185.0,Forward,6,20yr 10mth,Geelong Falcons
Brisbane,13,Logan Morris,2005-05-10,191.0,Forward,45,20yr 9mth,Western Jets
Brisbane,39,Ben Murphy,,191.0,Defender,0,,Kerry GAA
Brisbane,9,Lachie Neale,1993-05-24,177.0,Midfield,294,32yr 9mth,Glenelg
Brisbane,40,Jack Payne,1999-10-15,196.0,Defender,81,26yr 4mth,Lions Academy
Brisbane,16,Cameron Rayner,1999-10-21,187.0,Forward,167,26yr 4mth,Western Jets
Brisbane,38,Bruce Reville,2001-02-22,185.0,Midfield,25,25yr,Coates Talent League Boys
Brisbane,25,Henry Smith,2002-09-24,202.0,Forward,6,23yr 5mth,Woodville-west Torrens
Brisbane,36,Reece Torrent,2005-08-03,184.0,Midfield,0,20yr 7mth,Peel Thunder
Brisbane,29,James Tunstill,2003-07-18,187.0,Midfield,12,22yr 7mth,East Perth
Brisbane,44,Darcy Wilmot,2003-12-31,183.0,Defender,83,22yr 2mth,Northern Knights
Brisbane,21,Zane Zakostelsky,2005-12-14,196.0,DefenderRuck,0,20yr 2mth,Claremont
Brisbane,15,Dayne Zorko,1989-02-09,175.0,Defender,304,37yr,Broadbeach
Carlton,13,Blake Acres,1995-10-07,193.0,Midfield,187,30yr 4mth,West Perth
Carlton,12,Ben Ainsworth,1998-02-10,178.0,Forward,158,28yr,Gippsland Power
Carlton,37,Jordan Boyd,1998-09-22,182.0,Defender,38,27yr 5mth,Footscray
Carlton,39,Talor Byrne,2007-11-14,174.0,MidfieldForward,0,18yr 3mth,GWV Rebels
Carlton,16,Ben Camporeale,2006-07-21,186.0,Midfield,0,19yr 7mth,Glenelg
