MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,Intercepts,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Tackles,PressureActs,Hitouts,Round
20180102,Bryce Gibbs,Adelaide,2,18.4,12.31,116,139,87,21,14,35,68.6,581,8,13,7.0,4,7,7,2.0,0,3,2,1,0,7,1.0,4,13.0,0,1
20180102,Cameron Ellis-Yolmen,Adelaide,0,11.6,12.14,77,66,67,7,10,17,76.5,202,3,11,9.0,1,6,5,0.0,1,1,1,0,0,5,0.0,1,20.0,0,1
20180102,Curtly Hampton,Adelaide,0,4.0,9.19,45,54,60,6,3,9,88.9,126,3,0,0.0,0,0,4,0.0,0,1,1,0,0,3,0.0,3,13.0,0,1
20180102,Daniel Talia,Adelaide,0,13.2,10.12,68,53,91,11,3,14,57.1,248,3,9,4.0,10,0,4,4.0,3,0,0,0,0,2,2.0,1,7.0,0,1
20180102,Darcy Fogarty,Adelaide,0,7.1,5.72,48,49,83,3,3,6,100.0,100,1,2,1.0,0,0,3,0.0,1,2,2,0,0,4,0.0,4,14.0,0,1
20180102,David Mackay,Adelaide,0,14.5,8.41,96,75,77,15,5,20,90.0,546,2,7,7.0,6,2,1,0.0,0,1,0,1,0,4,0.0,4,19.0,0,1
20180102,Eddie Betts,Adelaide,0,4.4,12.49,56,52,85,7,7,14,57.1,173,1,6,5.0,1,1,2,0.0,0,2,0,2,1,6,1.0,2,10.0,0,1
20180102,Hugh Greenwood,Adelaide,0,8.9,11.5,45,52,65,8,5,13,53.8,119,0,8,7.0,3,3,1,0.0,0,2,1,1,0,5,2.0,2,17.0,0,1
20180102,Jake Kelly,Adelaide,0,11.0,6.69,71,70,85,11,7,18,83.3,365,2,3,2.0,4,0,6,1.0,1,0,0,0,1,3,1.0,2,9.0,0,1
20180102,Josh Jenkins,Adelaide,0,7.3,10.27,71,64,86,6,5,11,63.6,185,2,6,3.0,0,0,5,0.0,3,4,2,2,1,7,1.0,3,13.0,4,1
20180102,Kyle Hartigan,Adelaide,0,7.2,7.24,44,38,96,4,7,11,81.8,137,1,3,3.0,6,0,4,2.0,0,0,0,0,0,2,2.0,0,7.0,0,1
20180102,Lachlan Murphy,Adelaide,0,5.2,5.36,32,34,75,4,2,6,50.0,18,0,3,3.0,0,0,1,0.0,0,2,1,1,0,3,0.0,2,19.0,0,1
20180102,Luke Brown,Adelaide,0,7.1,7.4,62,46,82,10,5,15,93.3,369,1,1,1.0,5,0,2,1.0,0,0,0,0,0,3,1.0,0,4.0,0,1
20180102,Matt Crouch,Adelaide,0,12.2,14.03,105,123,80,18,23,41,80.5,350,3,11,7.0,3,7,6,1.0,0,0,0,0,1,8,1.0,2,15.0,0,1
20180102,Mitch McGovern,Adelaide,0,8.1,8.04,51,46,88,6,3,9,66.7,237,3,5,4.0,1,1,4,0.0,1,2,1,1,0,6,1.0,3,14.0,0,1
20180102,Paul Seedsman,Adelaide,0,9.0,10.17,75,86,82,14,10,24,75.0,640,6,5,5.0,2,1,4,0.0,0,1,0,1,1,4,0.0,4,26.0,0,1
20180102,Richard Douglas,Adelaide,0,7.7,12.16,50,38,84,7,6,13,61.5,269,2,5,4.0,4,2,3,1.0,0,3,1,2,0,9,5.0,0,23.0,0,1
20180102,Rory Atkins,Adelaide,0,5.6,10.15,39,50,86,8,6,14,71.4,304,4,4,3.0,3,1,1,0.0,0,2,0,2,1,4,1.0,2,12.0,0,1
20180102,Rory Laird,Adelaide,6,25.9,11.19,137,124,81,15,25,40,87.5,502,2,14,14.0,15,1,8,3.0,0,0,0,0,0,7,3.0,1,10.0,0,1
20180102,Rory Sloane,Adelaide,0,12.3,15.82,89,91,84,11,12,23,69.6,325,5,12,5.0,2,6,2,0.0,0,0,0,0,1,5,1.0,7,30.0,0,1
20180102,Sam Jacobs,Adelaide,0,12.0,12.53,90,75,84,5,8,13,92.3,66,0,6,3.0,1,2,3,1.0,1,0,0,0,0,4,2.0,1,3.0,33,1
20180102,Tom Doedee,Adelaide,0,13.0,5.72,86,80,93,7,14,21,85.7,224,1,8,5.0,6,0,7,2.0,0,0,0,0,0,3,2.0,2,4.0,0,1
20180103,Alex Witherden,Brisbane,0,14.2,8.25,89,72,79,12,9,21,85.7,239,1,6,5.0,6,2,3,0.0,0,0,0,0,0,2,0.0,2,17.0,0,1
20180103,Allen Christensen,Brisbane,0,9.1,9.36,66,60,85,9,12,21,71.4,197,2,6,5.0,2,3,3,0.0,0,1,1,0,1,6,3.0,0,4.0,0,1
20180103,Cam Rayner,Brisbane,0,7.2,5.36,38,35,71,5,3,8,62.5,163,2,4,2.0,0,0,2,0.0,2,2,1,1,0,3,0.0,1,5.0,0,1
20180103,Charlie Cameron,Brisbane,2,14.9,9.41,83,87,88,12,5,17,64.7,269,3,8,5.0,1,2,5,0.0,1,5,3,2,0,11,1.0,2,15.0,0,1
20180103,Daniel McStay,Brisbane,0,6.9,9.25,50,33,89,5,6,11,90.9,86,0,2,2.0,4,0,3,1.0,0,0,0,0,0,1,1.0,0,7.0,0,1
20180103,Daniel Rich,Brisbane,0,3.2,13.55,21,21,28,4,3,7,71.4,76,0,3,3.0,2,1,1,0.0,0,0,0,0,0,0,0.0,0,3.0,0,1
20180103,Darcy Gardiner,Brisbane,0,6.3,8.17,57,53,89,8,5,13,76.9,141,0,6,1.0,6,0,5,2.0,1,0,0,0,0,0,0.0,1,7.0,0,1
20180103,Dayne Beams,Brisbane,0,6.9,13.38,69,97,87,14,12,26,61.5,345,7,11,4.0,0,7,6,0.0,1,2,0,1,0,8,0.0,3,12.0,0,1
