MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches,Tackles,PressureActs,Hitouts,Round
20210104,Andrew McPherson,Adelaide,0,5.4,9.28,0.0,3.8,6.5,-1.8,44,44,85,7,3,10,60.0,143.0,66,1,5,3,5,3,1,6,0,0,2,1,1,0,0,0,0.0,0.0,0,0,0,4,14,0,1
20210104,Ben Keays,Adelaide,3,12.7,10.29,6.4,1.6,5.9,2.2,89,88,87,15,8,23,56.5,470.0,230,8,10,8,3,2,7,2,68,7,4,0,0,1,0,1,2.3,-1.3,1,10,5,4,27,0,1
20210104,Billy Frampton,Adelaide,0,11.4,3.68,0.6,11.4,10.0,2.6,89,83,90,10,4,14,64.3,310.0,153,0,5,2,5,2,4,2,13,0,8,2,3,4,2,2,15.0,-1.0,0,7,0,0,3,7,1
20210104,Brodie Smith,Adelaide,4,4.7,10.26,0.0,6.0,4.9,2.8,73,69,89,14,7,21,76.2,549.0,199,3,4,4,4,4,8,7,0,0,6,2,0,1,0,1,2.3,-1.3,0,3,1,0,10,0,1
20210104,Harry Schoenberg,Adelaide,0,10.8,7.73,1.4,7.4,5.3,4.0,88,65,78,6,10,16,87.5,158.0,263,1,7,6,5,5,5,4,23,2,3,0,0,2,1,1,8.1,-1.1,1,6,1,3,17,0,1
20210104,Jake Kelly,Adelaide,0,4.8,6.22,0.4,2.9,1.8,1.0,27,18,37,2,2,4,100.0,118.0,57,0,2,2,2,2,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,2,3,0,1
20210104,James Rowe,Adelaide,0,16.4,5.72,1.7,11.7,7.6,5.6,104,84,82,11,5,16,81.3,255.0,199,4,9,5,6,3,3,1,0,2,5,0,1,2,2,0,7.4,4.6,0,5,1,3,10,0,1
20210104,Jordon Butts,Adelaide,2,3.4,5.81,0.0,4.1,4.4,-1.1,56,35,93,5,5,10,60.0,202.0,32,0,5,3,5,3,2,5,0,0,3,1,1,0,0,0,0.0,0.0,0,1,1,0,3,0,1
20210104,Lachlan Murphy,Adelaide,0,5.3,8.01,2.6,1.3,5.5,-2.3,50,54,87,6,5,11,36.4,186.0,51,2,8,4,4,2,4,1,0,3,0,0,0,3,1,1,7.0,0.0,0,3,0,4,12,0,1
20210104,Lachlan Sholl,Adelaide,2,6.0,7.28,0.7,4.3,3.3,1.7,91,102,95,16,7,23,73.9,457.0,377,4,5,4,4,3,5,2,3,1,9,0,0,0,0,0,0.0,0.0,0,1,0,3,16,0,1
20210104,Luke Brown,Adelaide,0,0.1,7.17,0.0,0.8,1.6,-1.8,25,21,23,2,3,5,60.0,36.0,103,0,2,1,2,1,3,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,4,0,1
20210104,Mitchell Hinge,Adelaide,0,4.9,8.9,0.0,4.4,2.8,1.1,31,30,44,6,1,7,57.1,197.0,29,1,2,1,2,1,2,2,0,0,3,2,1,0,0,0,0.0,0.0,0,0,0,0,1,0,1
20210104,Ned McHenry,Adelaide,0,11.4,4.24,1.6,6.7,3.6,6.9,67,54,87,7,5,12,75.0,196.0,178,1,5,5,3,3,4,1,3,2,1,0,0,3,2,1,8.9,4.1,0,6,1,3,23,0,1
20210104,Paul Seedsman,Adelaide,0,10.8,10.1,1.4,4.4,4.7,2.7,83,80,81,14,7,21,76.2,554.0,264,4,6,5,5,5,5,5,6,1,8,0,0,1,0,1,2.8,-1.8,1,6,2,1,14,0,1
