Player,Team,Jumper,Position,Height,DOB,Age,Matches,RatingPoints_Avg,CoachesVotes_Avg,CoachesVotes_Total,TimeOnGround,Supercoach_Avg,DreamTeamPoints_Avg
Callum Ah Chee,Adelaide,4,Forward,182.0,1997-10-09,28.0,2,5.75,0.0,0,64.5,45.0,37.5
Sam Berry,Adelaide,3,Midfield,181.0,2002-02-12,24.0,3,8.2,0.0,0,73.333,95.667,94.333
Hugh Bond,Adelaide,21,Defender,185.0,2004-09-25,21.0,2,3.75,0.0,0,85.5,67.0,52.0
James Borlase,Adelaide,35,Defender,192.0,2002-07-18,23.0,0,0.0,0.0,0,0.0,0.0,0.0
Jordon Butts,Adelaide,41,Defender,195.0,1999-12-31,26.0,3,6.933,1.333,4,92.0,64.667,49.667
Brayden Cook,Adelaide,15,MidfieldForward,189.0,2002-07-18,23.0,3,11.6,0.0,0,81.333,78.0,71.667
Indy Cotton,Adelaide,33,Forward,195.0,2007-05-08,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Isaac Cumming,Adelaide,44,Midfield,188.0,1998-08-11,27.0,3,7.0,0.0,0,77.333,63.0,74.0
Daniel Curtin,Adelaide,6,Midfield,197.0,2005-03-08,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Jordan Dawson,Adelaide,12,Midfield,190.0,1997-04-09,28.0,2,16.3,0.0,0,79.5,97.0,107.0
Billy Dowling,Adelaide,31,MidfieldForward,187.0,2004-07-01,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Sid Draper,Adelaide,5,MidfieldForward,182.0,2006-07-05,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Charlie Edwards,Adelaide,11,DefenderMidfield,191.0,2005-05-18,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Darcy Fogarty,Adelaide,32,Forward,192.0,1999-09-25,26.0,3,3.533,0.0,0,76.0,42.667,49.0
Mitchell Hinge,Adelaide,20,Defender,187.0,1998-06-28,27.0,0,0.0,0.0,0,0.0,0.0,0.0
Chayce Jones,Adelaide,1,Midfield,180.0,2000-01-14,26.0,2,7.65,0.0,0,83.0,62.0,53.0
Mark Keane,Adelaide,48,Defender,194.0,2000-03-17,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Ben Keays,Adelaide,2,Forward,185.0,1997-02-23,29.0,3,6.567,0.0,0,87.333,50.667,55.333
Rory Laird,Adelaide,29,Defender,178.0,1993-12-29,32.0,2,6.4,0.0,0,73.0,76.5,90.0
Archie Ludowyke,Adelaide,34,Forward,197.0,2007-11-19,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Finnbar Maley,Adelaide,36,Forward,197.0,2003-07-18,22.0,1,2.5,0.0,0,58.0,41.0,40.0
Mitchell Marsh,Adelaide,26,Forward,192.0,2007-02-15,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan McAndrew,Adelaide,42,Ruck,209.0,2000-05-26,25.0,3,12.433,0.0,0,75.333,79.0,82.333
Max Michalanney,Adelaide,16,Defender,190.0,2004-02-26,22.0,3,6.367,0.0,0,85.0,66.667,68.0
Wayne Milera,Adelaide,30,Defender,185.0,1997-09-14,28.0,3,11.333,3.333,10,82.0,86.667,84.333
Nick Murray,Adelaide,9,Defender,195.0,2000-12-18,25.0,3,9.9,0.0,0,95.0,86.333,64.333
Toby Murray,Adelaide,39,Forward,200.0,2003-11-03,22.0,1,-0.9,0.0,0,32.0,12.0,23.0
Luke Nankervis,Adelaide,27,Midfield,189.0,2003-05-25,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Alex Neal-Bullen,Adelaide,28,Forward,182.0,1996-01-09,30.0,3,9.5,1.0,3,80.333,65.333,70.0
Reilly O'Brien,Adelaide,43,Ruck,201.0,1995-08-20,30.0,0,0.0,0.0,0,0.0,0.0,0.0
James Peatling,Adelaide,25,Midfield,186.0,2000-08-21,25.0,3,9.867,0.0,0,74.333,74.667,64.667
Luke Pedlar,Adelaide,10,Forward,183.0,2002-05-17,23.0,3,2.933,0.0,0,69.333,28.667,31.667
Josh Rachele,Adelaide,8,Forward,180.0,2003-04-11,22.0,3,10.933,2.0,6,81.333,88.333,94.0
Izak Rankine,Adelaide,23,MidfieldForward,179.0,2000-04-23,25.0,2,9.65,0.0,0,76.5,55.5,43.5
Oscar Ryan,Adelaide,22,Defender,187.0,2005-05-15,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Lachlan Sholl,Adelaide,38,Midfield,186.0,2000-03-07,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Jake Soligo,Adelaide,14,Midfield,179.0,2003-01-25,23.0,3,10.6,0.0,0,72.0,79.333,72.333
Zac Taylor,Adelaide,19,Forward,180.0,2003-01-31,23.0,1,10.1,0.0,0,66.0,64.0,52.0
Riley Thilthorpe,Adelaide,7,Forward,201.0,2002-07-07,23.0,3,11.0,1.667,5,86.333,79.0,81.0
Taylor Walker,Adelaide,13,Forward,192.0,1990-04-25,35.0,2,12.25,0.0,0,79.5,79.5,70.0
Tyler Welsh,Adelaide,17,Forward,191.0,2006-08-15,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Josh Worrell,Adelaide,24,Defender,195.0,2001-04-11,24.0,3,11.467,1.667,5,82.667,112.0,96.667
Oscar Allen,Brisbane,4,Forward,196.0,1999-03-19,27.0,3,4.133,0.0,0,78.667,45.667,50.333
Harris Andrews,Brisbane,31,Defender,200.0,1996-12-11,29.0,1,14.6,2.0,2,97.0,89.0,64.0
Daniel Annable,Brisbane,14,Midfield,184.0,2007-04-05,18.0,1,4.6,0.0,0,60.0,40.0,53.0
Noah Answerth,Brisbane,43,Defender,182.0,1999-08-06,26.0,2,1.65,0.0,0,71.0,35.5,36.0
Levi Ashcroft,Brisbane,10,Midfield,179.0,2006-12-18,19.0,3,9.767,0.0,0,78.667,80.0,77.333
Will Ashcroft,Brisbane,8,Midfield,182.0,2004-05-06,21.0,3,9.6,3.0,9,82.0,84.667,98.667
Zac Bailey,Brisbane,33,MidfieldForward,181.0,1999-09-23,26.0,2,13.65,2.0,4,82.5,95.5,76.0
Luke Beecken,Brisbane,17,Midfield,185.0,2001-04-18,24.0,0,0.0,0.0,0,0.0,0.0,0.0
Jarrod Berry,Brisbane,7,Midfield,193.0,1998-02-05,28.0,3,9.6,3.333,10,75.0,94.0,91.667
Shadeau Brain,Brisbane,34,Defender,183.0,2004-02-13,22.0,0,0.0,0.0,0,0.0,0.0,0.0
Charlie Cameron,Brisbane,23,Forward,180.0,1994-07-05,31.0,3,11.267,2.0,6,83.333,72.333,82.667
Keidean Coleman,Brisbane,18,Defender,182.0,2000-03-31,25.0,3,7.8,0.0,0,74.333,70.333,72.0
Cody Curtin,Brisbane,37,Forward,200.0,2007-05-18,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Tom Doedee,Brisbane,12,Defender,190.0,1997-03-01,29.0,0,0.0,0.0,0,0.0,0.0,0.0
Sam Draper,Brisbane,2,ForwardRuck,205.0,1998-09-28,27.0,2,1.2,0.0,0,64.5,39.0,41.5
Josh Dunkley,Brisbane,5,Midfield,191.0,1997-01-09,29.0,3,10.033,0.0,0,76.667,96.0,90.667
Koby Evans,Brisbane,24,Midfield,187.0,2007-09-08,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Jaspa Fletcher,Brisbane,3,Defender,184.0,2004-02-24,22.0,3,7.433,0.0,0,81.0,75.667,73.333
Darcy Fort,Brisbane,32,Ruck,204.0,1993-08-06,32.0,3,12.433,0.0,0,70.667,80.667,72.0
Ty Gallop,Brisbane,22,Forward,194.0,2006-02-09,20.0,3,4.733,0.0,0,76.667,34.333,34.0
Darcy Gardiner,Brisbane,27,Defender,192.0,1995-09-22,30.0,2,5.15,0.0,0,78.0,43.5,43.5
Tai Hayes,Brisbane,42,MidfieldForward,190.0,2004-11-18,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Eric Hipwood,Brisbane,30,Forward,204.0,1997-09-13,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Darragh Joyce,Brisbane,41,Defender,195.0,1997-04-23,28.0,0,0.0,0.0,0,0.0,0.0,0.0
Ryan Lester,Brisbane,35,Defender,190.0,1992-08-26,33.0,3,13.2,0.333,1,93.0,82.0,74.667
Luke Lloyd,Brisbane,19,Forward,193.0,2005-08-08,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Kai Lohmann,Brisbane,1,Forward,185.0,2003-05-06,22.0,3,10.067,0.0,0,81.0,64.333,60.333
Sam Marshall,Brisbane,20,Midfield,185.0,2006-01-19,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Lincoln McCarthy,Brisbane,11,Forward,176.0,1993-10-22,32.0,2,6.15,0.0,0,78.0,57.5,46.0
Hugh McCluggage,Brisbane,6,Midfield,187.0,1998-03-03,28.0,1,2.1,0.0,0,17.0,13.0,20.0
Conor McKenna,Brisbane,26,Forward,184.0,1996-03-28,30.0,0,0.0,0.0,0,0.0,0.0,0.0
Will McLachlan,Brisbane,28,Forward,185.0,2005-04-13,20.0,0,0.0,0.0,0,0.0,0.0,0.0
Logan Morris,Brisbane,13,Forward,191.0,2005-05-10,20.0,2,11.15,0.0,0,83.0,72.0,78.5
Ben Murphy,Brisbane,39,Defender,191.0,,,0,0.0,0.0,0,0.0,0.0,0.0
Lachie Neale,Brisbane,9,Midfield,177.0,1993-05-24,32.0,3,14.3,1.333,4,85.667,96.333,87.0
Jack Payne,Brisbane,40,Defender,196.0,1999-10-15,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Cameron Rayner,Brisbane,16,Forward,187.0,1999-10-21,26.0,3,6.6,0.0,0,86.333,56.667,59.667
Bruce Reville,Brisbane,38,Midfield,185.0,2001-02-22,25.0,3,11.2,0.0,0,74.0,77.0,70.333
Henry Smith,Brisbane,25,Forward,202.0,2002-09-24,23.0,0,0.0,0.0,0,0.0,0.0,0.0
Reece Torrent,Brisbane,36,Midfield,184.0,2005-08-03,20.0,0,0.0,0.0,0,0.0,0.0,0.0
James Tunstill,Brisbane,29,Midfield,187.0,2003-07-18,22.0,1,3.7,0.0,0,76.0,53.0,66.0
Darcy Wilmot,Brisbane,44,Defender,183.0,2003-12-31,22.0,3,7.7,0.0,0,86.333,78.667,87.0
Zane Zakostelsky,Brisbane,21,DefenderRuck,196.0,2005-12-14,20.0,2,6.25,0.0,0,67.0,59.0,51.5
Dayne Zorko,Brisbane,15,Defender,175.0,1989-02-09,37.0,3,14.7,0.333,1,84.333,109.667,119.333
Blake Acres,Carlton,13,Midfield,193.0,1995-10-07,30.0,0,0.0,0.0,0,0.0,0.0,0.0
Ben Ainsworth,Carlton,12,Forward,178.0,1998-02-10,28.0,3,11.2,0.0,0,76.333,60.0,58.333
Jordan Boyd,Carlton,37,Defender,182.0,1998-09-22,27.0,0,0.0,0.0,0,0.0,0.0,0.0
Talor Byrne,Carlton,39,MidfieldForward,174.0,2007-11-14,18.0,1,6.8,0.0,0,62.0,52.0,37.0
Ben Camporeale,Carlton,16,Midfield,186.0,2006-07-21,19.0,0,0.0,0.0,0,0.0,0.0,0.0
