Team,Jumper,Player,DOB,Height,Position,Matches_Career,Age,Origin,Contract_Expiry,FA_Status,Draft_Year,Draft_Type,Draft_Round,Draft_Pick,Position_Clean,Age_Decimal,Season,Matches_Current
Adelaide,4,Callum Ah Chee,1997-10-09,182.0,Forward,169,28yr 5mth,South Fremantle,2031.0,Non-Free Agent,2025.0,Pre-Season,1.0,1.0,Forward,28.0,2026,0
Adelaide,3,Sam Berry,2002-02-12,181.0,Midfield,76,24yr 1mth,Gippsland Power,2026.0,Non-Free Agent,2020.0,National,2.0,28.0,Midfielder,24.0,2026,0
Adelaide,21,Hugh Bond,2004-09-25,185.0,Defender,12,21yr 5mth,Greater Western Victoria Rebels,2027.0,Non-Free Agent,2022.0,National,3.0,50.0,Defender,21.0,2026,0
Adelaide,35,James Borlase,2002-07-18,192.0,Defender,16,23yr 7mth,Sturt,2026.0,Unrestricted Free Agent,2023.0,Rookie,2.0,20.0,Defender,23.0,2026,0
Adelaide,41,Jordon Butts,1999-12-31,195.0,Defender,85,26yr 2mth,Murray Bushrangers,2026.0,Restricted Free Agent,2018.0,Rookie,3.0,39.0,Defender,26.0,2026,0
Adelaide,15,Brayden Cook,2002-07-18,189.0,MidfieldForward,30,23yr 7mth,South Adelaide,2026.0,Non-Free Agent,2020.0,National,1.0,25.0,Mid-Forward,23.0,2026,0
Adelaide,33,Indy Cotton,2007-05-08,195.0,Forward,0,18yr 10mth,NBL One East,2027.0,Unknown,,,,,Forward,18.0,2026,0
Adelaide,44,Isaac Cumming,1998-08-11,188.0,Midfield,105,27yr 7mth,Broken Hill,2030.0,Non-Free Agent,2016.0,National,1.0,20.0,Midfielder,27.0,2026,0
Adelaide,6,Daniel Curtin,2005-03-08,197.0,Midfield,32,21yr,Claremont,2029.0,Non-Free Agent,2023.0,National,1.0,8.0,Midfielder,21.0,2026,0
Adelaide,12,Jordan Dawson,1997-04-09,190.0,Midfield,156,28yr 11mth,Sturt,2029.0,Restricted Free Agent,2015.0,National,4.0,56.0,Midfielder,28.0,2026,0
Adelaide,31,Billy Dowling,2004-07-01,187.0,MidfieldForward,10,21yr 8mth,North Adelaide,2026.0,Non-Free Agent,2022.0,National,3.0,43.0,Mid-Forward,21.0,2026,0
Adelaide,5,Sid Draper,2006-07-05,182.0,MidfieldForward,10,19yr 8mth,South Adelaide,2027.0,Non-Free Agent,2024.0,National,1.0,4.0,Mid-Forward,19.0,2026,0
Adelaide,11,Charlie Edwards,2005-05-18,191.0,DefenderMidfield,0,20yr 9mth,Sandringham Dragons,2026.0,Non-Free Agent,2023.0,National,1.0,21.0,Defender,20.0,2026,0
Adelaide,32,Darcy Fogarty,1999-09-25,192.0,Forward,126,26yr 5mth,Glenelg,2031.0,Unrestricted Free Agent,2017.0,National,1.0,12.0,Forward,26.0,2026,0
Adelaide,20,Mitchell Hinge,1998-06-28,187.0,Defender,89,27yr 8mth,Glenelg,2026.0,Unrestricted Free Agent,2016.0,Rookie,2.0,20.0,Defender,27.0,2026,0
Adelaide,1,Chayce Jones,2000-01-14,180.0,Midfield,97,26yr 1mth,Launceston,2026.0,Restricted Free Agent,2018.0,National,1.0,9.0,Midfielder,26.0,2026,0
Adelaide,48,Mark Keane,2000-03-17,194.0,Defender,56,25yr 11mth,Cork,2028.0,Non-Free Agent,,,,,Defender,25.0,2026,0
Adelaide,2,Ben Keays,1997-02-23,185.0,Forward,161,29yr,Brisbane Reserves,2027.0,Unrestricted Free Agent,2019.0,Rookie,1.0,7.0,Forward,29.0,2026,0
Adelaide,29,Rory Laird,1993-12-29,178.0,Defender,269,32yr 2mth,West Adelaide,2027.0,Unrestricted Free Agent,2013.0,National,6.0,86.0,Defender,32.0,2026,0
Adelaide,34,Archie Ludowyke,2007-11-19,197.0,Forward,0,18yr 3mth,Sandringham Dragons,2027.0,Unknown,2025.0,National,3.0,50.0,Forward,18.0,2026,0
Adelaide,36,Finnbar Maley,2003-07-18,197.0,Forward,7,22yr 7mth,Northern Bullants,2026.0,Non-Free Agent,2023.0,Rookie,1.0,2.0,Forward,22.0,2026,0
Adelaide,26,Mitchell Marsh,2007-02-15,192.0,Forward,0,19yr,West Adelaide,2027.0,Unknown,2025.0,National,1.0,22.0,Forward,19.0,2026,0
