Season,Round,Team,Player,PlayerUrl,Position,SelectionType,ScrapedAt
2026,6,Carlton,H Dean,pp-carlton-blues--harry-dean,Interchange,interchange,2026-04-16 13:40
2026,6,Carlton,F Evans,pp-carlton-blues--francis-evans,Interchange,interchange,2026-04-16 13:40
2026,6,Carlton,T Byrne,pp-carlton-blues--talor-byrne,Interchange,interchange,2026-04-16 13:40
2026,6,Carlton,L Young,pp-carlton-blues--lewis-young,Interchange,interchange,2026-04-16 13:40
2026,6,Carlton,A Cerra,pp-carlton-blues--adam-cerra,Interchange,interchange,2026-04-16 13:40
2026,6,Carlton,L Reidy,pp-carlton-blues--liam-reidy,,emergency,2026-04-16 13:40
2026,6,Carlton,F Young,pp-carlton-blues--flynn-young,,emergency,2026-04-16 13:40
2026,6,Carlton,J Boyd,pp-carlton-blues--jordan-boyd,,emergency,2026-04-16 13:40
2026,6,Carlton,L Cowan,pp-carlton-blues--lachlan-cowan,Key Defender,selected,2026-04-16 13:40
2026,6,Carlton,J Weitering,pp-carlton-blues--jacob-weitering,Key Defender,selected,2026-04-16 13:40
2026,6,Carlton,N Haynes,pp-carlton-blues--nick-haynes,Key Defender,selected,2026-04-16 13:40
2026,6,Collingwood,D McStay,pp-collingwood-magpies--daniel-mcstay,Key Forward,selected,2026-04-16 13:40
2026,6,Collingwood,J Elliott,pp-collingwood-magpies--jamie-elliott-1,Key Forward,selected,2026-04-16 13:40
2026,6,Collingwood,T Membrey,pp-collingwood-magpies--tim-membrey,Key Forward,selected,2026-04-16 13:40
2026,6,Carlton,O Florent,pp-carlton-blues--oliver-florent,Gen. Defender,selected,2026-04-16 13:40
2026,6,Carlton,M McGovern,pp-carlton-blues--mitch-mcgovern,Gen. Defender,selected,2026-04-16 13:40
2026,6,Carlton,N Newman,pp-carlton-blues--nic-newman,Gen. Defender,selected,2026-04-16 13:40
2026,6,Collingwood,B McCreery,pp-collingwood-magpies--beau-mccreery,Gen. Forward,selected,2026-04-16 13:40
2026,6,Collingwood,W Hayes,pp-collingwood-magpies--will-hayes-1,Gen. Forward,selected,2026-04-16 13:40
2026,6,Collingwood,L Schultz,pp-collingwood-magpies--lachlan-schultz,Gen. Forward,selected,2026-04-16 13:40
2026,6,Carlton,O Hollands,pp-carlton-blues--oliver-hollands,Midfielder,selected,2026-04-16 13:40
2026,6,Carlton,P Cripps,pp-carlton-blues--patrick-cripps,Midfielder,selected,2026-04-16 13:40
2026,6,Carlton,M Carroll,pp-carlton-blues--matt-carroll,Midfielder,selected,2026-04-16 13:40
2026,6,Collingwood,R Steele,pp-collingwood-magpies--roan-steele,Midfielder,selected,2026-04-16 13:40
