Team,Abbreviation,Matches,Players,Age,Experience,RatingPoints,Supercoach,DreamTeamPoints,CoachesVotes,ForwardHalf,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,DisposalsPerOppositionTackle,Inside50s,Rebound50s,Rebound50sPerOppositionInside50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ThreatRating,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreClearances,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,MarksInside50PerInside50,InterceptMarks,MarksOnLead,GoalScorers_Total,GoalScorers,Goals,Behinds,RushedBehinds,ShotsAtGoal,GoalAssists,GoalAccuracy,GoalsPerInside50,ScoringShotsPerInside50,ShotsPerInside50,ScoreLaunches,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,xScore,xScoreRating,xScorePerShot,xScoreRatingPerShot,xScorePerShot_Set,xScoreRatingPerShot_Set,xScorePerShot_General,xScoreRatingPerShot_General,PointsFromKickIn,PointsFromStoppage,PointsFromTurnover,PointsFromDefensiveHalf,PointsFromForwardHalf,PointsFromCentreBounce,ChainToScore,D50ToF50,D50ToScore,DefHalfToF50,DefHalfToScore,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,Tackles,TacklesInside50,PressureActs,PressureActsDefensiveHalf,Spoils,RuckContests,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,FreesFor,FreesAgainst,FreesDiff,KickIns,KickInsPlayOnPercentage,Bounces,OnePercenters,InterchangeCount,RatingPoints_Opposition,Supercoach_Opposition,DreamTeamPoints_Opposition,CoachesVotes_Opposition,Kicks_Opposition,Handballs_Opposition,Disposals_Opposition,DisposalEfficiency_Opposition,KickingEfficiency_Opposition,HandballEfficiency_Opposition,OppositionDisposalsPerTackle,Inside50s_Opposition,Rebound50s_Opposition,OppositionRebound50sPerInside50s,MetresGained_Opposition,MetresGainedPerDisposal_Opposition,Clangers_Opposition,DisposalsPerClanger_Opposition,Turnovers_Opposition,DisposalsPerTurnover_Opposition,ThreatRating_Opposition,RetentionRating_Opposition,ContestedPossessions_Opposition,UncontestedPossessions_Opposition,TotalPossessions_Opposition,ContestedPossessionRate_Opposition,Intercepts_Opposition,GroundBallGets_Opposition,GroundBallGetsForward50_Opposition,HardBallGets_Opposition,LooseBallGets_Opposition,PostClearanceContestedPossessions_Opposition,PostClearanceGroundBallGets_Opposition,GathersFromHitout_Opposition,CrumbingPossessions_Opposition,HandballReceives_Opposition,CentreClearances_Opposition,StoppageClearances_Opposition,TotalClearances_Opposition,FirstPossessions_Opposition,FirstPossessionToClearance_Opposition,Marks_Opposition,ContestedMarks_Opposition,MarksInside50_Opposition,MarksInside50PerInside50_Opposition,InterceptMarks_Opposition,MarksOnLead_Opposition,Goals_Opposition,Behinds_Opposition,RushedBehinds_Opposition,ShotsAtGoal_Opposition,GoalAssists_Opposition,GoalAccuracy_Opposition,GoalsPerInside50_Opposition,ScoringShotsPerInside50_Opposition,ShotsPerInside50_Opposition,ScoreLaunches_Opposition,xScore_Opposition,xScoreRating_Opposition,xScorePerShot_Opposition,xScoreRatingPerShot_Opposition,xScorePerShot_Set_Opposition,xScoreRatingPerShot_Set_Opposition,xScorePerShot_General_Opposition,xScoreRatingPerShot_General_Opposition,PointsFromKickIn_Opposition,PointsFromStoppage_Opposition,PointsFromTurnover_Opposition,PointsFromDefensiveHalf_Opposition,PointsFromForwardHalf_Opposition,PointsFromCentreBounce_Opposition,ChainToScore_Opposition,D50ToF50_Opposition,D50ToScore_Opposition,DefHalfToF50_Opposition,DefHalfToScore_Opposition,Tackles_Opposition,TacklesInside50_Opposition,PressureActs_Opposition,PressureActsDefensiveHalf_Opposition,Spoils_Opposition,Hitouts_Opposition,HitoutsWinPercentage_Opposition,HitoutsToAdvantage_Opposition,HitoutsToAdvantagePercentage_Opposition,RuckHardBallGets_Opposition,KickIns_Opposition,KickInsPlayOnPercentage_Opposition,Bounces_Opposition,OnePercenters_Opposition,InterchangeCount_Opposition,RatingPoints_Diff,Supercoach_Diff,DreamTeamPoints_Diff,CoachesVotes_Diff,Kicks_Diff,Handballs_Diff,Disposals_Diff,Inside50s_Diff,MetresGained_Diff,Clangers_Diff,Turnovers_Diff,ThreatRating_Diff,RetentionRating_Diff,ContestedPossessions_Diff,UncontestedPossessions_Diff,TotalPossessions_Diff,Intercepts_Diff,GroundBallGets_Diff,GroundBallGetsForward50_Diff,HardBallGets_Diff,LooseBallGets_Diff,PostClearanceContestedPossessions_Diff,PostClearanceGroundBallGets_Diff,GathersFromHitout_Diff,CrumbingPossessions_Diff,HandballReceives_Diff,CentreClearances_Diff,StoppageClearances_Diff,TotalClearances_Diff,FirstPossessions_Diff,Marks_Diff,ContestedMarks_Diff,MarksInside50_Diff,InterceptMarks_Diff,MarksOnLead_Diff,Goals_Diff,Behinds_Diff,ShotsAtGoal_Diff,GoalAssists_Diff,ScoreLaunches_Diff,xScore_Diff,xScoreRating_Diff,xScorePerShot_Diff,PointsFromKickIn_Diff,PointsFromStoppage_Diff,PointsFromTurnover_Diff,PointsFromDefensiveHalf_Diff,PointsFromForwardHalf_Diff,PointsFromCentreBounce_Diff,Tackles_Diff,TacklesInside50_Diff,PressureActs_Diff,PressureActsDefensiveHalf_Diff,Spoils_Diff,Hitouts_Diff,HitoutsToAdvantage_Diff,RuckHardBallGets_Diff,Bounces_Diff,OnePercenters_Diff,InterchangeCount_Diff
Western Bulldogs,WB,23,41,25.445,92.401,212.287,1674.696,1566.261,16.174,53.754,218.652,158.609,377.261,74.749,67.071,85.334,57.958,6.784,56.304,37.174,74.869,5828.13,15.449,56.043,6.732,66.217,5.697,0.503,1.624,139.565,235.783,375.348,37.183,64.174,94.435,18.0,31.304,63.217,87.043,61.13,8.522,26.739,132.0,13.913,26.087,40.0,40.87,79.681,93.522,11.043,12.043,21.39,13.957,7.174,34.0,8.174,12.826,11.435,2.435,26.957,8.609,47.581,22.78,43.089,47.876,24.043,12.739,28.328,88.408,-2.452,3.28,-0.091,3.596,-0.144,2.935,-0.033,3.478,37.217,47.696,29.478,46.957,11.957,21.518,23.703,9.08,33.01,12.691,11.739,31.852,56.391,11.087,282.609,119.696,32.043,88.522,29.652,33.497,9.87,33.284,1.913,20.522,16.435,4.087,9.826,92.92,7.13,50.0,69.739,199.674,1624.652,1560.609,13.826,221.304,139.217,360.522,75.024,70.432,82.324,6.393,49.652,42.261,75.058,5770.739,16.007,57.565,6.263,64.174,5.618,0.428,1.181,131.522,223.348,354.87,37.062,66.348,85.174,13.739,28.0,57.217,84.522,58.435,11.13,22.522,111.826,10.957,21.13,32.087,37.522,72.885,106.478,12.609,12.478,25.131,16.217,7.0,12.0,9.957,1.739,23.609,8.13,50.829,24.168,44.221,47.548,21.783,76.915,3.303,3.258,0.14,3.49,0.185,2.933,0.076,4.348,29.0,48.609,35.261,34.87,11.826,20.227,23.529,11.765,30.238,12.923,55.609,9.087,311.87,160.13,32.391,41.304,46.637,11.783,28.526,3.696,11.043,84.646,4.739,45.391,70.348,12.613,50.043,5.652,2.348,-2.652,19.391,16.739,6.652,57.391,-1.522,2.043,0.075,0.443,8.043,12.435,20.478,-2.174,9.261,4.261,3.304,6.0,2.522,2.696,-2.609,4.217,20.174,2.957,4.957,7.913,3.348,-12.957,-1.565,-0.435,-2.261,0.174,0.826,1.478,3.348,0.478,2.261,11.494,-5.754,0.022,-0.87,8.217,-0.913,-5.783,12.087,0.13,0.783,2.0,-29.261,-40.435,-0.348,-11.652,-1.913,-1.783,2.391,4.609,-0.609
Melbourne,Melb,24,33,25.486,102.763,209.954,1690.292,1516.208,19.875,53.717,213.708,152.625,366.333,71.963,65.49,81.026,58.337,6.022,56.458,38.125,77.939,6091.583,16.629,58.875,6.222,69.208,5.293,-0.072,-1.069,148.375,214.667,363.042,40.87,73.833,101.792,19.292,32.625,69.125,95.583,69.25,10.875,30.042,120.125,11.917,26.0,37.917,42.708,73.854,86.417,11.583,11.292,20.0,19.542,6.708,25.0,7.833,12.5,11.833,2.75,26.625,8.292,46.948,22.14,43.1,47.159,24.0,15.833,25.789,82.968,1.115,3.116,0.042,3.343,-0.032,2.882,0.118,1.667,35.917,49.25,32.333,41.417,13.083,20.154,21.058,8.369,30.959,12.434,15.875,23.622,56.458,11.333,282.0,127.042,32.625,88.667,37.458,42.246,12.083,32.258,3.958,18.708,18.5,0.208,9.125,93.607,2.833,46.5,72.833,190.425,1610.25,1533.208,10.125,222.125,133.5,355.625,72.021,65.429,82.99,6.299,48.917,43.083,76.31,5798.792,16.306,61.542,5.779,73.625,4.83,-4.448,-2.189,133.875,214.292,348.167,38.451,69.333,90.667,14.083,27.25,63.375,86.083,60.5,9.083,24.833,107.333,11.875,24.958,36.833,37.667,77.544,97.792,10.125,8.417,17.206,16.167,5.167,10.0,9.417,1.583,21.083,6.708,47.431,20.443,39.693,43.101,19.208,67.115,0.718,3.177,0.034,3.531,0.082,2.802,-0.017,3.042,27.0,39.375,24.708,35.667,9.042,16.673,18.497,7.023,26.838,9.234,60.833,9.917,301.958,150.083,40.542,32.667,36.825,9.5,29.082,2.792,11.583,81.295,4.833,56.542,71.583,19.529,80.042,-17.0,9.75,-8.417,19.125,10.708,7.542,292.792,-2.667,-4.417,4.377,1.12,14.5,0.375,14.875,4.5,11.125,5.208,5.375,5.75,9.5,8.75,1.792,5.208,12.792,0.042,1.042,1.083,5.042,-11.375,1.458,2.875,3.375,1.542,2.5,2.417,5.542,1.583,4.792,15.853,0.397,-0.061,-1.375,8.917,9.875,7.625,5.75,4.042,-4.375,1.417,-19.958,-23.042,-7.917,4.792,2.583,1.167,-2.0,-10.042,1.25
Richmond,Rich,23,37,26.767,119.492,214.426,1662.087,1473.696,16.957,52.997,214.043,138.174,352.217,72.324,66.87,80.774,60.77,6.96,57.261,39.957,76.266,6163.652,17.5,65.87,5.347,69.652,5.057,1.373,1.817,135.783,208.87,344.652,39.397,72.696,87.739,15.522,24.565,63.217,91.391,63.609,10.217,23.391,107.391,13.826,19.87,33.696,38.261,74.318,89.565,11.435,12.957,22.627,16.783,6.87,29.0,8.522,14.522,11.522,2.522,28.565,9.174,50.837,25.361,45.482,49.886,25.609,16.783,31.347,94.427,1.704,3.296,0.059,3.478,0.136,3.072,-0.035,4.304,32.435,61.913,36.043,48.957,13.652,22.114,24.759,10.944,33.098,14.066,16.609,26.178,50.0,9.13,290.478,131.565,36.174,83.565,39.0,46.67,11.826,30.323,3.565,18.826,22.522,-3.696,11.478,82.955,8.13,54.522,70.609,202.309,1637.391,1477.174,13.043,212.174,152.565,364.739,72.941,65.512,83.272,7.295,52.391,42.087,73.5,5907.522,16.197,61.261,5.954,72.609,5.023,0.113,-2.33,138.435,220.087,358.522,38.613,69.696,94.783,14.826,26.261,68.435,91.913,64.304,7.87,25.217,122.478,13.0,23.522,36.522,37.522,78.331,86.348,10.304,10.348,19.751,14.261,7.391,11.739,11.565,2.478,25.043,7.783,46.875,22.407,44.481,47.801,22.783,79.165,0.096,3.161,0.004,3.365,0.048,2.923,-0.047,3.13,34.348,44.522,33.739,33.478,14.783,19.774,21.127,8.551,30.131,12.306,50.609,7.652,279.13,135.478,31.261,28.217,33.802,8.522,30.2,1.435,11.391,81.298,5.478,47.957,70.609,12.117,24.696,-3.478,3.913,1.87,-14.391,-12.522,4.87,256.13,4.609,-2.957,1.26,4.148,-2.652,-11.217,-13.87,3.0,-7.043,0.696,-1.696,-5.217,-0.522,-0.696,2.348,-1.826,-15.087,0.826,-3.652,-2.826,0.739,3.217,1.13,2.609,2.522,-0.522,2.783,-0.043,3.522,1.391,2.826,15.262,1.608,0.135,1.174,-1.913,17.391,2.304,15.478,-1.13,-0.609,1.478,11.348,-3.913,4.913,10.783,3.304,2.13,2.652,6.565,0.0
Carlton,Carl,22,40,24.759,77.607,210.073,1728.409,1579.773,18.136,49.992,227.091,156.136,383.227,74.024,67.274,83.843,59.258,7.079,54.909,39.455,76.611,5949.455,15.525,59.273,6.465,69.136,5.543,2.416,1.781,145.455,235.045,380.5,38.227,70.591,97.182,17.227,28.682,68.409,95.409,66.409,9.5,28.045,128.136,12.409,25.227,37.636,40.545,78.812,96.227,11.545,11.091,20.199,14.591,9.409,23.0,7.227,12.182,11.318,1.864,25.818,7.682,47.183,22.185,42.798,47.02,23.455,15.727,29.191,83.721,-1.175,3.248,-0.046,3.469,0.037,2.971,-0.15,1.955,34.364,48.091,32.318,40.227,11.864,20.204,21.847,9.572,31.67,13.18,15.682,30.725,55.955,11.136,277.227,129.682,34.909,88.045,27.727,31.492,10.182,36.721,2.727,21.545,19.364,2.182,10.136,86.099,9.909,52.545,71.864,198.541,1572.273,1465.636,11.864,212.818,134.773,347.591,73.584,67.727,82.833,6.212,51.5,42.227,76.904,5875.091,16.902,61.273,5.673,70.364,4.94,-1.861,-1.71,132.545,206.773,339.318,39.062,69.136,85.773,14.409,26.5,59.182,87.045,60.182,11.091,24.955,108.773,11.5,22.682,34.182,37.5,76.364,90.045,11.909,10.455,20.3,15.864,5.727,11.273,10.273,2.273,22.955,7.773,49.109,21.889,41.836,44.572,21.409,75.605,0.031,3.294,0.001,3.568,-0.215,2.958,0.267,4.545,25.955,47.409,30.227,40.455,7.227,19.059,20.738,9.022,29.376,11.425,54.136,8.864,304.864,140.773,35.136,40.455,45.853,11.909,29.438,3.5,11.136,87.347,5.409,50.455,70.5,11.532,156.136,114.136,6.273,14.273,21.364,35.636,3.409,74.364,-2.0,-1.227,4.277,3.491,12.909,28.273,41.182,1.455,11.409,2.818,2.182,9.227,8.364,6.227,-1.591,3.091,19.364,0.909,2.545,3.455,3.045,6.182,-0.364,0.636,-1.273,3.682,0.909,1.045,2.864,-0.091,2.045,8.116,-1.207,-0.045,-2.591,8.409,0.682,2.091,-0.227,4.636,1.818,2.273,-27.636,-11.091,-0.227,-12.727,-1.727,-0.773,4.5,2.091,1.364
St Kilda,St K,22,35,25.726,91.83,195.277,1668.591,1588.0,15.136,49.663,230.591,144.318,374.909,73.218,66.647,83.717,61.506,6.625,49.682,39.045,76.696,5731.727,15.288,62.636,5.985,69.682,5.38,-1.854,-0.134,135.909,232.227,368.136,36.918,69.182,91.273,14.864,30.182,61.091,90.318,64.0,9.409,25.045,117.864,11.955,22.909,34.864,39.136,74.913,102.955,10.636,10.545,21.226,15.455,7.864,25.0,6.682,11.227,10.045,1.818,23.364,7.273,48.054,22.598,42.818,47.027,21.273,16.091,29.944,76.581,-0.99,3.278,-0.042,3.639,-0.12,2.821,0.055,2.5,28.909,46.0,27.045,41.182,9.182,18.876,19.641,7.303,29.947,10.638,14.0,26.623,57.545,10.409,289.227,136.182,33.227,85.5,37.045,43.328,10.182,27.485,2.455,19.727,21.318,-1.591,10.545,81.897,7.045,48.545,71.682,197.568,1631.136,1520.773,14.864,216.409,143.682,360.091,74.173,68.242,83.107,6.258,50.909,37.591,75.663,5653.045,15.699,58.136,6.194,69.0,5.219,-0.224,0.142,133.318,223.864,357.182,37.325,69.909,88.273,16.091,26.864,61.455,89.409,62.091,9.364,26.318,116.545,10.636,23.455,34.091,35.5,77.337,95.409,10.636,10.318,20.268,15.636,7.091,11.227,10.591,1.682,23.955,7.273,46.869,22.054,42.857,47.054,21.591,79.394,-3.121,3.314,-0.13,3.667,-0.129,2.912,-0.131,4.591,28.182,45.182,28.136,39.091,10.727,19.555,21.158,8.294,29.836,11.111,56.591,10.727,296.591,135.455,34.273,32.909,38.449,10.091,30.663,2.273,9.818,82.407,4.136,50.045,70.571,-2.291,37.455,67.227,0.273,14.182,0.636,14.818,-1.227,78.682,4.5,0.682,-1.63,-0.275,2.591,8.364,10.955,-0.727,3.0,-1.227,3.318,-0.364,0.909,1.909,0.045,-1.273,1.318,1.318,-0.545,0.773,3.636,7.545,0.0,0.227,-0.182,0.773,0.0,-0.545,-0.591,0.0,-0.318,-2.813,2.131,-0.037,-2.091,0.727,0.818,-1.091,2.091,-1.545,0.955,-0.318,-7.364,0.727,-1.045,4.136,0.091,0.182,2.909,-1.5,0.952
Collingwood,Coll,25,38,25.892,101.132,208.412,1624.36,1489.36,16.2,51.801,209.4,140.4,349.8,70.28,62.751,81.51,59.863,5.776,54.32,39.96,76.027,5997.8,17.146,62.68,5.581,70.08,4.991,-1.541,-0.094,135.56,204.52,340.08,39.861,74.88,89.48,15.32,26.6,62.92,90.12,62.04,9.2,24.04,110.04,11.04,24.08,35.12,38.08,74.265,81.88,10.52,10.6,19.514,17.36,6.52,30.0,7.92,12.12,10.64,2.6,24.28,7.88,49.918,22.312,41.9,44.698,22.6,13.24,28.399,79.74,1.02,3.284,0.042,3.539,-0.021,2.988,0.115,3.24,28.4,51.72,32.6,42.4,8.36,19.383,22.222,9.403,31.302,12.318,15.48,26.357,63.44,11.32,308.68,141.28,33.64,91.68,37.64,41.056,10.44,27.736,2.36,20.4,19.44,0.96,9.24,87.879,6.64,51.08,69.76,207.66,1675.8,1530.28,13.8,218.8,150.84,369.64,72.048,65.74,81.199,5.827,52.56,41.48,76.362,5885.52,15.922,66.56,5.553,74.84,4.939,-1.421,-0.222,145.16,217.44,362.6,40.033,70.48,100.2,16.2,33.36,66.84,91.52,65.84,9.84,25.28,118.48,13.04,26.48,39.52,43.56,75.39,86.96,10.56,10.76,20.472,13.92,5.12,11.72,9.48,2.12,22.76,7.92,51.494,22.298,40.335,43.303,20.84,75.237,2.443,3.3,0.107,3.636,0.222,2.882,-0.035,2.88,31.84,45.08,31.96,36.36,11.48,17.661,20.21,7.436,28.424,10.827,60.56,8.72,290.28,139.8,34.48,33.04,36.038,10.88,32.93,3.24,10.44,88.123,3.56,49.64,71.2,0.752,-51.44,-40.92,2.4,-9.4,-10.44,-19.84,1.76,112.28,-3.88,-4.76,-0.12,0.127,-9.6,-12.92,-22.52,4.4,-10.72,-0.88,-6.76,-3.92,-1.4,-3.8,-0.64,-1.24,-8.44,-2.0,-2.4,-4.4,-5.48,-5.08,-0.04,-0.16,3.44,1.4,0.4,1.16,1.52,-0.04,1.76,4.503,-1.423,-0.016,0.36,-3.44,6.64,0.64,6.04,-3.12,2.88,2.6,18.4,1.48,-0.84,4.6,-0.44,-0.88,3.08,1.44,-1.44
Essendon,Ess,22,39,24.585,74.435,189.377,1641.5,1504.955,12.045,49.104,212.364,149.818,362.182,76.255,70.27,84.739,58.635,7.503,50.591,38.591,72.564,5629.545,15.543,56.5,6.41,64.818,5.588,0.533,0.457,126.545,230.273,356.818,35.465,65.045,81.273,15.0,22.409,58.864,83.727,57.5,9.636,23.318,122.909,13.318,20.5,33.818,35.318,80.051,97.727,10.0,11.909,23.54,14.727,7.091,32.0,6.955,11.318,11.045,2.273,24.318,8.727,46.542,22.372,44.205,48.068,21.864,13.636,25.333,76.086,0.595,3.129,0.024,3.391,0.278,2.789,-0.304,3.818,32.864,42.273,29.409,35.5,14.045,20.392,23.253,9.781,30.361,11.861,17.364,31.937,50.136,9.636,272.318,126.727,29.091,79.091,36.0,45.517,10.773,29.924,2.045,20.727,19.636,1.091,11.0,88.43,7.091,44.0,71.455,203.659,1657.818,1503.545,17.955,218.455,138.318,356.773,74.201,68.227,83.635,7.116,53.182,38.364,75.831,5865.455,16.44,60.182,5.928,64.955,5.493,2.584,2.953,129.955,219.636,349.591,37.173,65.0,86.364,14.727,24.955,61.591,85.136,57.955,8.136,23.909,112.045,12.818,21.318,34.136,37.0,77.641,100.0,11.364,13.045,24.53,13.955,8.909,13.955,11.136,2.182,26.909,9.773,51.858,26.239,47.179,50.598,24.864,87.793,4.889,3.257,0.181,3.443,0.15,3.009,0.223,4.773,32.955,57.136,37.273,45.0,12.591,22.989,27.842,12.66,35.126,15.024,48.273,8.545,277.818,132.409,32.318,28.318,35.928,8.909,31.461,2.045,10.955,85.892,7.318,45.909,71.091,-14.282,-16.318,1.409,-5.909,-6.091,11.5,5.409,-2.591,-235.909,-3.682,-0.136,-2.05,-2.496,-3.409,10.636,7.227,0.045,-5.091,0.273,-2.545,-2.727,-1.409,-0.455,1.5,-0.591,10.864,0.5,-0.818,-0.318,-1.682,-2.273,-1.364,-1.136,0.773,-1.818,-2.636,-0.091,-2.591,-1.045,-3.0,-11.706,-4.294,-0.128,-0.955,-0.091,-14.864,-7.864,-9.5,1.455,1.864,1.091,-5.5,-5.682,-3.227,7.682,1.864,0.0,-0.227,-1.909,0.364
Geelong,Geel,25,35,27.813,145.71,217.088,1725.04,1589.2,22.52,54.562,219.88,154.44,374.32,73.071,66.891,81.87,58.741,6.53,57.88,34.64,77.115,5954.96,15.909,59.68,6.272,64.48,5.805,3.263,2.133,136.44,231.6,368.04,37.072,71.36,91.44,15.8,28.84,62.6,86.04,60.88,9.4,23.24,121.96,12.68,24.92,37.6,41.2,75.728,97.64,10.84,15.0,25.916,17.12,9.84,28.0,8.04,14.36,12.92,2.84,28.68,10.72,50.07,24.81,47.132,49.551,27.04,15.36,29.167,91.653,4.587,3.196,0.16,3.347,0.077,3.011,0.261,4.16,34.84,60.08,38.12,49.28,11.68,23.562,23.705,11.406,34.193,15.271,12.12,24.752,58.28,9.68,286.64,126.4,30.48,90.72,37.56,41.402,10.32,27.476,3.28,19.88,19.72,0.16,7.88,77.665,4.24,46.96,72.92,183.36,1574.08,1501.2,8.08,211.88,145.88,357.76,73.122,66.717,82.424,6.139,44.92,42.56,73.531,5476.12,15.307,61.52,5.815,71.12,5.03,-2.197,-2.048,129.16,222.32,351.48,36.747,64.52,87.48,12.36,25.32,62.12,80.64,58.04,8.92,21.2,116.44,11.24,24.96,36.2,39.04,76.434,95.12,8.68,9.44,21.015,14.68,5.04,9.76,7.88,1.84,19.52,7.0,50.0,21.728,39.27,43.455,17.44,62.981,1.619,3.227,0.083,3.499,0.039,2.863,0.142,3.52,28.68,34.24,23.04,35.2,8.2,15.746,17.064,6.147,24.889,8.691,57.32,9.76,296.72,157.2,29.64,34.36,37.908,10.2,29.686,2.04,12.68,80.757,4.96,44.08,70.28,33.728,150.96,88.0,14.44,8.0,8.56,16.56,12.96,478.84,-1.84,-6.64,5.459,4.181,7.28,9.28,16.56,6.84,3.96,3.44,3.52,0.48,5.4,2.84,0.48,2.04,5.52,1.44,-0.04,1.4,2.16,2.52,2.16,5.56,2.44,4.8,4.6,5.04,9.16,3.72,9.6,28.672,2.968,-0.031,0.64,6.16,25.84,15.08,14.08,3.48,0.96,-0.08,-10.08,-30.8,0.84,3.2,0.12,1.24,-0.72,2.88,2.64
Greater Western Sydney,GWS,22,39,25.575,89.0,195.982,1642.364,1553.318,11.364,46.344,217.273,147.182,364.455,73.796,68.222,82.026,59.616,6.578,48.955,41.818,75.41,5648.818,15.499,59.455,6.13,70.682,5.156,-2.371,-0.162,132.636,223.727,356.364,37.219,67.091,87.091,14.455,31.136,55.955,83.909,56.909,11.409,21.864,117.682,11.955,23.5,35.455,39.5,75.374,98.455,11.136,9.682,19.777,15.273,8.273,31.0,6.591,10.773,9.5,1.455,21.773,7.182,49.478,22.006,41.411,44.475,20.045,12.318,25.83,71.796,0.885,3.291,0.041,3.668,-0.013,2.852,0.103,4.5,27.818,41.818,28.182,35.682,10.273,17.949,21.716,8.369,29.205,10.104,14.136,20.257,60.227,9.909,295.682,151.682,33.045,89.864,36.818,40.971,12.182,33.086,1.864,19.591,19.545,0.045,10.955,89.212,3.955,47.864,67.818,208.318,1654.136,1518.727,18.636,215.727,148.136,363.864,72.842,66.625,81.896,6.042,55.455,37.591,76.787,5879.273,16.158,57.545,6.323,66.909,5.438,1.144,0.576,138.182,220.955,359.136,38.476,71.091,94.682,18.455,29.727,64.955,88.136,64.318,9.136,27.318,119.136,11.318,25.591,36.909,40.682,74.637,90.864,9.909,11.409,20.574,15.727,9.182,12.727,11.227,2.455,27.364,8.318,46.512,22.951,43.197,49.344,23.864,87.03,-1.894,3.181,-0.069,3.388,0.101,2.956,-0.254,2.136,33.273,52.182,33.091,45.591,8.909,20.891,21.96,9.22,32.524,12.717,55.409,10.864,289.136,125.955,32.955,35.136,39.119,10.227,29.107,3.727,9.364,83.01,5.727,46.636,67.227,-12.336,-11.773,34.591,-7.273,1.545,-0.955,0.591,-6.5,-230.455,1.909,3.773,-3.515,-0.737,-5.545,2.773,-2.773,-4.0,-7.591,-4.0,1.409,-9.0,-4.227,-7.409,2.273,-5.455,-1.455,0.636,-2.091,-1.455,-1.182,7.591,1.227,-1.727,-0.455,-0.909,-1.955,-1.727,-5.591,-1.136,-3.818,-15.234,2.779,0.11,2.364,-5.455,-10.364,-4.909,-9.909,1.364,4.818,-0.955,6.545,25.727,0.091,1.682,1.955,-1.864,-1.773,1.227,0.591
Sydney,Syd,25,35,25.409,104.777,209.108,1695.36,1539.16,17.52,50.31,222.16,128.52,350.68,72.693,67.789,81.17,63.351,5.833,54.44,39.16,76.784,5805.68,16.555,59.48,5.896,67.8,5.172,1.004,1.221,139.4,205.32,344.72,40.439,68.76,94.92,17.72,31.48,63.44,89.6,62.84,7.36,24.24,101.44,11.48,26.04,37.52,39.52,78.138,93.32,10.92,11.52,21.161,14.04,7.68,28.0,8.24,13.44,11.56,2.04,27.04,9.08,49.704,24.688,45.922,49.669,24.76,16.56,30.193,86.941,3.219,3.215,0.119,3.543,0.043,2.867,0.2,3.12,32.4,56.68,36.28,43.4,12.52,21.834,23.123,10.41,32.303,13.543,13.8,25.507,64.92,12.0,285.2,138.0,35.8,89.76,30.24,33.69,7.92,26.19,3.88,20.52,21.64,-1.12,9.88,96.761,5.32,49.0,68.92,192.524,1604.64,1469.72,13.08,209.76,134.76,344.52,71.102,64.95,80.677,5.307,51.0,40.44,74.284,5519.84,16.022,57.84,5.956,68.36,5.04,-2.695,-3.034,138.0,199.92,337.92,40.838,67.92,92.28,16.32,31.04,61.24,87.72,61.32,10.8,23.2,105.76,12.88,23.64,36.52,40.68,76.205,86.0,9.4,9.28,18.196,16.04,7.64,11.04,10.24,2.16,23.64,6.56,46.701,21.647,41.725,46.353,21.08,74.165,0.155,3.137,0.007,3.308,0.004,2.948,0.009,2.68,33.2,40.6,23.28,39.48,13.72,18.491,19.632,6.499,28.295,9.507,60.12,11.56,280.52,128.8,31.8,37.8,42.131,11.68,30.899,2.0,11.36,91.549,4.32,46.4,69.96,16.584,90.72,69.44,4.44,12.4,-6.24,6.16,3.44,285.84,1.64,-0.56,3.699,4.255,1.4,5.4,6.8,0.84,2.64,1.4,0.44,2.2,1.88,1.52,-3.44,1.04,-4.32,-1.4,2.4,1.0,-1.16,7.32,1.52,2.24,-2.0,0.04,2.4,1.32,3.4,2.52,3.68,12.776,3.064,0.078,0.44,-0.8,16.08,13.0,3.92,-1.2,4.8,0.44,4.68,9.2,4.0,-7.56,-3.76,1.88,1.0,2.6,-1.04
