Team,Abbreviation,Matches,Players,Age,Experience,RatingPoints,Supercoach,DreamTeamPoints,CoachesVotes,ForwardHalf,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,DisposalsPerOppositionTackle,Inside50s,Rebound50s,Rebound50sPerOppositionInside50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ThreatRating,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreClearances,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,MarksInside50PerInside50,InterceptMarks,MarksOnLead,GoalScorers_Total,GoalScorers,Goals,Behinds,RushedBehinds,ShotsAtGoal,GoalAssists,GoalAccuracy,GoalsPerInside50,ScoringShotsPerInside50,ShotsPerInside50,ScoreLaunches,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,xScore,xScoreRating,xScorePerShot,xScoreRatingPerShot,xScorePerShot_Set,xScoreRatingPerShot_Set,xScorePerShot_General,xScoreRatingPerShot_General,PointsFromKickIn,PointsFromStoppage,PointsFromTurnover,PointsFromDefensiveHalf,PointsFromForwardHalf,PointsFromCentreBounce,ChainToScore,D50ToF50,D50ToScore,DefHalfToF50,DefHalfToScore,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,Tackles,TacklesInside50,PressureActs,PressureActsDefensiveHalf,Spoils,RuckContests,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,FreesFor,FreesAgainst,FreesDiff,KickIns,KickInsPlayOnPercentage,Bounces,OnePercenters,InterchangeCount,RatingPoints_Opposition,Supercoach_Opposition,DreamTeamPoints_Opposition,CoachesVotes_Opposition,Kicks_Opposition,Handballs_Opposition,Disposals_Opposition,DisposalEfficiency_Opposition,KickingEfficiency_Opposition,HandballEfficiency_Opposition,OppositionDisposalsPerTackle,Inside50s_Opposition,Rebound50s_Opposition,OppositionRebound50sPerInside50s,MetresGained_Opposition,MetresGainedPerDisposal_Opposition,Clangers_Opposition,DisposalsPerClanger_Opposition,Turnovers_Opposition,DisposalsPerTurnover_Opposition,ThreatRating_Opposition,RetentionRating_Opposition,ContestedPossessions_Opposition,UncontestedPossessions_Opposition,TotalPossessions_Opposition,ContestedPossessionRate_Opposition,Intercepts_Opposition,GroundBallGets_Opposition,GroundBallGetsForward50_Opposition,HardBallGets_Opposition,LooseBallGets_Opposition,PostClearanceContestedPossessions_Opposition,PostClearanceGroundBallGets_Opposition,GathersFromHitout_Opposition,CrumbingPossessions_Opposition,HandballReceives_Opposition,CentreClearances_Opposition,StoppageClearances_Opposition,TotalClearances_Opposition,FirstPossessions_Opposition,FirstPossessionToClearance_Opposition,Marks_Opposition,ContestedMarks_Opposition,MarksInside50_Opposition,MarksInside50PerInside50_Opposition,InterceptMarks_Opposition,MarksOnLead_Opposition,Goals_Opposition,Behinds_Opposition,RushedBehinds_Opposition,ShotsAtGoal_Opposition,GoalAssists_Opposition,GoalAccuracy_Opposition,GoalsPerInside50_Opposition,ScoringShotsPerInside50_Opposition,ShotsPerInside50_Opposition,ScoreLaunches_Opposition,xScore_Opposition,xScoreRating_Opposition,xScorePerShot_Opposition,xScoreRatingPerShot_Opposition,xScorePerShot_Set_Opposition,xScoreRatingPerShot_Set_Opposition,xScorePerShot_General_Opposition,xScoreRatingPerShot_General_Opposition,PointsFromKickIn_Opposition,PointsFromStoppage_Opposition,PointsFromTurnover_Opposition,PointsFromDefensiveHalf_Opposition,PointsFromForwardHalf_Opposition,PointsFromCentreBounce_Opposition,ChainToScore_Opposition,D50ToF50_Opposition,D50ToScore_Opposition,DefHalfToF50_Opposition,DefHalfToScore_Opposition,Tackles_Opposition,TacklesInside50_Opposition,PressureActs_Opposition,PressureActsDefensiveHalf_Opposition,Spoils_Opposition,Hitouts_Opposition,HitoutsWinPercentage_Opposition,HitoutsToAdvantage_Opposition,HitoutsToAdvantagePercentage_Opposition,RuckHardBallGets_Opposition,KickIns_Opposition,KickInsPlayOnPercentage_Opposition,Bounces_Opposition,OnePercenters_Opposition,InterchangeCount_Opposition,RatingPoints_Diff,Supercoach_Diff,DreamTeamPoints_Diff,CoachesVotes_Diff,Kicks_Diff,Handballs_Diff,Disposals_Diff,Inside50s_Diff,MetresGained_Diff,Clangers_Diff,Turnovers_Diff,ThreatRating_Diff,RetentionRating_Diff,ContestedPossessions_Diff,UncontestedPossessions_Diff,TotalPossessions_Diff,Intercepts_Diff,GroundBallGets_Diff,GroundBallGetsForward50_Diff,HardBallGets_Diff,LooseBallGets_Diff,PostClearanceContestedPossessions_Diff,PostClearanceGroundBallGets_Diff,GathersFromHitout_Diff,CrumbingPossessions_Diff,HandballReceives_Diff,CentreClearances_Diff,StoppageClearances_Diff,TotalClearances_Diff,FirstPossessions_Diff,Marks_Diff,ContestedMarks_Diff,MarksInside50_Diff,InterceptMarks_Diff,MarksOnLead_Diff,Goals_Diff,Behinds_Diff,ShotsAtGoal_Diff,GoalAssists_Diff,ScoreLaunches_Diff,xScore_Diff,xScoreRating_Diff,xScorePerShot_Diff,PointsFromKickIn_Diff,PointsFromStoppage_Diff,PointsFromTurnover_Diff,PointsFromDefensiveHalf_Diff,PointsFromForwardHalf_Diff,PointsFromCentreBounce_Diff,Tackles_Diff,TacklesInside50_Diff,PressureActs_Diff,PressureActsDefensiveHalf_Diff,Spoils_Diff,Hitouts_Diff,HitoutsToAdvantage_Diff,RuckHardBallGets_Diff,Bounces_Diff,OnePercenters_Diff,InterchangeCount_Diff
Melbourne,Melb,10,30.0,26.129,124.043,200.27,1652.1,1548.7,13.0,50.188,213.5,153.6,367.1,73.631,68.337,80.99,58.159,6.748,51.9,36.5,73.0,5835.4,15.896,58.2,6.308,62.1,5.911,3.392,1.948,136.0,225.1,361.1,37.663,64.0,88.7,14.3,21.7,67.0,84.7,58.0,10.2,22.9,121.0,12.2,23.6,35.8,41.4,71.014,94.7,11.8,11.8,22.736,16.9,7.2,20.0,7.7,12.8,11.1,2.1,26.6,9.2,48.12,24.663,46.05,51.252,23.7,10.5,32.381,85.232,0.568,3.204,0.021,3.306,0.389,3.084,-0.412,5.7,35.9,46.3,34.2,42.0,11.7,21.723,22.28,10.104,29.771,13.282,11.8,25.424,56.3,10.0,255.4,114.5,26.4,91.3,39.4,43.154,11.4,28.934,4.3,18.7,17.5,1.2,10.8,95.37,4.2,39.4,70.1,200.36,1648.2,1501.5,17.0,210.1,138.6,348.7,73.674,68.396,81.674,6.194,50.0,38.4,73.988,5782.8,16.584,54.4,6.41,64.0,5.448,3.246,3.512,121.8,217.6,339.4,35.887,62.6,83.3,13.6,19.2,64.1,75.3,51.4,6.8,20.8,109.6,12.4,23.3,35.7,36.2,75.967,98.8,9.5,15.4,30.8,15.2,11.6,12.8,11.1,2.0,25.3,10.5,50.593,25.6,47.8,50.6,23.4,84.826,1.074,3.353,0.042,3.525,0.121,3.018,-0.111,4.9,35.5,47.5,34.1,39.9,13.9,21.972,26.44,10.789,34.006,14.174,54.4,7.2,268.4,132.7,32.0,32.7,35.855,7.7,23.547,2.1,10.8,88.889,5.2,46.0,70.9,-0.09,3.9,47.2,-4.0,3.4,15.0,18.4,1.9,52.6,3.8,-1.9,0.146,-1.564,14.2,7.5,21.7,1.4,5.4,0.7,2.5,2.9,9.4,6.6,3.4,2.1,11.4,-0.2,0.3,0.1,5.2,-4.1,2.3,-3.6,1.7,-4.4,0.0,0.0,1.3,-1.3,0.3,0.406,-0.506,-0.149,0.8,0.4,-1.2,0.1,2.1,-2.2,1.9,2.8,-13.0,-18.2,-5.6,6.7,3.7,2.2,-1.0,-6.6,-0.8
West Coast,WC,10,37.0,24.231,70.765,162.98,1488.2,1372.8,3.1,46.364,189.1,134.9,324.0,71.667,64.516,81.69,58.364,5.557,44.1,39.4,70.232,5274.3,16.279,56.7,5.714,64.5,5.023,-3.135,-3.245,116.8,200.5,317.3,36.811,62.0,76.5,9.3,16.9,59.6,72.4,50.0,8.7,19.6,106.4,10.2,22.1,32.3,35.5,74.366,84.8,7.9,9.6,21.769,13.9,8.7,23.0,6.5,8.3,7.6,1.3,18.3,6.1,45.355,18.821,36.054,41.497,15.9,8.9,21.348,62.089,-5.989,3.393,-0.327,3.654,-0.128,2.919,-0.688,3.1,17.4,36.9,24.8,28.1,4.5,15.186,21.359,7.073,29.897,10.059,8.9,37.079,56.4,10.3,261.8,129.4,31.8,94.7,36.5,38.543,9.5,26.027,1.8,19.2,18.7,0.5,12.5,91.2,7.7,43.5,71.8,219.52,1811.8,1584.4,26.9,216.9,152.4,369.3,73.111,65.422,84.055,6.548,56.1,35.1,79.592,6089.2,16.488,56.9,6.49,62.0,5.956,5.133,2.978,136.2,228.6,364.8,37.336,64.8,87.9,16.8,22.8,65.1,81.9,56.8,12.8,23.1,124.8,13.4,28.0,41.4,45.6,79.386,94.9,11.7,14.0,24.955,18.3,9.0,15.8,12.5,1.3,32.0,11.8,49.375,28.164,50.446,57.041,28.2,103.541,2.459,3.236,0.077,3.517,0.068,2.92,0.086,5.3,44.1,57.9,40.8,51.8,14.7,25.224,26.462,13.37,33.812,15.705,58.3,11.1,244.0,104.0,30.3,43.9,46.406,14.2,32.346,3.1,7.5,92.0,10.0,43.1,71.4,-56.54,-323.6,-211.6,-23.8,-27.8,-17.5,-45.3,-12.0,-814.9,-0.2,2.5,-8.269,-6.223,-19.4,-28.1,-47.5,-2.8,-11.4,-7.5,-5.9,-5.5,-9.5,-6.8,-4.1,-3.5,-18.4,-3.2,-5.9,-9.1,-10.1,-10.1,-3.8,-4.4,-4.4,-0.3,-7.5,-4.9,-13.7,-5.7,-12.3,-41.452,-8.448,0.157,-2.2,-26.7,-21.0,-16.0,-23.7,-10.2,-1.9,-0.8,17.8,25.4,1.5,-7.4,-4.7,-1.3,-2.3,0.4,0.4
Essendon,Ess,10,36.0,24.731,88.552,173.74,1502.9,1402.4,5.2,46.783,192.3,149.9,342.2,73.787,66.199,83.522,56.195,6.593,46.9,38.7,70.879,5409.8,15.809,55.1,6.211,62.7,5.458,-2.752,-1.047,121.6,210.8,332.4,36.582,61.9,82.3,12.8,18.4,63.9,78.8,55.1,8.2,20.1,122.5,10.2,20.6,30.8,35.2,74.432,82.0,8.1,9.8,20.896,14.3,8.0,22.0,5.9,8.2,9.6,2.5,19.0,5.1,43.158,17.484,37.953,40.512,17.5,10.1,25.743,61.338,-5.038,3.228,-0.265,3.375,-0.366,2.972,-0.088,4.2,21.1,33.5,20.5,31.5,6.8,17.191,20.698,8.229,27.387,9.248,9.7,32.99,55.5,10.3,276.3,133.3,26.5,87.7,34.1,38.883,8.7,25.513,1.2,21.0,18.0,3.0,11.1,93.694,7.8,34.5,67.8,218.84,1798.3,1603.0,24.8,220.9,160.9,381.8,75.825,69.896,83.965,6.879,54.6,37.9,80.81,6086.5,15.942,58.0,6.583,61.7,6.188,4.172,5.598,128.6,247.9,376.5,34.157,62.8,80.5,14.5,19.5,61.0,79.9,53.4,12.1,22.0,131.9,12.5,24.7,37.2,40.7,77.396,106.4,12.3,15.5,28.388,16.1,10.9,14.9,11.5,1.8,29.2,11.6,51.027,27.289,48.352,53.48,25.9,94.073,5.027,3.222,0.172,3.477,0.236,2.823,0.072,4.2,34.9,61.8,44.3,44.8,11.8,24.004,31.152,13.089,38.281,16.928,51.9,10.2,256.7,112.2,30.2,37.6,42.825,12.7,33.777,3.1,9.4,88.298,6.6,40.7,70.8,-45.1,-295.4,-200.6,-19.6,-28.6,-11.0,-39.6,-7.7,-676.7,-2.9,1.0,-6.924,-6.645,-7.0,-37.1,-44.1,-0.9,1.8,-1.7,-1.1,2.9,-1.1,1.7,-3.9,-1.9,-9.4,-2.3,-4.1,-6.4,-5.5,-24.4,-4.2,-5.7,-1.8,-2.9,-6.7,-1.9,-10.2,-6.5,-8.4,-32.735,-10.065,0.007,0.0,-13.8,-28.3,-23.8,-13.3,-5.0,3.6,0.1,19.6,21.1,-3.7,-3.5,-4.0,-1.9,1.2,-6.2,-3.0
North Melbourne,NM,10,36.0,24.366,86.204,184.8,1580.0,1469.6,9.6,45.629,197.7,154.0,351.7,74.95,67.577,84.416,56.213,5.654,44.9,38.9,69.094,5302.6,15.077,53.6,6.562,56.9,6.181,1.216,0.56,121.1,222.1,343.2,35.286,53.6,80.1,11.1,19.4,60.7,69.6,47.2,7.4,19.8,127.3,13.7,25.1,38.8,42.4,77.123,88.6,9.1,10.8,24.053,12.5,7.5,25.0,7.2,11.8,9.4,1.7,23.1,9.0,51.082,26.281,47.216,51.448,21.0,9.1,28.571,78.589,-0.089,3.402,-0.004,3.627,0.168,3.05,-0.273,5.9,37.2,37.1,28.8,34.0,17.4,20.37,20.619,9.302,27.69,11.587,10.2,36.275,58.6,10.4,262.7,131.6,29.7,103.2,32.1,31.105,8.3,25.857,4.7,18.9,20.4,-1.5,12.3,87.805,8.1,39.6,71.7,214.88,1714.9,1541.2,20.4,202.2,146.4,348.6,75.502,71.266,81.352,5.949,56.3,31.9,71.047,5754.6,16.508,52.3,6.665,53.3,6.54,6.608,6.573,128.4,214.3,342.7,37.467,56.9,78.2,13.3,20.1,58.1,76.3,49.5,10.8,20.0,116.0,13.6,25.8,39.4,44.3,75.847,91.8,12.8,17.0,30.195,15.3,6.5,16.6,12.5,1.8,31.0,12.8,53.548,29.485,51.687,55.062,28.6,101.96,8.34,3.289,0.269,3.577,0.292,2.827,0.232,4.0,45.0,63.1,39.2,58.6,14.3,27.616,28.097,12.991,36.888,17.018,62.2,10.9,263.3,115.2,25.1,43.6,42.248,11.6,26.606,4.0,8.9,93.258,6.7,36.6,73.2,-30.08,-134.9,-71.6,-10.8,-4.5,7.6,3.1,-11.4,-452.0,1.3,3.6,-5.392,-6.013,-7.3,7.8,0.5,-3.3,1.9,-2.2,-0.7,2.6,-6.7,-2.3,-3.4,-0.2,11.3,0.1,-0.7,-0.6,-1.9,-3.2,-3.7,-6.2,-2.8,1.0,-4.8,-3.1,-7.9,-3.8,-7.6,-23.372,-8.428,0.113,1.9,-7.8,-26.0,-10.4,-24.6,3.1,-3.6,-0.5,-0.6,16.4,4.6,-11.5,-3.3,0.7,1.4,3.0,-1.5
Carlton,Carl,10,36.0,25.829,102.987,191.7,1597.4,1450.3,9.6,49.757,201.7,145.1,346.8,71.857,63.262,83.804,58.16,5.742,50.3,35.7,71.976,5599.0,16.145,57.6,6.021,64.9,5.344,-2.173,0.513,131.0,211.5,342.5,38.248,61.8,85.6,14.6,20.7,64.9,78.9,56.2,10.5,23.9,118.0,14.3,24.0,38.3,43.1,74.246,83.5,9.5,12.7,25.249,14.0,8.3,24.0,7.2,10.8,9.8,1.8,22.8,7.7,47.368,21.471,40.954,45.328,20.3,11.4,29.825,74.859,-2.659,3.298,-0.117,3.633,-0.067,2.797,-0.192,2.5,31.0,41.1,25.3,38.6,10.7,18.919,23.611,7.5,30.533,10.985,7.6,23.684,59.3,10.1,274.9,132.4,30.9,94.8,34.9,36.814,10.9,31.232,4.4,21.1,20.5,0.6,9.8,77.551,4.0,41.8,69.8,203.99,1703.0,1544.9,20.4,209.3,150.6,359.9,73.854,67.941,82.072,6.069,49.6,39.2,77.932,5839.8,16.226,57.0,6.314,61.7,5.833,1.192,2.177,126.4,225.7,352.1,35.899,65.0,82.1,13.7,19.9,62.2,79.6,52.2,7.6,21.3,120.8,9.2,24.2,33.4,37.8,71.958,97.4,11.7,12.7,25.605,17.2,7.2,12.9,10.0,1.5,25.5,9.4,50.588,26.008,46.169,51.411,22.6,84.648,1.252,3.32,0.049,3.469,0.132,3.076,-0.086,4.5,37.7,45.2,32.3,42.1,13.0,21.241,25.253,9.62,31.493,11.677,60.4,10.3,274.3,134.8,29.6,38.9,41.077,8.8,22.622,1.9,9.8,96.939,6.6,43.5,70.9,-12.29,-105.6,-94.6,-10.8,-7.6,-5.5,-13.1,0.7,-240.8,0.6,3.2,-3.365,-1.664,4.6,-14.2,-9.6,-3.2,3.5,0.9,0.8,2.7,-0.7,4.0,2.9,2.6,-2.8,5.1,-0.2,4.9,5.3,-13.9,-2.2,0.0,-3.2,1.1,-2.1,-0.2,-2.7,-1.7,-2.3,-9.788,-3.912,-0.022,-2.0,-6.7,-4.1,-7.0,-3.5,-2.3,-1.1,-0.2,0.6,-2.4,1.3,-4.0,2.1,2.5,-2.6,-1.7,-1.1
Port Adelaide,Port,10,38.0,25.529,96.222,169.47,1573.4,1403.3,10.7,47.202,198.0,129.4,327.4,67.532,59.747,79.444,60.476,5.403,44.9,41.7,73.675,5544.3,16.934,61.1,5.358,66.3,4.938,1.007,-0.944,123.4,187.8,311.2,39.653,61.8,81.2,11.7,19.5,61.7,73.8,52.0,9.4,20.4,99.3,10.2,26.5,36.7,41.1,73.236,75.8,6.9,11.4,25.39,13.8,6.5,25.0,6.4,10.2,9.9,1.4,22.5,7.0,45.333,22.717,44.766,50.111,19.9,10.5,20.0,71.827,-2.127,3.192,-0.095,3.359,0.007,2.891,-0.278,4.0,34.4,32.7,27.1,32.1,11.9,18.401,19.286,8.612,28.139,11.014,11.3,30.973,62.5,11.2,275.6,149.2,29.5,98.0,42.3,43.163,11.0,26.005,3.0,21.1,20.0,1.1,12.1,97.521,4.6,40.9,67.8,201.15,1727.4,1483.5,19.3,213.5,136.1,349.6,69.308,60.937,82.439,5.594,56.6,33.7,75.056,5933.7,16.973,58.8,5.946,61.6,5.675,2.742,0.185,135.2,203.5,338.7,39.917,66.4,92.3,16.7,24.7,67.6,83.9,58.9,8.6,21.6,110.0,13.1,25.6,38.7,42.5,75.765,80.2,10.0,14.4,25.442,14.5,8.3,14.0,12.2,1.8,29.6,10.2,47.297,24.735,46.29,52.297,26.0,100.962,-7.162,3.422,-0.243,3.831,-0.276,2.925,-0.203,2.1,35.7,58.4,33.0,49.8,13.4,22.968,22.609,9.621,31.068,12.987,60.6,11.5,257.1,118.7,29.5,36.7,37.449,9.4,25.613,2.5,9.9,87.879,4.7,42.7,70.5,-31.68,-154.0,-80.2,-8.6,-15.5,-6.7,-22.2,-11.7,-389.4,2.3,4.7,-1.735,-1.129,-11.8,-15.7,-27.5,-4.6,-11.1,-5.0,-5.2,-5.9,-10.1,-6.9,0.8,-1.2,-10.7,-2.9,0.9,-2.0,-1.4,-4.4,-3.1,-3.0,-0.7,-1.8,-3.8,-2.3,-7.1,-3.2,-6.1,-29.136,5.036,-0.23,1.9,-1.3,-25.7,-5.9,-17.7,-1.5,1.9,-0.3,18.5,30.5,0.0,5.6,1.6,0.5,-0.1,-1.8,-2.7
Sydney,Syd,10,31.0,26.604,128.274,192.51,1715.8,1552.2,18.9,50.983,211.5,148.0,359.5,72.851,66.714,81.622,58.832,6.329,50.5,36.4,73.984,5600.0,15.577,53.1,6.77,57.8,6.22,1.6,3.273,126.0,225.5,351.5,35.846,57.6,80.7,13.2,23.3,57.4,74.8,52.9,11.1,20.8,117.9,12.2,25.7,37.9,42.9,75.058,97.4,9.1,14.5,28.713,14.6,9.8,20.0,7.7,12.1,11.5,1.3,26.4,9.3,45.833,23.96,46.733,52.277,23.3,10.5,32.381,84.572,-1.772,3.203,-0.067,3.528,-0.124,2.679,0.024,4.6,37.1,42.4,31.9,39.5,12.7,22.275,30.163,12.772,35.447,14.472,8.4,36.905,59.9,10.6,242.0,110.9,27.9,94.3,46.0,48.78,12.4,26.957,4.5,18.7,19.2,-0.5,10.6,96.226,8.7,36.9,70.1,183.95,1584.9,1434.1,11.1,199.0,135.6,334.6,72.176,65.427,82.08,5.586,49.2,38.1,75.446,5479.6,16.377,51.9,6.447,57.5,5.819,2.099,1.362,118.3,206.6,324.9,36.411,58.1,80.9,12.7,19.0,61.9,72.2,49.9,6.4,18.9,108.6,11.1,23.0,34.1,36.7,74.659,90.3,9.2,11.6,23.577,14.7,9.4,11.3,11.0,2.5,24.4,7.6,46.311,22.967,45.325,49.593,22.1,75.777,0.523,3.106,0.021,3.234,-0.003,2.936,0.054,4.5,27.3,47.0,29.4,35.9,13.5,21.795,23.65,9.845,31.891,13.387,56.8,10.0,259.7,121.0,28.9,28.1,29.83,7.2,25.623,1.1,11.3,89.381,7.4,39.1,69.1,8.56,130.9,118.1,7.8,12.5,12.4,24.9,1.3,120.4,1.2,0.3,-0.499,1.91,7.7,18.9,26.6,-0.5,-0.2,0.5,4.3,-4.5,2.6,3.0,4.7,1.9,9.3,1.1,2.7,3.8,6.2,7.1,-0.1,2.9,-0.1,0.4,0.8,0.5,2.0,1.7,1.2,8.794,-2.294,0.098,0.1,9.8,-4.6,2.5,3.6,-0.8,3.1,0.6,-17.7,-10.1,-1.0,17.9,5.2,3.4,1.3,-2.2,1.0
St Kilda,St K,10,34.0,25.183,100.248,188.47,1632.9,1500.7,14.7,48.811,210.2,138.6,348.8,73.337,67.031,82.9,60.264,5.653,48.0,33.8,71.61,5390.6,15.455,57.5,6.066,58.8,5.932,2.105,3.336,126.2,213.8,340.0,37.118,54.8,86.3,14.6,19.3,67.0,74.7,51.8,8.6,20.6,111.9,10.8,27.0,37.8,43.5,74.483,91.2,8.5,11.7,24.375,10.5,9.1,24.0,7.3,11.4,10.2,1.9,24.4,8.2,46.721,23.75,45.0,50.833,21.4,11.1,30.631,81.69,-4.99,3.348,-0.205,3.63,-0.299,2.993,-0.085,1.9,30.8,45.9,32.8,38.0,7.8,21.027,20.056,8.38,32.584,14.148,7.8,33.333,63.0,11.6,253.6,121.0,33.3,102.2,31.8,31.115,9.3,29.245,2.0,19.4,20.3,-0.9,10.8,99.074,8.4,43.4,70.9,191.1,1667.8,1525.4,15.3,205.5,133.9,339.4,74.867,70.706,81.255,5.387,47.2,35.9,74.792,5493.7,16.187,50.4,6.734,54.3,6.25,2.019,1.268,119.4,212.3,331.7,35.996,59.1,71.7,13.5,18.3,53.4,71.8,48.1,11.3,18.9,106.3,11.3,23.7,35.0,37.8,75.926,99.0,10.9,14.1,29.873,17.4,9.5,12.8,11.0,2.1,25.7,9.7,49.805,27.119,50.424,54.449,23.5,82.74,2.96,3.219,0.115,3.434,0.16,2.894,0.048,3.6,38.6,45.6,35.3,40.4,12.1,22.807,21.68,10.84,27.614,13.584,61.7,11.4,262.9,119.5,25.2,48.9,47.754,12.9,26.38,4.6,10.1,91.089,6.8,35.8,70.8,-2.63,-34.9,-24.7,-0.6,4.7,4.7,9.4,0.8,-103.1,7.1,4.5,0.086,2.068,6.8,1.5,8.3,-4.3,14.6,1.1,1.0,13.6,2.9,3.7,-2.7,1.7,5.6,-0.5,3.3,2.8,5.7,-7.8,-2.4,-2.4,-6.9,-0.4,-1.4,-0.8,-1.3,-1.5,-2.1,-1.05,-7.95,0.128,-1.7,-7.8,0.3,-2.5,-2.4,-4.3,1.3,0.2,-9.3,1.5,8.1,-17.1,-3.6,-2.6,1.6,7.6,0.1
Greater Western Sydney,GWS,10,30.0,25.192,99.017,219.32,1718.4,1531.5,21.0,48.578,211.2,143.6,354.8,72.773,67.472,80.571,59.526,6.214,54.1,40.5,75.419,6143.5,17.315,60.0,5.913,62.1,5.713,2.685,0.983,134.2,211.2,345.4,38.854,62.6,87.2,16.1,20.2,67.0,83.3,58.1,11.3,23.8,112.9,13.4,25.4,38.8,42.0,76.429,92.3,11.2,11.9,21.996,15.4,10.4,20.0,8.6,15.1,10.8,1.6,28.7,10.4,52.613,27.911,47.874,53.05,25.9,10.4,27.885,93.244,6.556,3.249,0.228,3.531,0.229,2.957,0.228,5.1,45.8,50.5,36.6,47.1,17.7,23.567,25.124,11.721,32.925,13.978,13.5,27.407,60.9,10.0,264.8,132.4,30.8,97.2,37.8,38.889,12.4,32.804,2.7,18.9,22.1,-3.2,10.3,95.146,12.8,40.8,70.2,203.6,1581.4,1412.1,9.0,194.4,141.9,336.3,73.149,66.255,82.593,5.522,53.7,38.3,70.795,5847.0,17.386,53.8,6.251,62.7,5.364,-0.396,-0.177,132.1,198.6,330.7,39.946,62.5,85.0,15.2,19.6,65.4,81.0,55.6,10.9,19.6,113.4,14.0,24.2,38.2,42.7,76.815,76.4,10.1,10.8,20.112,13.5,7.0,12.2,10.5,1.2,25.0,8.8,48.8,22.719,42.272,46.555,22.7,82.088,0.412,3.284,0.016,3.501,0.052,2.993,-0.031,3.8,31.1,48.8,25.9,44.3,13.5,20.826,21.579,8.684,32.348,11.509,57.1,12.7,263.3,115.3,30.8,39.6,40.867,11.8,29.798,3.3,10.5,95.238,7.5,41.1,72.3,15.72,137.0,119.4,12.0,16.8,1.7,18.5,0.4,296.5,6.2,-0.6,3.081,1.16,2.1,12.6,14.7,0.1,2.2,0.9,0.6,1.6,2.3,2.5,0.4,4.2,-0.5,-0.6,1.2,0.6,-0.7,15.9,1.1,1.1,1.9,3.4,2.9,0.3,3.7,1.6,3.2,11.156,6.144,-0.035,1.3,14.7,1.7,10.7,2.8,4.2,3.8,-2.7,1.5,17.1,0.0,-1.8,0.6,-0.6,5.3,-0.3,-2.1
Richmond,Rich,10,34.0,25.318,92.639,173.13,1491.5,1400.8,6.4,45.823,194.6,147.5,342.1,72.376,66.033,80.746,56.884,5.919,43.1,41.3,73.882,5505.4,16.093,56.4,6.066,64.7,5.287,0.634,1.619,119.8,214.4,334.2,35.847,58.2,80.1,9.2,21.3,58.8,72.7,50.3,9.0,18.8,115.6,9.4,23.3,32.7,39.8,71.106,89.4,9.1,10.4,24.13,14.7,5.6,24.0,6.0,8.4,9.2,1.8,19.4,6.2,43.299,19.49,40.835,45.012,17.4,8.4,29.762,59.543,-1.743,3.069,-0.09,3.2,0.052,2.842,-0.335,5.5,22.4,31.7,25.1,28.5,6.0,16.994,23.002,9.201,29.167,11.31,13.0,29.231,49.8,6.5,262.0,132.1,32.4,90.6,35.8,39.514,9.6,26.816,3.3,17.1,18.7,-1.6,12.5,83.2,5.3,42.0,69.6,217.78,1804.8,1670.1,23.6,226.0,164.6,390.6,75.678,68.628,85.358,7.843,55.9,34.2,79.35,6109.4,15.641,50.4,7.75,58.1,6.723,4.281,4.092,127.5,256.9,384.4,33.169,64.7,86.1,16.3,20.9,65.2,80.2,55.3,8.1,19.4,137.1,11.2,24.9,36.1,36.4,78.571,110.9,10.2,15.5,27.728,16.0,8.2,14.0,12.8,2.6,28.8,10.8,48.611,25.045,47.943,51.521,26.7,91.395,2.805,3.173,0.097,3.427,0.008,2.819,0.223,5.8,33.4,57.6,33.6,51.8,11.4,24.813,29.855,13.913,39.06,16.396,57.8,9.5,253.3,112.3,25.3,37.4,41.009,9.0,24.064,3.1,9.1,85.714,10.3,35.0,68.5,-44.65,-313.3,-269.3,-17.2,-31.4,-17.1,-48.5,-12.8,-604.0,6.0,6.6,-3.646,-2.473,-7.7,-42.5,-50.2,-6.5,-6.0,-7.1,0.4,-6.4,-7.5,-5.0,0.9,-0.6,-21.5,-1.8,-1.6,-3.4,3.4,-21.5,-1.1,-5.1,-1.3,-2.6,-5.6,-3.6,-9.4,-4.6,-9.3,-31.852,-4.548,-0.104,-0.3,-11.0,-25.9,-8.5,-23.3,-5.4,-8.0,-3.0,8.7,19.8,7.1,-1.6,0.6,0.2,-5.0,7.0,1.1
