Player,Team,Competition,Season,Position,Role,Nationality,Age,Average Minutes,Appearances In Position,Total Appearances,Market Value,Contract Expiration Date,Rating,Ball Winning,Stoppage,Contest,Power,Receives,Ball Use,Handballing,Kicking,Goal Kicking,Connecting,Aerial,Marking,Contested,Moks,Ruck,Defence,Pressure,Tackling,Intercepting,Neutralise
A. McPherson,AFC,AFL,2020,GD,GD,Australia,21,4458,9,9,,,2.49,2.52,1.64,3.11,2.66,2.38,2.45,3.12,2.12,1.81,2.19,2.69,1.85,3.4,2.85,2.45,2.4,1.82,2.37,3.22,2.14
B. Crocker,AFC,AFL,2020,GF,GF,Australia,23,5054,7,7,,,2.26,1.8,2.03,1.46,2.28,1.82,2.39,2.0,2.42,2.38,2.72,2.63,3.05,2.71,1.71,2.43,2.4,2.01,2.8,2.67,2.06
B. Crouch,AFC,AFL,2020,M,M,Australia,26,4510,12,12,,,2.54,3.16,3.79,3.34,2.15,2.69,2.41,3.03,2.28,1.79,2.49,1.73,1.51,1.88,1.8,2.43,2.24,1.82,2.69,2.36,1.95
B. Frampton,AFC,AFL,2020,KF,KF,Australia,24,5106,5,5,,,2.31,2.26,2.28,1.53,2.65,3.02,2.27,3.1,2.05,2.29,2.02,2.38,2.29,1.66,2.41,3.48,2.32,2.32,1.91,2.35,3.03
B. Gibbs,AFC,AFL,2020,GD,GD,Australia,31,4950,3,3,,,2.36,2.41,2.99,2.37,1.56,2.44,3.03,3.58,2.55,3.37,2.75,1.58,1.84,1.39,1.5,2.45,1.82,2.06,1.57,2.02,1.64
B. Keays,AFC,AFL,2020,M,M,Australia,23,5266,16,16,,,2.5,2.3,2.39,2.34,2.2,2.21,2.5,3.1,2.46,1.94,2.37,2.62,2.71,2.02,3.79,2.43,2.75,3.36,2.33,2.62,2.14
B. Smith,AFC,AFL,2020,GD,GD,Australia,28,4839,16,16,,,2.71,3.12,4.21,2.62,2.61,3.2,2.72,2.1,2.37,4.91,3.33,2.15,2.18,1.92,2.39,2.45,2.62,3.63,3.11,1.5,2.02
C. Jones,AFC,AFL,2020,M,M,Australia,20,4879,15,15,,,1.77,1.54,1.26,1.65,2.74,1.12,1.8,2.08,1.4,2.49,1.46,2.1,2.14,2.42,1.33,2.43,1.89,2.03,1.62,1.57,2.71
D. Fogarty,AFC,AFL,2020,KF,KF,Australia,21,5176,10,10,,,2.29,2.75,2.4,3.47,3.59,1.58,2.17,3.48,2.05,1.95,2.21,1.82,1.71,1.84,1.99,1.81,2.97,3.71,3.19,1.66,2.44
D. Mackay,AFC,AFL,2020,GD,GD,Australia,32,4933,10,10,,,2.72,2.86,3.25,2.52,1.95,3.15,3.13,4.04,2.34,3.48,2.74,2.02,1.36,2.06,2.75,2.45,2.43,3.31,2.12,1.87,2.47
D. Talia,AFC,AFL,2020,KD,KD,Australia,29,5564,14,14,,,2.34,2.45,2.68,2.54,2.77,2.04,1.92,1.34,2.36,2.06,2.35,2.34,2.36,2.16,2.54,2.41,2.46,2.13,2.3,2.52,2.55
E. Himmelberg,AFC,AFL,2020,KF,KF,Australia,22,5165,11,11,,,2.78,3.35,3.6,3.66,2.89,2.95,2.38,4.45,1.88,2.15,2.6,2.7,1.62,3.16,2.32,3.35,3.02,3.21,2.94,3.07,2.83
F. McAsey,AFC,AFL,2020,KD,KD,Australia,19,5283,10,10,,,1.55,1.75,2.33,1.76,1.94,1.26,1.55,1.35,1.25,3.22,1.91,1.64,1.53,2.17,1.1,2.41,1.35,2.52,2.51,0.43,1.32
H. Schoenberg,AFC,AFL,2020,GF,GF,Australia,19,4635,8,8,,,2.53,3.37,5.0,3.75,2.29,2.49,2.35,2.74,2.76,1.72,2.46,1.61,1.43,1.71,1.71,2.43,2.5,3.18,2.3,2.49,1.48
J. Kelly,AFC,AFL,2020,GD,GD,Australia,25,5346,15,15,,,2.28,1.51,1.48,1.81,2.23,1.17,1.88,1.56,2.37,1.81,1.61,2.75,2.46,3.46,2.25,2.45,3.31,3.19,3.35,2.88,3.94
K. Hartigan,AFC,AFL,2020,KD,KD,Australia,29,5413,12,12,,,2.34,2.38,2.04,2.49,2.65,2.33,2.16,1.81,2.52,2.06,2.2,2.33,1.93,2.0,2.99,2.4,2.4,2.31,2.83,3.2,1.75
L. Brown,AFC,AFL,2020,GD,GD,Australia,28,5180,17,17,,,2.25,1.95,2.29,2.24,2.51,1.52,2.36,2.18,2.7,1.89,2.3,2.05,1.89,1.93,2.38,2.45,2.53,2.35,2.95,2.59,2.06
L. Murphy,AFC,AFL,2020,GF,GF,Australia,22,4906,12,12,,,2.38,2.21,1.89,2.4,2.37,2.18,2.45,2.44,2.53,2.35,2.51,1.98,1.87,1.92,2.31,2.43,3.07,2.96,3.13,3.24,3.08
L. Sholl,AFC,AFL,2020,W,W,Australia,20,5061,8,8,,,2.18,2.11,2.2,1.55,2.73,2.33,2.32,1.97,2.49,2.36,2.25,2.26,2.44,1.83,2.26,2.5,1.98,1.97,1.85,1.91,2.15
