Player,Team,Overall_Rating,data_provider_id,Ball Winning_Rating,Ball Use_Rating,Aerial_Rating,Defence_Rating,Stoppage,Contest,Power,Receives,Handballing,Kicking,Goal Kicking,Connecting,Marking,Contested,Moks,Ruck,Pressure,Tackling,Intercepting,Neutralise
Callum Ah Chee,Adelaide,1.8,C.Ah Chee 9/10/1997,1.46,1.6,2.87,1.88,1.19,1.26,2.21,1.6,0.79,2.14,1.9,1.36,3.95,1.91,3.12,2.42,1.79,1.18,2.56,4.37
Sam Berry,Adelaide,2.75,S.Berry 12/2/2002,3.14,2.35,1.74,3.42,3.57,3.69,2.63,2.31,2.33,2.61,1.98,2.27,1.34,1.91,2.08,3.0,3.39,3.38,3.28,3.81
Hugh Bond,Adelaide,2.23,H.Bond 25/9/2004,1.92,2.13,2.04,2.81,2.06,1.66,2.64,1.89,2.38,2.01,2.28,1.8,1.63,1.72,2.9,2.48,3.05,3.35,2.62,1.95
James Borlase,Adelaide,2.57,J.Borlase 18/7/2002,1.52,2.01,2.49,3.47,1.76,1.41,2.69,0.9,2.14,1.47,3.71,1.92,2.04,3.55,1.59,2.36,3.1,3.25,1.57,4.89
Jordon Butts,Adelaide,2.78,J.Butts 31/12/1999,2.75,2.75,2.98,2.63,2.5,2.76,2.32,3.12,2.82,2.31,4.46,2.51,2.48,2.87,3.48,2.36,1.83,2.03,3.01,2.75
Brayden Cook,Adelaide,2.77,B.Cook 18/7/2002,2.43,2.86,3.06,2.9,1.29,1.94,2.5,3.35,1.95,3.21,2.81,2.85,2.92,2.63,3.58,2.5,2.0,2.62,4.1,2.48
Indy Cotton,Adelaide,,,,,,,,,,,,,,,,,,,,,,
Isaac Cumming,Adelaide,2.35,I.Cumming 11/8/1998,2.44,2.21,2.03,2.7,2.74,2.67,2.48,2.11,1.93,1.67,3.46,2.06,2.2,1.9,1.81,2.5,2.96,1.75,2.46,3.4
Daniel Curtin,Adelaide,2.9,D.Curtin 8/3/2005,2.63,2.43,4.24,3.13,2.53,3.45,3.67,1.8,1.66,2.69,3.19,2.04,3.17,5.0,5.0,2.54,2.82,3.41,3.56,2.71
Jordan Dawson,Adelaide,2.89,J.Dawson 9/4/1997,2.8,2.7,3.06,3.2,3.02,2.92,2.85,2.35,2.51,2.89,3.0,2.32,2.31,2.91,4.68,2.42,2.96,3.16,3.58,3.94
Billy Dowling,Adelaide,3.67,B.Dowling 1/7/2004,4.32,3.61,2.85,3.26,4.93,3.97,3.25,4.45,4.18,3.16,3.91,3.38,3.02,3.18,1.8,2.45,4.05,2.34,3.93,3.09
Sid Draper,Adelaide,2.66,S.Draper 5/7/2006,3.15,2.63,1.97,2.37,3.52,2.85,3.79,2.53,2.92,2.55,2.34,2.69,0.95,2.85,1.8,2.45,2.19,2.63,2.2,2.19
Charlie Edwards,Adelaide,2.84,C.Edwards 18/5/2005,3.46,2.69,2.34,2.34,4.22,3.54,2.2,3.08,2.74,2.5,1.81,3.83,2.23,2.08,3.1,2.45,2.46,1.99,3.31,2.28
Darcy Fogarty,Adelaide,2.08,D.Fogarty 25/9/1999,2.3,2.06,1.63,2.92,1.94,2.36,2.29,2.58,0.87,2.36,2.1,2.2,2.13,0.96,1.82,1.96,2.94,3.39,3.22,1.86
Mitchell Hinge,Adelaide,2.5,M.Hinge 28/6/1998,2.5,2.06,2.61,3.04,2.44,2.89,2.94,2.17,1.19,2.64,2.01,2.57,2.25,2.7,2.93,2.46,3.2,3.28,2.94,2.59
Chayce Jones,Adelaide,2.05,C.Jones 14/1/2000,1.99,2.0,1.49,2.5,1.52,2.78,3.18,1.35,2.4,1.87,1.83,1.64,1.5,1.82,1.1,2.48,2.4,2.27,3.33,1.92
Mark Keane,Adelaide,2.69,M.Keane 17/3/2000,2.83,2.23,2.5,2.98,2.43,3.19,3.02,2.58,1.45,2.85,1.96,3.21,1.89,2.29,3.18,2.34,2.25,2.0,3.96,2.81
Ben Keays,Adelaide,2.6,B.Keays 23/2/1997,2.76,2.72,1.93,2.89,2.69,2.92,3.15,2.58,2.67,2.83,2.69,2.57,1.99,1.86,1.96,2.44,3.23,3.04,2.0,2.27
Rory Laird,Adelaide,2.71,R.Laird 29/12/1993,3.06,2.91,2.54,2.2,2.95,2.87,2.12,3.42,3.87,2.44,1.83,2.61,3.27,1.82,2.54,2.48,1.68,1.58,3.42,2.26
Archie Ludowyke,Adelaide,,,,,,,,,,,,,,,,,,,,,,
