Team,Ball Winning Ranking,Rank,Ball Movement Ranking,Rank,Scoring Ranking,Rank,Defence Ranking,Rank,Pressure Ranking,Rank,,Team Rating,Rank
Geelong,75,5,98,1,91,3,78,4,78,3,,84,2
Western Bulldogs,94,1,98,1,99,1,71,9,67,10,,85.8,1
Adelaide,75,5,66,10,94,2,99,1,72,6,,81.2,3
Greater Western Sydney,63,12,82,4,90,4,80,3,69,9,,76.8,4
Gold Coast,75,5,81,5,74,7,69,10,71,8,,74,7
Hawthorn,62,13,74,6,81,5,90,2,74,4,,76.2,5
Brisbane,83,2,87,3,56,11,67,12,79,2,,74.4,6
Collingwood,44,15,67,9,70,8,77,5,93,1,,70.2,8
Fremantle,62,13,66,10,68,10,76,6,61,12,,66.6,9
Carlton,76,4,58,13,49,14,76,6,74,4,,66.6,9
Sydney,74,8,74,6,50,13,74,8,51,15,,64.6,11
St Kilda,79,3,63,12,70,8,59,13,50,16,,64.2,12
Melbourne,70,9,69,8,52,12,49,14,66,11,,61.2,13
Port Adelaide,43,16,46,14,46,16,68,11,72,6,,55,14
North Melbourne,69,10,39,16,76,6,38,16,46,18,,53.6,15
Essendon,68,11,35,18,47,15,38,16,61,12,,49.8,16
Richmond,38,18,46,14,43,17,42,15,47,17,,43.2,17
West Coast,39,17,39,16,32,18,37,18,59,14,,41.2,18
