Team,Ball Winning Ranking,Rank,Ball Movement Ranking,Rank,Scoring Ranking,Rank,Defence Ranking,Rank,Pressure Ranking,Rank,,Team Rating,Rank
Adelaide,69,11,60,10,92,3,97,1,70,5,,77.6,4
Brisbane,80,3,75,7,59,11,74,8,81,3,,73.8,6
Carlton,74,5,52,13,51,13,59,12,63,10,,59.8,13
Collingwood,41,17,50,15,50,14,89,3,94,1,,64.8,12
Essendon,56,14,41,17,34,18,39,16,68,7,,47.6,16
Fremantle,63,13,64,9,69,8,77,7,67,8,,68,9
Geelong,70,10,100,1,88,4,79,6,70,5,,81.4,2
Gold Coast,72,8,81,5,67,9,73,9,62,12,,71,7
Greater Western Sydney,75,4,86,4,94,2,82,4,64,9,,80.2,3
Hawthorn,71,9,53,12,81,5,90,2,84,2,,75.8,5
Melbourne,73,7,77,6,75,7,52,14,53,17,,66,10
North Melbourne,67,12,58,11,81,5,37,18,55,16,,59.6,14
Port Adelaide,44,15,46,16,49,15,60,11,74,4,,54.6,15
Richmond,42,16,52,13,45,16,41,15,45,18,,45,17
St Kilda,83,2,69,8,55,12,56,13,63,10,,65.2,11
Sydney,74,5,89,3,64,10,66,10,57,15,,70,8
West Coast,40,18,40,18,37,17,38,17,60,14,,43,18
Western Bulldogs,94,1,95,2,98,1,80,5,62,12,,85.8,1
