Team,Ball Winning,,,,,,,,,,,Ball Movement,,,,,,,,,,,Scoring,,,,,,,,,,,Defence,,,,,,,,,,,Pressure,,,,,,,,,,,Health Check,,,,,,,,,,,,,,,Wheelo Ratings,,,,,
,Post Clear CP Diff,Rank,Ground Ball Diff,Rank,1st Poss to Clear %,Rank,Clearance Diff,Rank,Ball Winning Ranking,Rank,,Def Half to Score %,Rank,Chain to Score %,Rank,D50 to F50 %,Rank,Kick Rating,Rank,Ball Movement Ranking,Rank,,Scores per I50 %,Rank,Goals Per I 50 %,Rank,Accuracy %,Rank,+/- Exp Score,Rank,Scoring Ranking,Rank,,Def Half to Score Ag %,Rank,Chain to Score Ag %,Rank,D50 to F50 Ag %,Rank,Goals Per I50 Ag %,Rank,Defence Ranking,Rank,,Tackle Diff,Rank,F50 Tackles,Rank,Pressure Acts,Rank,1%'ers,Rank,Pressure Ranking,Rank,,Score from Turnover For,Rank,Scores from Turnover Ag,Rank,Scores from Stoppages For,Rank,Scores from Stoppage Ag,Rank,Territory %,Rank,Post-Clearance CP Diff,Rank,Health Check Ranking,Rank,,Attack Rating,Rank,Defence Rating,Rank,Overall Rating,Rank
Adelaide,7.08,1,-0.96,12,76.529,4,-1.88,12,75,5,,12.764,10,20.703,11,21.095,12,2.136,5,66,10,,46.033,4,26.722,3,52.5,2,6.067,1,94,2,,7.039,1,17.787,2,18.201,1,20.346,1,99,1,,3.72,4,9.72,16,270.88,7,43.96,5,72,6,,57.6,2,40.72,3,34.36,8,28.8,1,50.839,9,7.08,1,82,3,,9.4,3,8.9,4,18.2,4
Brisbane,-0.852,12,3.556,4,76.636,3,5.259,2,83,2,,14.914,3,22.226,4,26.347,3,1.716,7,87,3,,44.488,10,23.157,11,46.588,12,-1.863,15,56,11,,9.122,9,19.476,7,24.441,14,22.657,7,67,12,,1.778,7,11.704,4,265.407,12,46.407,2,79,2,,52.111,4,40.815,4,35.296,7,33.185,11,51.175,6,-0.852,12,62,6,,9.2,4,9.7,2,18.8,3
Carlton,2.565,5,2.913,5,73.099,15,3.609,3,76,4,,11.828,13,19.429,13,25.68,4,-0.947,16,58,13,,40.876,16,21.006,15,46.92,10,-1.806,14,49,14,,8.559,3,19.364,6,22.002,8,24.421,11,76,6,,0.217,10,11.652,6,272.217,6,43.217,8,74,4,,42.696,13,44.087,8,32.304,12,32.043,7,51.102,7,2.565,5,54,8,,-6.7,14,4.1,8,-2.6,10
Collingwood,-1.4,13,-6.16,16,72.271,17,-2.16,14,44,15,,12.692,11,21.47,5,21.922,10,-0.004,11,67,9,,45.256,6,23.193,10,46.88,11,0.577,7,70,8,,9.481,12,17.353,1,22.388,10,21.423,4,77,5,,12.44,1,13,2,274.68,4,44.56,4,93,1,,51.36,5,34.84,1,31.6,15,32.36,8,53.265,2,-1.4,13,62,6,,3.3,8,14.3,1,17.6,5
Essendon,0.522,8,1.565,7,74.505,10,-1.174,11,68,11,,10.392,17,17.543,17,20.042,17,-2.285,18,35,18,,40.428,17,20.446,16,46.316,13,-1.429,11,47,15,,13.373,18,23.324,15,30.178,18,25.817,15,38,16,,3.783,3,8.783,17,272.478,5,37.565,18,61,12,,36.957,16,59.348,17,26.826,16,31.652,6,46.882,15,0.522,8,28,14,,-15.5,16,-8.3,15,-23.8,16
Fremantle,-1.917,14,-2.292,14,75.852,7,1.375,7,62,13,,13.674,7,21.141,8,21.099,11,-0.347,12,66,10,,44.171,12,23.791,8,48.94,8,-0.057,8,68,10,,9.016,8,19.512,8,20.829,3,23.43,9,76,6,,-4.25,14,10.292,13,262.25,13,45.125,3,61,12,,47.833,9,43.5,7,33.542,9,32.625,9,49.844,11,-1.917,14,47,11,,0.3,9,5.4,7,5.7,9
Geelong,5.731,2,3.692,3,73.161,14,0.038,10,75,5,,15.822,2,25.087,2,28.661,1,4.798,1,98,1,,49.658,2,27.322,2,51.086,5,2.598,4,91,3,,8.77,5,19.077,4,22.476,11,22.593,6,78,4,,2.385,6,14.077,1,278.615,2,39.385,17,78,3,,59.192,1,41.808,5,40.962,2,31.077,5,53.19,3,5.731,2,88,1,,19.2,2,6.4,6,25.6,1
Gold Coast,-0.04,10,-1.24,13,76.888,2,3.28,4,75,5,,13.164,8,22.468,3,24.867,6,1.796,6,81,5,,44.744,9,23.722,9,50.226,6,0.684,6,74,7,,9.701,13,19.165,5,23.579,12,22.474,5,69,10,,-3.88,13,11.24,8,266.56,11,47.52,1,71,8,,48.96,8,43.04,6,38.92,3,29.76,2,52.922,4,-0.04,10,73,4,,8.4,5,7.5,5,15.9,7
Greater Western Sydney,0.417,9,-0.333,11,75.812,8,-2.083,13,63,12,,13.959,4,21.369,7,24.59,7,2.175,4,82,4,,46.57,3,26.231,4,51.343,4,4.308,3,90,4,,8.215,2,21.055,11,22.234,9,20.553,2,80,3,,7.125,2,10.583,12,261.542,15,43.958,6,69,9,,49.292,7,44.75,10,36.542,5,33.75,12,47.708,14,0.417,9,49,10,,5.9,7,1.2,10,7.1,8
Hawthorn,5.038,4,-0.192,10,73.567,12,-2.654,16,62,13,,13.141,9,20.794,9,23.048,9,3.272,3,74,6,,45.309,5,24.945,6,50.146,7,2.396,5,81,5,,8.829,6,18.739,3,20.714,2,20.942,3,90,2,,-4.346,15,11.692,5,278.654,1,43.192,9,74,4,,49.346,6,38.962,2,36.077,6,33.077,10,51.059,8,5.038,4,70,5,,6.9,6,9.2,3,16.1,6
