Player,Team,Filename,Team_Players_Page
Jordan Dawson,Adelaide,jordan_dawson.png,https://www.afc.com.au/players
Izak Rankine,Adelaide,izak_rankine.png,https://www.afc.com.au/players
Jake Soligo,Adelaide,jake_soligo.png,https://www.afc.com.au/players
Alex Neal-Bullen,Adelaide,alex_neal-bullen.png,https://www.afc.com.au/players
Reilly O'Brien,Adelaide,reilly_obrien.png,https://www.afc.com.au/players
Ben Keays,Adelaide,ben_keays.png,https://www.afc.com.au/players
Rory Laird,Adelaide,rory_laird.png,https://www.afc.com.au/players
Mark Keane,Adelaide,mark_keane.png,https://www.afc.com.au/players
Mitchell Hinge,Adelaide,mitchell_hinge.png,https://www.afc.com.au/players
Riley Thilthorpe,Adelaide,riley_thilthorpe.png,https://www.afc.com.au/players
Darcy Fogarty,Adelaide,darcy_fogarty.png,https://www.afc.com.au/players
James Peatling,Adelaide,james_peatling.png,https://www.afc.com.au/players
Taylor Walker,Adelaide,taylor_walker.png,https://www.afc.com.au/players
Josh Rachele,Adelaide,josh_rachele.png,https://www.afc.com.au/players
Josh Worrell,Adelaide,josh_worrell.png,https://www.afc.com.au/players
Sam Berry,Adelaide,sam_berry.png,https://www.afc.com.au/players
Daniel Curtin,Adelaide,daniel_curtin.png,https://www.afc.com.au/players
Max Michalanney,Adelaide,max_michalanney.png,https://www.afc.com.au/players
Matt Crouch,Adelaide,matt_crouch.png,https://www.afc.com.au/players
Isaac Cumming,Adelaide,isaac_cumming.png,https://www.afc.com.au/players
Wayne Milera,Adelaide,wayne_milera.png,https://www.afc.com.au/players
Lachlan Sholl,Adelaide,lachlan_sholl.png,https://www.afc.com.au/players
Luke Nankervis,Adelaide,luke_nankervis.png,https://www.afc.com.au/players
Brodie Smith,Adelaide,brodie_smith.png,https://www.afc.com.au/players
Jordon Butts,Adelaide,jordon_butts.png,https://www.afc.com.au/players
Chayce Jones,Adelaide,chayce_jones.png,https://www.afc.com.au/players
Zac Taylor,Adelaide,zac_taylor.png,https://www.afc.com.au/players
Lachlan Murphy,Adelaide,lachlan_murphy.png,https://www.afc.com.au/players
Brayden Cook,Adelaide,brayden_cook.png,https://www.afc.com.au/players
