Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,DisposalRetentionPercentage,KicksIntoF50,KickIntoF50RetentionPercentage,KickPercentage,Inside50s,Rebound50s,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,MetresGained,MetresGainedPerDisposal,AssistedMetresGained,NetMetresGained,KickMetresGained,RetainedMetresGained,KickMetresGainedPerKick,HandballMetresGained,HandballMetresGainedPerHandball,xThreatPerKick,ThreatRating,xRetainPerKick,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,AverageFieldPosition,Defensive50Possessions,DefensiveMidfieldPossessions,AttackingMidfieldPossessions,Forward50Possessions,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,HitoutToFirstPossession,HitoutToClearance,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,ScoreAssists,ScoreboardImpact,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Harry Morrison,Hawthorn,27,27.13,Midfielder,20,8.72,71.65,70.9,4,0.2,2,0,81.3,9.45,7.95,17.4,75.862,67.196,86.164,74.713,2.15,46.512,54.31,2.6,2.15,2.4,7.25,3,5.8,260.6,14.977,230.752,491.352,226.556,142.839,23.974,17.976,2.275,23.684,3.963,55.797,3.614,5.3,11.75,17.05,31.085,3.5,3.9,0.25,0.7,3.2,3.8,2.85,0.35,1.15,6.85,-11.533,3.85,6.35,5.85,1,0.05,0.183,0.25,100,1,1.25,1.1,72.727,4.55,0.35,0.25,0.75,0.15,0.55,0.45,0.1,0,0,0,,0,,0,,,3.05,0.45,0.25,20,0.15,33.333,5,0.25,0.1,0.45,0.4,0.8,4.4,55.556,4,17.058,0.9,9,3.181,0.375,5,3.707,0.093,4,2.522,0.728,0.05,0.481,100,0.1,1.3,13.9,6.7,0.75
Lloyd Meek,Hawthorn,27,27.69,Ruck,25,12.372,102.04,93.84,33,1.32,8,4,82.92,5.24,8.28,13.52,68.343,54.962,76.812,67.953,1.44,30.556,38.757,1.64,0.56,3.64,3.714,1.96,6.898,146.88,10.864,163.802,310.682,148.862,55.793,28.627,3.853,0.465,26.203,0.011,53.025,-9.336,8.84,5.48,14.32,61.732,1.72,4.48,0.52,0.88,3.6,2.6,1.16,0,0.32,2.8,-2.998,1.92,5.44,5.28,1.68,23.12,84.751,1.56,6.747,2.8,4.36,5.68,74.648,2.72,0.76,0.6,0.52,0.2,1.44,1.76,-0.32,84.8,82.91,37.92,44.717,10.2,26.899,1.92,44.304,37.025,4.16,0.6,0.48,16.667,0.96,25,10,0.4,0.28,0.76,0.28,0.48,4.56,52.632,4.84,20.1,2.88,19,3.745,-0.219,16,4.072,-0.009,3,2.004,-1.337,0,0,,0,2.48,14.28,6.92,1.56
James Worpel,Hawthorn,26,26.93,Midfielder,21,9.548,74.667,72.952,12,0.571,2,3,69.714,10.048,10,20.048,61.045,45.024,77.143,58.81,3.524,31.081,50.119,4.048,1.476,4.667,4.296,4.905,4.087,310.952,15.511,189.137,500.09,278.626,107.686,27.731,11.594,1.165,26.884,-6.659,47.047,-8.845,9.857,10.762,20.619,47.806,2.286,6.762,0.619,1.714,5.048,3.19,2.81,2.095,1.095,7.905,-3.287,2.714,8.048,8.048,1.81,17.81,63.497,1.476,8.289,3.286,4.762,6.238,71.756,1.619,0.048,0.238,0.095,0.048,1.19,1.524,-0.333,0.19,0.187,0,0,0,,0,,,4.952,0.667,0.048,0,0.143,33.333,4,0.19,0.381,0.667,0.286,0.571,3.524,28.571,4.238,17.836,1.19,14,2.909,-0.624,6,3.037,-0.537,8,2.814,-0.689,0,0,,0.333,0.905,19.762,9.667,0.333
Massimo D'Ambrosio,Hawthorn,22,22.57,Midfielder,26,8.25,70.577,68.692,10,0.385,2,3,77.846,11.846,6.308,18.154,70.551,63.312,84.146,66.311,2.538,51.515,65.254,2.692,2.115,2.154,8.429,3.423,5.303,380.577,20.964,172.757,553.333,356.737,201.297,30.41,11.468,1.829,21.98,2.231,48.453,-1.085,5,13.538,18.538,26.971,2.577,4.115,0.269,0.923,3.192,2.808,2.269,0.154,1.269,8.808,-14.555,4.038,8.038,5.231,1.231,0,0,0.308,,1.346,1.654,1.385,72.222,4.077,0.154,0.423,0.692,0.077,0.654,0.423,0.231,0,0,0,,0,,0,,,1.846,0.231,0.269,42.857,0.077,50,5,0.192,0.385,0.615,0.385,0.577,4.038,31.25,3.923,16.372,1,16,3.199,-0.699,10,3.356,-0.356,6,2.937,-1.271,0,0,,0.462,0.692,10.923,5.808,0.462
Dylan Moore,Hawthorn,26,26.4,Gen. Forward,26,11.581,87.538,82,41,1.577,7,5,84.846,10.538,8.885,19.423,73.069,61.679,86.58,72.817,2.346,54.098,54.257,2.962,1,2.5,7.769,2.654,7.319,256.769,13.22,233.783,490.552,242.952,131.455,23.223,9.159,1.031,29.658,5.518,57.778,5.036,6.885,12.462,19.346,35.586,1.385,5.154,1.5,1.385,3.769,4.154,3.154,0.346,1.269,6.808,9.884,1.5,6.385,7.231,4.231,5.038,18.271,0.577,11.45,1.5,2.077,1.808,70.213,4.269,0.192,0.885,0.115,0.692,1.385,0.769,0.615,0,0,0,,0,,0,,,3.692,1.038,0.077,0,0.5,15.385,23,0.885,0.654,2,0.615,1.192,10.231,44.231,5.538,23.114,0.769,52,3.229,-0.248,23,3.463,-0.68,29,3.044,0.094,0,0,,0.115,0.962,16.231,6.269,0.538
Conor Nash,Hawthorn,27,27.42,Midfielder,22,9.023,74.045,74.045,2,0.091,1,0,73.864,8.818,9.545,18.364,63.861,50.515,76.19,64.604,2.773,47.541,48.02,3.136,1.091,3.409,5.387,3.227,5.69,250.864,13.661,153.373,404.236,235.11,113.37,26.8,6.855,0.718,25.792,-1.288,47.501,-3.793,8.182,9.364,17.545,46.632,1.273,5.136,0.955,2.182,2.955,1.591,1.318,1.864,0.318,6.455,-0.981,2.409,5.955,6.955,2.227,18.136,66.5,1.364,7.519,3.318,4.682,6.455,69.014,2.045,0,0.227,0.136,0.045,0.727,1.045,-0.318,3,2.886,0.773,25.758,0.136,17.647,0.091,41.176,29.412,5.636,0.818,0.091,50,0.045,0,5,0.227,0.091,0.409,0.409,0.591,4.091,55.556,4.045,17.349,0.955,9,3.165,0.391,8,3.269,-0.019,1,2.336,3.664,0,0,,0.136,1.182,19.636,9.364,0.364
Will Day,Hawthorn,24,24.57,Midfielder,6,15.25,99,86.833,16,2.667,2,4,74.833,10.5,10.5,21,71.429,58.73,84.127,70.635,2.833,47.059,50,3.5,1.833,3.5,6,2.667,7.875,309.5,14.738,221.377,530.877,293.257,160.795,29.326,9.752,0.929,25.725,8.366,52.078,2.468,11.833,8.833,20.667,57.258,3.333,5,0.833,1.5,3.5,5.333,2.5,3,1.167,5.667,-1.377,2.333,9.833,5.833,2.667,18.667,67.879,1.5,8.036,3.667,5.167,6.333,71.053,3,0.667,0.333,1,0.167,2.5,1.5,1,0,0,0,,0,,0,,,5.167,0.667,0,,0.333,50,6,1,0.667,1.667,0.5,0.833,10,60,6.333,27.143,2,10,3.31,0.69,6,3.535,-0.035,4,2.973,1.777,0,0,,0.333,2.167,19.333,10.167,1.333
Finn Maginness,Hawthorn,24,24.85,Gen. Forward,13,3.785,45.231,48.923,0,0,0,0,72.692,6.077,7.231,13.308,60.694,48.101,71.277,60.116,1.846,41.667,45.665,2.231,0.385,2.692,4.943,3.692,3.604,188.077,14.133,103.822,291.899,185.995,73.974,30.607,2.542,0.352,29.426,-3.196,47.738,-5.115,5,8.538,13.538,36.932,1.538,4.231,1.077,1.462,2.769,3.615,3.154,0.308,1.077,4.769,10.575,0.846,4.385,5.308,3,0,0,0.077,,0.538,0.615,1.154,46.667,2.769,0.231,0.692,0.154,0.077,0.154,0.538,-0.385,0,0,0,,0,,0,,,1.769,0.462,0.077,0,0.538,28.571,4,0.308,0.462,1.077,0.231,0.462,3.923,28.571,3.308,14.676,0.231,14,3.132,-0.989,7,3.113,-0.827,7,3.151,-1.151,0,0,,0,0.615,11.615,3.923,0.385
Jack Ginnivan,Hawthorn,23,23.06,Gen. Forward,25,9.796,77.4,73,5,0.2,3,0,80.16,10.44,8.2,18.64,64.378,54.789,76.585,68.817,2.68,44.776,56.009,3.52,0.64,2.88,6.472,3.24,5.753,277.92,14.91,185.047,462.967,257.246,147.752,25.024,4.442,0.544,29.776,-0.364,52.027,1.984,6.12,12.16,18.28,33.479,1.88,4.88,1.44,1.12,3.76,4.52,3.72,0.24,1.6,7.28,10.944,1.12,5.88,7.28,4,0.12,0.435,0.16,100,1,1.16,1.08,59.259,3.56,0.08,0.8,0.12,0.36,0.96,0.68,0.28,0.04,0.039,0,0,0,,0,,,2.08,0.6,0.12,66.667,0.48,41.667,29,1.16,0.4,1.88,0.6,1.32,11.68,61.702,5.56,23.205,0.84,47,2.983,0.932,22,3.07,0.93,25,2.907,0.933,0,0,,0.2,0.92,13.56,4.88,0.36
Connor Macdonald,Hawthorn,22,22.96,Gen. Forward,24,7.346,70.25,68.208,7,0.292,3,0,75.583,9.042,5.833,14.875,68.627,55.76,88.571,69.382,2.5,53.333,60.784,2.875,0.417,2.083,7.14,2.875,5.174,246.375,16.563,160.545,406.92,244.105,122.532,27.123,0.099,0.017,31.733,1.601,52.244,-2.559,4.375,10.542,14.917,29.33,1.708,3.375,1.042,0.375,3,3.292,2.625,0.125,1.333,5.542,13.633,0.833,4.292,6.083,3.708,0.208,0.759,0.125,60,0.708,0.833,0.792,73.684,4,0.083,1,0.125,0.167,0.667,0.5,0.167,0,0,0,,0,,0,,,3,1.25,0.042,0,0.417,0,22,0.917,0.75,1.875,0.667,1.333,10.917,48.889,5.417,22.569,0.875,45,3.353,-0.02,26,3.591,-0.283,19,3.028,0.341,0,0,,0.083,0.583,13.375,3.917,0.167
