Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,DisposalRetentionPercentage,KicksIntoF50,KickIntoF50RetentionPercentage,KickPercentage,Inside50s,Rebound50s,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,MetresGained,MetresGainedPerDisposal,AssistedMetresGained,NetMetresGained,KickMetresGained,RetainedMetresGained,KickMetresGainedPerKick,HandballMetresGained,HandballMetresGainedPerHandball,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,xThreatPerKick,ThreatRating,xRetainPerKick,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,AverageFieldPosition,Defensive50Possessions,DefensiveMidfieldPossessions,AttackingMidfieldPossessions,Forward50Possessions,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,HitoutToFirstPossession,HitoutToClearance,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,ScoreAssists,ScoreboardImpact,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Harry McKay,Carlton,29,29.01,Key Forward,1,4.8,50,49,0,0,0,96,10,3,13,61.538,70,33.333,46.154,3,33.333,76.923,3,0,5,2.6,6,2.167,321,24.692,54.8,375.8,385.67,179.74,38.567,-4.73,-1.577,-2.209,4.707,7.059,-2.284,25.131,-2.909,43.291,-21.069,7,6,13,53.846,3,4,2,2,2,7,4,0,1,2,22.316,0,5,4,4,0,0,0,,0,0,0,,5,2,0,1,1,1,3,-2,0,0,0,,0,,0,,,0,0,0,,6,33.333,1,1,0,1,0,1,7,100,5,26.316,2,1,5.395,0.605,0,,,1,5.395,0.605,0,0,,0,3,5,1,1
Lachie Fogarty,Carlton,27,27.75,Gen. Forward,1,4.9,58,36,0,0,0,66,5,9,14,64.286,40,77.778,64.286,0,,35.714,0,1,1,14,1,14,212,15.143,26.88,238.88,139,85.77,27.8,16.77,1.863,1.887,0.945,5.889,-0.81,22.418,-22.418,56.608,-16.608,7,8,15,46.667,0,6,4,3,3,5,5,0,2,6,20.119,1,4,3,7,0,0,0,,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,,0,,0,,,0,0,0,,1,0,0,0,0,0,0,0,0,,1,5.263,0,0,,,0,,,0,,,0,0,,0,3,4,1,1
Sam Walsh,Carlton,26,26.49,Midfielder,1,15.7,114,99,3,3,1,77,16,16,32,65.625,62.5,68.75,78.125,7,85.714,50,9,0,4,8,4,8,696,21.75,253.28,949.28,562.18,545.37,35.136,78.79,4.924,4.633,3.891,7.659,0.621,25.184,24.816,41.196,1.661,13,20,33,39.394,3,9,2,6,3,3,3,1,0,15,-7.388,1,22,8,2,27,84.375,3,11.111,3,6,7,71.429,3,0,0,1,0,2,0,2,0,0,0,,0,,0,,,2,0,0,,0,,0,0,0,1,0,2,2,0,8,42.105,2,1,2.581,-2.581,0,,,1,2.581,-2.581,0,0,,1,3,19,11,0
Brodie Kemp,Carlton,25,25.66,Key Forward,1,5.4,68,56,0,0,0,92,8,7,15,66.667,50,85.714,66.667,1,0,53.333,2,0,5,3,5,3,132,8.8,98.09,230.09,151.34,33.75,18.917,-10.06,-1.437,0,1.987,7.097,-3.202,30.05,-10.05,51.6,8.4,6,10,16,37.5,1,3,2,0,3,6,3,0,3,5,35.965,0,3,4,9,0,0,0,,0,0,0,,3,2,1,0,1,1,1,0,0,0,0,,0,,0,,,1,0,0,,1,100,1,1,1,3,0,1,8,33.333,3,15.789,0,3,2.586,-0.253,1,3.602,-2.602,2,2.078,0.922,0,0,,0,1,10,1,1
Elijah Hollands,Carlton,24,24.68,Gen. Forward,1,5.9,61,63,0,0,0,79,12,7,19,52.632,41.667,71.429,57.895,3,0,63.158,3,2,6,3.167,9,2.111,216,11.368,83.37,299.37,227.61,58.37,18.967,9.47,1.353,-1.33,6.592,7.742,-0.658,27.157,-27.157,57.49,-27.49,8,11,19,42.105,5,4,2,0,4,8,4,0,3,4,-2.012,5,5,5,4,0,0,0,,0,0,0,,1,0,0,0,0,3,1,2,0,0,0,,0,,0,,,1,0,0,,0,,1,1,0,1,1,1,12,100,2,10.526,0,1,2.009,3.991,0,,,1,2.009,3.991,0,0,,0,2,12,8,0
Campbell Chesser,Carlton,23,23.67,Midfielder,1,3.7,63,60,0,0,0,75,8,9,17,76.471,75,77.778,64.706,0,,47.059,0,2,3,5.667,3,5.667,274,16.118,159.12,433.12,229.23,103.18,28.654,10.54,1.171,2.175,0.852,4.463,0.427,17.347,-17.347,54.567,-11.71,5,12,17,29.412,3,5,1,4,1,2,2,0,2,5,-20.882,5,7,3,2,0,0,0,,0,0,3,33.333,5,0,0,2,0,1,2,-1,0,0,0,,0,,0,,,2,1,0,,0,,0,0,0,1,0,0,0,0,2,10.526,2,1,2.319,-2.319,0,,,1,2.319,-2.319,0,0,,0,0,12,7,0
Ashton Moir,Carlton,21,21.71,Gen. Forward,1,6.8,57,59,0,0,0,78,7,3,10,80,71.429,100,70,0,,70,0,0,0,,1,10,105,10.5,168.61,273.61,106.99,85.16,15.284,2.81,0.937,2.469,2.941,1.525,3.738,20.587,29.412,74.89,0.11,3,5,8,37.5,0,1,0,0,1,2,1,1,1,2,22.225,0,4,1,3,1,3.125,0,0,2,2,1,100,3,0,1,0,0,1,0,1,0,0,0,,0,,0,,,4,0,0,,1,0,1,1,0,2,0,0,6,50,5,26.316,0,2,3.206,-0.206,1,4.448,1.552,1,1.964,-1.964,0,0,,0,0,9,3,0
Liam Reidy,Carlton,26,26.54,Ruck,1,1.8,31,40,0,0,0,61,3,2,5,40,0,100,40,0,,60,1,0,1,5,2,2.5,83,16.6,18.66,101.66,75.26,16.07,25.087,10.09,5.045,-0.443,-0.223,4.291,-1.191,39.21,-39.21,39.95,-39.95,4,0,4,100,0,2,1,0,2,4,2,0,0,0,40.778,0,0,2,2,7,21.875,1,14.286,0,1,1,100,1,1,1,0,0,1,1,0,32,33.684,17,53.125,2,11.765,0,35.294,35.294,2,1,0,,3,66.667,0,0,1,1,0,0,1,0,2,10.526,1,1,2.393,-1.393,1,2.393,-1.393,0,,,0,0,,0,2,14,6,2
Oliver Hollands,Carlton,22,22.95,Gen. Defender,1,7.5,73,69,0,0,0,82,12,6,18,77.778,66.667,100,66.667,2,50,66.667,4,4,3,6,4,4.5,336,18.667,342.82,678.82,316.19,124.83,26.349,15.37,2.562,4.807,1.653,4.231,2.767,22.322,-4.14,56.594,-11.139,6,10,16,37.5,2,4,0,1,3,3,2,1,1,4,-11.565,3,7,4,2,2,6.25,2,100,1,3,2,100,4,0,0,0,0,1,0,1,0,0,0,,0,,0,,,2,1,1,0,1,0,0,0,0,1,2,2,12,0,3,15.789,0,1,2.758,-2.758,1,2.758,-2.758,0,,,1,9.091,100,0,1,13,10,1
Jagga Smith,Carlton,20,20.92,Midfielder,1,6,65,82,0,0,0,79,11,16,27,74.074,45.455,93.75,70.37,3,0,40.741,4,1,4,6.75,6,4.5,347,12.852,423.13,770.13,255.29,177.7,23.208,75.42,4.714,2.342,2.561,2.862,1.967,24.472,-24.472,48.105,-2.651,5,21,26,19.231,2,4,0,0,4,2,2,1,2,16,-11.874,3,16,6,1,17,53.125,1,5.882,2,3,3,66.667,3,0,0,0,1,0,0,0,0,0,0,,0,,0,,,2,0,0,,0,,0,0,0,0,0,0,0,,4,21.053,0,0,,,0,,,0,,,0,0,,3,1,5,4,1
