Player,Team,JumperNumber,Age,Age_Decimal,Height,Position,DebutYear,Matches_Career,Goals_Total_Career,Matches_Finals,Goals_Total_Finals,Matches_Current,Goals_Total_Current,RatingPoints_Career,Supercoach_Career,Disposals_Career,ContestedPossessions_Career,Goals_Career,RatingPoints_Recent,Supercoach_Recent,Disposals_Recent,ContestedPossessions_Recent,Goals_Recent
Alex Neal-Bullen,Adelaide,28,30,30.97,182,Gen. Forward,2015,201,133,12,7,0,,9.524,72.353,15.836,6.154,0.662,9.895,78.8,16.25,6.35,0.65
Archie Ludowyke,Adelaide,34,19,19.11,197,Key Forward,,0,,,,0,,,,,,,,,,,
Ben Keays,Adelaide,2,29,29.85,185,Gen. Forward,2016,161,128,2,1,0,,10.317,82.391,19.205,8.025,0.795,9.5,78.5,16.2,6.9,1.25
Billy Dowling,Adelaide,31,22,22.5,187,Mid-Forward,2024,10,6,0,,0,,6.78,65.6,16.7,6.3,0.6,6.78,65.6,16.7,6.3,0.6
Brayden Cook,Adelaide,15,24,24.45,189,Mid-Forward,2021,30,15,0,,0,,5.313,45.7,9.933,3.1,0.5,5.535,46.75,8.9,2.75,0.6
Callum Ah Chee,Adelaide,4,29,29.22,182,Gen. Forward,2016,169,99,16,15,0,,6.717,58.728,12.207,4.941,0.586,5.93,63.35,13.7,4.1,0.85
Charlie Edwards,Adelaide,11,21,21.62,191,Gen. Defender,,0,,,,0,,,,,,,,,,,
Chayce Jones,Adelaide,1,26,26.96,180,Midfielder,2019,97,23,0,,0,,6.506,52.763,12.691,4.835,0.237,6.665,51.15,12.3,4.45,0.3
Daniel Curtin,Adelaide,6,21,21.81,197,Midfielder,2024,32,14,2,0,0,,8.722,64.125,12.125,5.781,0.438,9.83,75.9,14.1,7.05,0.35
Darcy Fogarty,Adelaide,32,27,27.26,192,Key Forward,2018,126,199,2,1,0,,8.139,61.048,10,4.468,1.579,5.95,59.8,11.3,3.75,1.45
Finnbar Maley,Adelaide,36,23,23.45,197,Key Forward,2025,7,4,0,,0,,3.329,36,6.571,3.857,0.571,3.329,36,6.571,3.857,0.571
Hugh Bond,Adelaide,21,22,22.26,185,Gen. Defender,2024,12,0,1,0,0,,6.25,45.417,8.5,4.417,0,6.25,45.417,8.5,4.417,0
Indy Cotton,Adelaide,33,19,19.64,194,Gen. Forward,,0,,,,0,,,,,,,,,,,
Isaac Cumming,Adelaide,44,28,28.38,188,Midfielder,2018,105,17,9,2,0,,8.944,76.914,18.143,4.914,0.162,8.03,65.05,14.65,5.35,0.25
Izak Rankine,Adelaide,23,26,26.69,179,Mid-Forward,2020,105,153,0,,0,,11.583,79.819,15.543,8.152,1.457,13.155,98.4,20.45,11.25,1.35
Jake Soligo,Adelaide,14,23,23.93,179,Midfielder,2022,85,36,2,1,0,,10.033,78.459,18.929,8.459,0.424,10.255,84.55,19.85,8.95,0.5
James Borlase,Adelaide,35,24,24.45,192,Key Defender,2023,16,1,0,,0,,6.481,58.625,9.562,3.938,0.062,6.481,58.625,9.562,3.938,0.062
James Peatling,Adelaide,25,26,26.36,186,Midfielder,2021,68,28,5,4,0,,7.709,64.206,14.191,6.412,0.412,9.4,81.55,18.7,8.85,0.55
Jordan Dawson,Adelaide,12,29,29.72,190,Midfielder,2017,156,78,3,1,0,,12.534,100.904,22.404,7.071,0.5,14.34,112.6,22.65,9.85,0.8
